domain,design,mode,cell,population,status,numerator,denominator,value,refusal,no_call,schema_failure,task_failure
fake_reference,c1.monitor,monitor,p00,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c1.monitor,monitor,p00,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c1.monitor,monitor,p01,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c1.monitor,monitor,p01,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c1.monitor,monitor,p10,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c1.monitor,monitor,p10,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c1.monitor,monitor,p11,scheduled,measured,1,1,1.0,0,0,0,0
fake_reference,c1.monitor,monitor,p11,valid_only,measured,1,1,1.0,0,0,0,0
fake_reference,c1.monitor,monitor,contrast,hiaa_scheduled,measured,,,1.0,,,,
fake_reference,c1.monitor,monitor,contrast,hiaa_valid_only,measured,,,1.0,,,,
fake_reference,c1.monitor,monitor,contrast,delta_hiaa,measured,,,0.0,,,,
fake_reference,c1.monitor,monitor,contrast,delta_hiaa_valid_only,measured,,,0.0,,,,
fake_reference,c1.evidence_router,evidence_router,p00,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,p00,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,p01,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,p01,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,p10,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,p10,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,p11,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,p11,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c1.evidence_router,evidence_router,contrast,hiaa_scheduled,measured,,,0.0,,,,
fake_reference,c1.evidence_router,evidence_router,contrast,hiaa_valid_only,measured,,,0.0,,,,
fake_reference,c1.evidence_router,evidence_router,contrast,delta_hiaa,measured,,,1.0,,,,
fake_reference,c1.evidence_router,evidence_router,contrast,delta_hiaa_valid_only,measured,,,1.0,,,,
fake_reference,c2.monitor,monitor,p00,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c2.monitor,monitor,p00,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c2.monitor,monitor,p01,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c2.monitor,monitor,p01,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c2.monitor,monitor,p10,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c2.monitor,monitor,p10,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c2.monitor,monitor,p11,scheduled,measured,1,1,1.0,0,0,0,0
fake_reference,c2.monitor,monitor,p11,valid_only,measured,1,1,1.0,0,0,0,0
fake_reference,c2.monitor,monitor,contrast,hiaa_scheduled,measured,,,1.0,,,,
fake_reference,c2.monitor,monitor,contrast,hiaa_valid_only,measured,,,1.0,,,,
fake_reference,c2.monitor,monitor,contrast,delta_hiaa,measured,,,0.0,,,,
fake_reference,c2.monitor,monitor,contrast,delta_hiaa_valid_only,measured,,,0.0,,,,
fake_reference,c2.evidence_router,evidence_router,p00,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,p00,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,p01,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,p01,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,p10,scheduled,measured,0,1,0.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,p10,valid_only,measured,0,1,0.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,p11,scheduled,measured,1,1,1.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,p11,valid_only,measured,1,1,1.0,0,0,0,0
fake_reference,c2.evidence_router,evidence_router,contrast,hiaa_scheduled,measured,,,1.0,,,,
fake_reference,c2.evidence_router,evidence_router,contrast,hiaa_valid_only,measured,,,1.0,,,,
fake_reference,c2.evidence_router,evidence_router,contrast,delta_hiaa,measured,,,0.0,,,,
fake_reference,c2.evidence_router,evidence_router,contrast,delta_hiaa_valid_only,measured,,,0.0,,,,
