domain,design,mode,cell,population,status,numerator,denominator,value,refusal,no_call,schema_failure,task_failure
scripted,c1.monitor,monitor,p00,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.monitor,monitor,p00,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.monitor,monitor,p01,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.monitor,monitor,p01,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.monitor,monitor,p10,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.monitor,monitor,p10,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.monitor,monitor,p11,scheduled,measured,1,1,1.0,0,0,0,0
scripted,c1.monitor,monitor,p11,valid_only,measured,1,1,1.0,0,0,0,0
scripted,c1.monitor,monitor,contrast,hiaa_scheduled,measured,,,1.0,,,,
scripted,c1.monitor,monitor,contrast,hiaa_valid_only,measured,,,1.0,,,,
scripted,c1.monitor,monitor,contrast,delta_hiaa,measured,,,0.0,,,,
scripted,c1.monitor,monitor,contrast,delta_hiaa_valid_only,measured,,,0.0,,,,
scripted,c1.universal_enforce,universal_enforce,p00,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,p00,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,p01,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,p01,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,p10,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,p10,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,p11,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,p11,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.universal_enforce,universal_enforce,contrast,hiaa_scheduled,measured,,,0.0,,,,
scripted,c1.universal_enforce,universal_enforce,contrast,hiaa_valid_only,measured,,,0.0,,,,
scripted,c1.universal_enforce,universal_enforce,contrast,delta_hiaa,measured,,,1.0,,,,
scripted,c1.universal_enforce,universal_enforce,contrast,delta_hiaa_valid_only,measured,,,1.0,,,,
scripted,c1.task_alignment_only,task_alignment_only,p00,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.task_alignment_only,task_alignment_only,p00,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.task_alignment_only,task_alignment_only,p01,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.task_alignment_only,task_alignment_only,p01,valid_only,measured,0,1,0.0,0,0,0,0
scripted,c1.task_alignment_only,task_alignment_only,p10,scheduled,measured,0,1,0.0,0,0,0,0
scripted,c1.task_alignment_only,task_alignment_only,p10,valid_only,measured,0,1,0.0,0,0,0,0
