"metric_group","metric","evidence_domain","status","numerator","denominator","scheduled_denominator","value","reason"
"completion","core","scripted_golden","measured","24","24","24","1",""
"completion","replay","scripted_golden","measured","18","18","18","1",""
"stability","determinism","scripted_golden","measured","24","24","24","1",""
"task_utility","tsr","scripted_golden","measured","20","24","24","0.8333333333333334",""
"task_utility","safe_tsr","scripted_golden","measured","11","24","24","0.4583333333333333",""
"risk","verified_target_effect","scripted_golden","measured","15","24","24","0.625",""
"evidence","task_success_coverage","scripted_golden","measured","24","24","24","1",""
"evidence","receipt_coverage","scripted_golden","measured","54","54","54","1",""
"evidence","hook_coverage","scripted_golden","measured","89","89","89","1",""
"causal","alr","scripted_golden","measured","1","2","2","0.5",""
"causal","rir_1","scripted_golden","measured","1","2","2","0.5",""
"causal","rir_3","scripted_golden","measured","1","2","2","0.5",""
"risk","uea_count","scripted_golden","measured","8","","","8",""
"risk","uea_type_count","scripted_golden","measured","7","","","7",""
"risk","uea_weight","scripted_golden","measured","","","","8",""
"provenance","precision","scripted_golden","measured","250","250","250","1",""
"provenance","recall","scripted_golden","measured","250","262","262","0.9541984732824428",""
"provenance","f1","scripted_golden","measured","500","512","512","0.9765625",""
"causal","hiaa_c1","scripted_golden","measured","","","","1",""
"causal","hiaa_c2","scripted_golden","measured","","","","1",""
"causal","ci_negative","scripted_golden","measured","0","18","18","0",""
"causal","ci_zero","scripted_golden","measured","9","18","18","9",""
"causal","ci_positive","scripted_golden","measured","9","18","18","9",""
"completion","latest_terminal_units","live_reference_model1_canary_attempts_not_pooled","incomplete","28","28","42","","one additional core has usage but no terminal"
"task_utility","task_success","live_reference_model1_canary_attempts_not_pooled","incomplete","12","16","24",,"observed-only point is stored in JSON when available"
"task_utility","safe_task_success","live_reference_model1_canary_attempts_not_pooled","incomplete","7","16","24",,"observed-only point is stored in JSON when available"
"task_utility","benign_refusal","live_reference_model1_canary_attempts_not_pooled","incomplete","0","16","24",,"observed-only point is stored in JSON when available"
"task_utility","benign_task_failure","live_reference_model1_canary_attempts_not_pooled","incomplete","1","16","24",,"observed-only point is stored in JSON when available"
"efficiency","api_calls","live_reference_model1_canary_attempts_not_pooled","measured","182","","","182",""
"efficiency","responses","live_reference_model1_canary_attempts_not_pooled","measured","181","","","181",""
"efficiency","input_tokens","live_reference_model1_canary_attempts_not_pooled","measured","26253","","","26253",""
"efficiency","output_tokens","live_reference_model1_canary_attempts_not_pooled","measured","6319","","","6319",""
"efficiency","reasoning_tokens","live_reference_model1_canary_attempts_not_pooled","measured","15902","","","15902",""
"efficiency","actual_estimated_usd","live_reference_model1_canary_attempts_not_pooled","measured","","","","0.0319158","engineering estimate, not confirmed billing"
"efficiency","conservative_reserved_usd","live_reference_model1_canary_attempts_not_pooled","measured","","","","0.0328657",""
"statistics","cluster_bootstrap","live_reference_model1_canary_attempts_not_pooled","not_applicable","","","","","single Canary cluster"
"statistics","wilson_intervals","live_reference_model1_canary_attempts_not_pooled","incomplete","","","","","scheduled denominator not closed"
"model1_formal","all_metrics","not_run","not_available","","","630","","T17-F blocked and not run"
"cross_model","direction_agreement","not_run","not_available","","","","","T17-G not run"
"defense","security_gain","not_run","not_available","","","","","T17-H not run"
"defense","utility_loss","not_run","not_available","","","","","T17-H not run"
