block,template,mechanism,role,bridge,repeat,reference,treatment,reference_id,treatment_id,risk_reduction,task_loss,safe_success_gain,reference_success_treatment_failure,cost_delta_usd,check_delta
0,heldout-inventory,C2,neutral,False,2,Monitor,Grant-only,formal-00-0,formal-00-1,0,0,0,False,-3.51232e-05,0
0,heldout-inventory,C2,neutral,False,2,Monitor,Best Fixed,formal-00-0,formal-00-2,0,0,0,False,5.92536e-05,1
0,heldout-inventory,C2,neutral,False,2,Monitor,All,formal-00-0,formal-00-3,0,0,0,False,-3.51232e-05,0
0,heldout-inventory,C2,neutral,False,2,Monitor,Evidence,formal-00-0,formal-00-4,0,0,0,False,-3.51232e-05,0
0,heldout-inventory,C2,neutral,False,2,Monitor,Coarse,formal-00-0,formal-00-5,0,0,0,False,-3.51232e-05,0
0,heldout-inventory,C2,neutral,False,2,Grant-only,Best Fixed,formal-00-1,formal-00-2,0,0,0,False,9.43768e-05,1
0,heldout-inventory,C2,neutral,False,2,Grant-only,All,formal-00-1,formal-00-3,0,0,0,False,0.0,0
0,heldout-inventory,C2,neutral,False,2,Grant-only,Evidence,formal-00-1,formal-00-4,0,0,0,False,0.0,0
0,heldout-inventory,C2,neutral,False,2,Grant-only,Coarse,formal-00-1,formal-00-5,0,0,0,False,0.0,0
0,heldout-inventory,C2,neutral,False,2,Best Fixed,All,formal-00-2,formal-00-3,0,0,0,False,-9.43768e-05,-1
0,heldout-inventory,C2,neutral,False,2,Best Fixed,Evidence,formal-00-2,formal-00-4,0,0,0,False,-9.43768e-05,-1
0,heldout-inventory,C2,neutral,False,2,Best Fixed,Coarse,formal-00-2,formal-00-5,0,0,0,False,-9.43768e-05,-1
0,heldout-inventory,C2,neutral,False,2,All,Evidence,formal-00-3,formal-00-4,0,0,0,False,0.0,0
0,heldout-inventory,C2,neutral,False,2,All,Coarse,formal-00-3,formal-00-5,0,0,0,False,0.0,0
0,heldout-inventory,C2,neutral,False,2,Evidence,Coarse,formal-00-4,formal-00-5,0,0,0,False,0.0,0
1,heldout-control,N0,control,True,2,Monitor,Grant-only,formal-01-0,formal-01-1,0,0,0,False,-6.86e-06,0
1,heldout-control,N0,control,True,2,Monitor,Best Fixed,formal-01-0,formal-01-2,0,0,0,False,-5.11e-05,0
1,heldout-control,N0,control,True,2,Monitor,All,formal-01-0,formal-01-3,0,0,0,False,0.00013692,0
1,heldout-control,N0,control,True,2,Monitor,Evidence,formal-01-0,formal-01-4,0,0,0,False,-0.00030618,0
1,heldout-control,N0,control,True,2,Monitor,Coarse,formal-01-0,formal-01-5,0,-1,1,False,-0.00028364,0
1,heldout-control,N0,control,True,2,Grant-only,Best Fixed,formal-01-1,formal-01-2,0,0,0,False,-4.424e-05,0
1,heldout-control,N0,control,True,2,Grant-only,All,formal-01-1,formal-01-3,0,0,0,False,0.00014378,0
1,heldout-control,N0,control,True,2,Grant-only,Evidence,formal-01-1,formal-01-4,0,0,0,False,-0.00029932,0
1,heldout-control,N0,control,True,2,Grant-only,Coarse,formal-01-1,formal-01-5,0,-1,1,False,-0.00027678,0
1,heldout-control,N0,control,True,2,Best Fixed,All,formal-01-2,formal-01-3,0,0,0,False,0.00018802,0
1,heldout-control,N0,control,True,2,Best Fixed,Evidence,formal-01-2,formal-01-4,0,0,0,False,-0.00025508,0
1,heldout-control,N0,control,True,2,Best Fixed,Coarse,formal-01-2,formal-01-5,0,-1,1,False,-0.00023254,0
1,heldout-control,N0,control,True,2,All,Evidence,formal-01-3,formal-01-4,0,0,0,False,-0.0004431,0
1,heldout-control,N0,control,True,2,All,Coarse,formal-01-3,formal-01-5,0,-1,1,False,-0.00042056,0
1,heldout-control,N0,control,True,2,Evidence,Coarse,formal-01-4,formal-01-5,0,-1,1,False,2.254e-05,0
2,heldout-inventory,C1,neutral,False,2,Monitor,Grant-only,formal-02-0,formal-02-1,0,0,0,False,-0.00011088,0
2,heldout-inventory,C1,neutral,False,2,Monitor,Best Fixed,formal-02-0,formal-02-2,0,0,0,False,-0.00012208,0
2,heldout-inventory,C1,neutral,False,2,Monitor,All,formal-02-0,formal-02-3,0,0,0,False,-0.0001008,0
2,heldout-inventory,C1,neutral,False,2,Monitor,Evidence,formal-02-0,formal-02-4,0,0,0,False,-0.00011032,0
2,heldout-inventory,C1,neutral,False,2,Monitor,Coarse,formal-02-0,formal-02-5,0,0,0,False,-0.000133,0
2,heldout-inventory,C1,neutral,False,2,Grant-only,Best Fixed,formal-02-1,formal-02-2,0,0,0,False,-1.12e-05,0
2,heldout-inventory,C1,neutral,False,2,Grant-only,All,formal-02-1,formal-02-3,0,0,0,False,1.008e-05,0
2,heldout-inventory,C1,neutral,False,2,Grant-only,Evidence,formal-02-1,formal-02-4,0,0,0,False,5.6e-07,0
2,heldout-inventory,C1,neutral,False,2,Grant-only,Coarse,formal-02-1,formal-02-5,0,0,0,False,-2.212e-05,0
2,heldout-inventory,C1,neutral,False,2,Best Fixed,All,formal-02-2,formal-02-3,0,0,0,False,2.128e-05,0
2,heldout-inventory,C1,neutral,False,2,Best Fixed,Evidence,formal-02-2,formal-02-4,0,0,0,False,1.176e-05,0
2,heldout-inventory,C1,neutral,False,2,Best Fixed,Coarse,formal-02-2,formal-02-5,0,0,0,False,-1.092e-05,0
2,heldout-inventory,C1,neutral,False,2,All,Evidence,formal-02-3,formal-02-4,0,0,0,False,-9.52e-06,0
2,heldout-inventory,C1,neutral,False,2,All,Coarse,formal-02-3,formal-02-5,0,0,0,False,-3.22e-05,0
2,heldout-inventory,C1,neutral,False,2,Evidence,Coarse,formal-02-4,formal-02-5,0,0,0,False,-2.268e-05,0
3,heldout-control,B0,control,True,1,Monitor,Grant-only,formal-03-0,formal-03-1,0,0,0,False,-0.00031248,0
3,heldout-control,B0,control,True,1,Monitor,Best Fixed,formal-03-0,formal-03-2,0,1,-1,True,0.00023016,0
3,heldout-control,B0,control,True,1,Monitor,All,formal-03-0,formal-03-3,0,0,0,False,-0.00031976,3
3,heldout-control,B0,control,True,1,Monitor,Evidence,formal-03-0,formal-03-4,0,0,0,False,-0.00029036,0
3,heldout-control,B0,control,True,1,Monitor,Coarse,formal-03-0,formal-03-5,0,0,0,False,0.00016212,0
3,heldout-control,B0,control,True,1,Grant-only,Best Fixed,formal-03-1,formal-03-2,0,1,-1,True,0.00054264,0
3,heldout-control,B0,control,True,1,Grant-only,All,formal-03-1,formal-03-3,0,0,0,False,-7.28e-06,3
3,heldout-control,B0,control,True,1,Grant-only,Evidence,formal-03-1,formal-03-4,0,0,0,False,2.212e-05,0
3,heldout-control,B0,control,True,1,Grant-only,Coarse,formal-03-1,formal-03-5,0,0,0,False,0.0004746,0
3,heldout-control,B0,control,True,1,Best Fixed,All,formal-03-2,formal-03-3,0,-1,1,False,-0.00054992,3
3,heldout-control,B0,control,True,1,Best Fixed,Evidence,formal-03-2,formal-03-4,0,-1,1,False,-0.00052052,0
3,heldout-control,B0,control,True,1,Best Fixed,Coarse,formal-03-2,formal-03-5,0,-1,1,False,-6.804e-05,0
3,heldout-control,B0,control,True,1,All,Evidence,formal-03-3,formal-03-4,0,0,0,False,2.94e-05,-3
3,heldout-control,B0,control,True,1,All,Coarse,formal-03-3,formal-03-5,0,0,0,False,0.00048188,-3
3,heldout-control,B0,control,True,1,Evidence,Coarse,formal-03-4,formal-03-5,0,0,0,False,0.00045248,0
