path,ordinal,status,return_code,planned_no_commit,effects,registered_actions,supervisor_actions,worker_process_calls,model_calls
sanity/raw/S00001/attempt-01/ATTEMPT_RESULT.json,1,COMPLETED,0,False,2,1,1,1,0
sanity/raw/S00002/attempt-01/ATTEMPT_RESULT.json,2,COMPLETED,17,True,0,1,1,1,0
sanity/raw/S00003/attempt-01/ATTEMPT_RESULT.json,3,COMPLETED,0,False,2,1,1,1,0
sanity/raw/S00004/attempt-01/ATTEMPT_RESULT.json,4,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00001/attempt-01/ATTEMPT_RESULT.json,5,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00002/attempt-01/ATTEMPT_RESULT.json,6,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00003/attempt-01/ATTEMPT_RESULT.json,7,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00004/attempt-01/ATTEMPT_RESULT.json,8,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00005/attempt-01/ATTEMPT_RESULT.json,9,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00006/attempt-01/ATTEMPT_RESULT.json,10,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00007/attempt-01/ATTEMPT_RESULT.json,11,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00008/attempt-01/ATTEMPT_RESULT.json,12,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00009/attempt-01/ATTEMPT_RESULT.json,13,COMPLETED,0,False,4,1,1,1,0
fresh/raw/N00010/attempt-01/ATTEMPT_RESULT.json,14,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00011/attempt-01/ATTEMPT_RESULT.json,15,COMPLETED,0,False,4,1,1,1,0
fresh/raw/N00012/attempt-01/ATTEMPT_RESULT.json,16,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00013/attempt-01/ATTEMPT_RESULT.json,17,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00014/attempt-01/ATTEMPT_RESULT.json,18,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00015/attempt-01/ATTEMPT_RESULT.json,19,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00016/attempt-01/ATTEMPT_RESULT.json,20,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00017/attempt-01/ATTEMPT_RESULT.json,21,COMPLETED,0,False,3,1,1,1,0
fresh/raw/N00018/attempt-01/ATTEMPT_RESULT.json,22,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00019/attempt-01/ATTEMPT_RESULT.json,23,COMPLETED,0,False,3,1,1,1,0
fresh/raw/N00020/attempt-01/ATTEMPT_RESULT.json,24,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00021/attempt-01/ATTEMPT_RESULT.json,25,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00022/attempt-01/ATTEMPT_RESULT.json,26,COMPLETED,17,True,0,1,1,1,0
fresh/raw/N00023/attempt-01/ATTEMPT_RESULT.json,27,COMPLETED,0,False,2,1,1,1,0
fresh/raw/N00024/attempt-01/ATTEMPT_RESULT.json,28,COMPLETED,17,True,0,1,1,1,0
