split,left_budget,right_budget,left_delta,right_delta,auc_contribution
development,0,39499,0.0,0.000992063492063492,0.0002565739682373392
development,39499,50761,0.000992063492063492,0.0034722222222222238,0.00032919598309577764
development,50761,58954,0.0034722222222222238,0.001984126984126977,0.0002927063436979886
development,58954,62026,0.001984126984126977,0.0014880952380952328,6.984185185670171e-05
development,62026,66121,0.0014880952380952328,0.00347222222222221,0.00013299962023492995
development,66121,72264,0.00347222222222221,0.001984126984126977,0.0002194672365844917
development,72264,72267,0.001984126984126977,0.0014880952380952328,6.820493345375304e-08
development,72267,73290,0.0014880952380952328,0.0004960317460317443,1.3290218461571004e-05
development,73290,76363,0.0004960317460317443,0.0,9.980655262074241e-06
heldout,0,39499,0.0,0.000496031746031746,0.0001282869841186696
heldout,39499,50761,0.000496031746031746,0.00496031746031746,0.0004023506460059503
heldout,50761,58954,0.00496031746031746,0.004960317460317457,0.0005321933521781613
heldout,58954,62026,0.004960317460317457,0.004464285714285726,0.0001895707407539055
heldout,62026,66121,0.004464285714285726,0.0029761904761904656,0.00019949943035239568
heldout,66121,72264,0.0029761904761904656,0.0014880952380952328,0.00017956410266003868
heldout,72264,72267,0.0014880952380952328,0.0014880952380952883,5.846137153178941e-08
heldout,72267,73290,0.0014880952380952883,0.0014880952380953438,1.993532769235762e-05
heldout,73290,76363,0.0014880952380953438,0.0004960317460317443,3.99226210482992e-05
