cost,split,metric,mechanism,policy,rho,families,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,development,ALL,ALL,global_fixed,0.0,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.05,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.1,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.15,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.2,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.25,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,783.0,0.0,0.0,0.0,0.0,0.000992063492063492,0.9990079365079365,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.3,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,4.0,779.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.004629629629629629,0.9950396825396826,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.35,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,5.0,778.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.005621693121693121,0.9940476190476191,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.4,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,16.666666666666664,767.0,0.0,0.000496031746031746,0.0,0.0,0.0205026455026455,0.9791666666666667,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.45,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,28.0,755.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.035383597883597885,0.9642857142857142,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.5,6,784.0,672.0,112.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,37.33333333333333,745.3333333333333,0.0,0.001984126984126984,0.0,0.0,0.04679232804232804,0.9513888888888888,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.55,6,784.0,672.0,112.0,0.0,3.0,0.0,0.0,3.0,48.333333333333336,732.6666666666666,0.0,0.004464285714285714,0.0,0.0,0.061177248677248684,0.9345238095238095,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,global_fixed,0.6,6,784.0,672.0,112.0,0.0,7.666666666666666,0.0,0.0,7.666666666666666,70.0,706.3333333333334,0.0,0.011408730158730158,0.0,0.0,0.08779761904761905,0.9017857142857143,0.8888888888888888,0.1111111111111111,0.0
