cost,split,metric,mechanism,policy,family_id,rho,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.05,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.1,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.15,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.2,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.25,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.3,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,110.66666666666666,0.0,0.0,0.0,0.0,0.011904761904761904,0.988095238095238,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.35,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,110.66666666666666,0.0,0.0,0.0,0.0,0.011904761904761904,0.988095238095238,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.4,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,109.33333333333333,0.0,0.0,0.0,0.0,0.023809523809523808,0.9761904761904762,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.45,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,106.66666666666666,0.0,0.0,0.0,0.0,0.047619047619047616,0.9523809523809523,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.5,112.0,112.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,104.00000000000001,0.0,0.008928571428571428,0.0,0.0,0.0625,0.9285714285714287,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.55,112.0,112.0,0.0,0.0,1.0,0.0,0.0,1.0,8.333333333333334,102.66666666666667,0.0,0.008928571428571428,0.0,0.0,0.0744047619047619,0.9166666666666667,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.6,112.0,112.0,0.0,0.0,1.6666666666666665,0.0,0.0,1.6666666666666665,11.666666666666666,98.66666666666667,0.0,0.01488095238095238,0.0,0.0,0.10416666666666666,0.880952380952381,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.65,112.0,112.0,0.0,0.0,2.333333333333333,0.0,0.0,2.333333333333333,12.333333333333334,97.33333333333333,0.0,0.020833333333333332,0.0,0.0,0.11011904761904763,0.869047619047619,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.7,112.0,112.0,0.0,0.0,5.666666666666666,0.0,0.0,5.666666666666666,19.0,87.33333333333334,0.0,0.05059523809523809,0.0,0.0,0.16964285714285715,0.7797619047619049,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.75,112.0,112.0,0.0,0.0,6.333333333333332,0.0,0.0,6.333333333333332,18.333333333333332,87.33333333333334,0.0,0.056547619047619034,0.0,0.0,0.1636904761904762,0.7797619047619049,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.8,112.0,112.0,0.0,0.0,7.333333333333332,0.0,0.0,7.333333333333332,18.666666666666664,86.0,0.0,0.06547619047619047,0.0,0.0,0.16666666666666666,0.7678571428571429,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.85,112.0,112.0,0.0,0.0,16.0,0.0,0.0,16.0,28.0,68.0,0.0,0.14285714285714285,0.0,0.0,0.25,0.6071428571428571,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.9,112.0,112.0,0.0,0.0,35.0,0.0,0.0,35.0,35.66666666666667,41.33333333333333,0.0,0.3125,0.0,0.0,0.318452380952381,0.369047619047619,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,0.95,112.0,112.0,0.0,0.0,51.33333333333335,0.0,0.0,51.33333333333335,36.66666666666667,23.999999999999996,0.0,0.4583333333333335,0.0,0.0,0.32738095238095244,0.21428571428571425,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D01_append_journal,1.0,112.0,112.0,0.0,0.0,112.0,0.0,0.0,112.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.05,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.1,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.15,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.2,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.25,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.3,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.35,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.4,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,110.66666666666667,0.0,0.0,0.0,0.0,0.011904761904761904,0.9880952380952381,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.45,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,109.99999999999999,0.0,0.0,0.0,0.0,0.017857142857142856,0.982142857142857,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.5,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,108.66666666666666,0.0,0.0,0.0,0.0,0.02976190476190476,0.9702380952380951,1.0,0.0,0.0
C1,development,ALL,ALL,global_fixed,D02_sqlite_transfer,0.55,112.0,112.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,5.666666666666667,106.00000000000003,0.0,0.002976190476190476,0.0,0.0,0.050595238095238096,0.9464285714285717,1.0,0.0,0.0
