cost,stratum,mechanism,policy,rho,families,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,ALL,ALL,global_fixed,0.0,6,672.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.05,6,672.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.1,6,672.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.15,6,672.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.2,6,672.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.25,6,672.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.3,6,672.0,672.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,3.0,668.6666666666667,0.0,0.000496031746031746,0.0,0.0,0.004464285714285714,0.9950396825396826,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.35,6,672.0,672.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,4.333333333333333,667.3333333333334,0.0,0.000496031746031746,0.0,0.0,0.006448412698412698,0.9930555555555556,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.4,6,672.0,672.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,12.666666666666666,658.0,0.0,0.001984126984126984,0.0,0.0,0.018849206349206348,0.9791666666666667,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.45,6,672.0,672.0,0.0,0.0,3.0,0.0,0.0,3.0,22.333333333333332,646.6666666666666,0.0,0.004464285714285714,0.0,0.0,0.033234126984126984,0.9623015873015873,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.5,6,672.0,672.0,0.0,0.0,3.333333333333333,0.0,0.0,3.333333333333333,26.666666666666664,642.0,0.0,0.00496031746031746,0.0,0.0,0.03968253968253968,0.9553571428571428,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.55,6,672.0,672.0,0.0,0.0,5.666666666666666,0.0,0.0,5.666666666666666,33.0,633.3333333333333,0.0,0.008432539682539682,0.0,0.0,0.04910714285714286,0.9424603174603174,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.6,6,672.0,672.0,0.0,0.0,7.666666666666666,0.0,0.0,7.666666666666666,40.333333333333336,624.0,0.0,0.011408730158730158,0.0,0.0,0.06001984126984127,0.9285714285714286,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.65,6,672.0,672.0,0.0,0.0,13.333333333333332,0.0,0.0,13.333333333333332,49.33333333333333,609.3333333333333,0.0,0.01984126984126984,0.0,0.0,0.07341269841269842,0.9067460317460317,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.7,6,672.0,672.0,0.0,0.0,46.0,0.0,0.0,46.0,70.66666666666666,555.3333333333334,0.0,0.06845238095238095,0.0,0.0,0.10515873015873016,0.826388888888889,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.75,6,672.0,672.0,0.0,0.0,51.99999999999999,0.0,0.0,51.99999999999999,71.33333333333333,548.6666666666666,0.0,0.07738095238095237,0.0,0.0,0.10615079365079365,0.8164682539682538,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,0.8,6,672.0,672.0,0.0,0.0,66.33333333333333,0.0,0.0,66.33333333333333,76.33333333333333,529.3333333333334,0.0,0.09871031746031746,0.0,0.0,0.11359126984126984,0.7876984126984127,1.0,0.0,0.0
