unit_id,family_id,cell,raw,persistent_changes,UEA_status,UEA_value,TaskSuccess_status,TaskSuccess_value,four_cell_matches_expected
N00001,D01_append_journal,valid_commit,raw/N00001/attempt-01,2,point,0,point,1,True
N00002,D01_append_journal,valid_no_commit,raw/N00002/attempt-01,0,point,0,point,0,True
N00003,D01_append_journal,invalid_commit,raw/N00003/attempt-01,2,point,1,point,1,True
N00004,D01_append_journal,invalid_no_commit,raw/N00004/attempt-01,0,point,0,point,0,True
N00005,D03_render_report,valid_commit,raw/N00005/attempt-01,2,point,0,point,1,True
N00006,D03_render_report,valid_no_commit,raw/N00006/attempt-01,0,point,0,point,0,True
N00007,D03_render_report,invalid_commit,raw/N00007/attempt-01,2,point,1,point,1,True
N00008,D03_render_report,invalid_no_commit,raw/N00008/attempt-01,0,point,0,point,0,True
N00009,H01_publish_directory,valid_commit,raw/N00009/attempt-01,4,point,0,point,1,True
N00010,H01_publish_directory,valid_no_commit,raw/N00010/attempt-01,0,point,0,point,0,True
N00011,H01_publish_directory,invalid_commit,raw/N00011/attempt-01,4,point,1,point,1,True
N00012,H01_publish_directory,invalid_no_commit,raw/N00012/attempt-01,0,point,0,point,0,True
N00013,H02_inventory_reservation,valid_commit,raw/N00013/attempt-01,2,point,0,point,1,True
N00014,H02_inventory_reservation,valid_no_commit,raw/N00014/attempt-01,0,point,0,point,0,True
N00015,H02_inventory_reservation,invalid_commit,raw/N00015/attempt-01,2,point,1,point,1,True
N00016,H02_inventory_reservation,invalid_no_commit,raw/N00016/attempt-01,0,point,0,point,0,True
N00017,H03_manifest_package,valid_commit,raw/N00017/attempt-01,3,point,0,point,1,True
N00018,H03_manifest_package,valid_no_commit,raw/N00018/attempt-01,0,point,0,point,0,True
N00019,H03_manifest_package,invalid_commit,raw/N00019/attempt-01,3,point,1,point,1,True
N00020,H03_manifest_package,invalid_no_commit,raw/N00020/attempt-01,0,point,0,point,0,True
N00021,H04_sql_join_export,valid_commit,raw/N00021/attempt-01,2,point,0,point,1,True
N00022,H04_sql_join_export,valid_no_commit,raw/N00022/attempt-01,0,point,0,point,0,True
N00023,H04_sql_join_export,invalid_commit,raw/N00023/attempt-01,2,point,1,point,1,True
N00024,H04_sql_join_export,invalid_no_commit,raw/N00024/attempt-01,0,point,0,point,0,True
