cost,stratum,mechanism,policy,family_id,rho,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,ALL,ALL,global_fixed,D01_append_journal,0.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.05,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.1,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.15,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.2,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.25,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.3,112.0,112.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,110.66666666666667,0.0,0.002976190476190476,0.0,0.0,0.008928571428571428,0.9880952380952381,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.35,112.0,112.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,110.66666666666667,0.0,0.002976190476190476,0.0,0.0,0.008928571428571428,0.9880952380952381,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.4,112.0,112.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,3.333333333333333,107.99999999999999,0.0,0.005952380952380952,0.0,0.0,0.02976190476190476,0.9642857142857142,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.45,112.0,112.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,4.666666666666666,106.66666666666667,0.0,0.005952380952380952,0.0,0.0,0.041666666666666664,0.9523809523809524,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.5,112.0,112.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,4.666666666666666,106.66666666666667,0.0,0.005952380952380952,0.0,0.0,0.041666666666666664,0.9523809523809524,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.55,112.0,112.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,106.0,0.0,0.008928571428571428,0.0,0.0,0.044642857142857144,0.9464285714285714,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.6,112.0,112.0,0.0,0.0,1.6666666666666665,0.0,0.0,1.6666666666666665,6.333333333333333,104.0,0.0,0.01488095238095238,0.0,0.0,0.05654761904761905,0.9285714285714286,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.65,112.0,112.0,0.0,0.0,3.333333333333333,0.0,0.0,3.333333333333333,6.666666666666666,101.99999999999999,0.0,0.02976190476190476,0.0,0.0,0.05952380952380952,0.9107142857142856,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.7,112.0,112.0,0.0,0.0,8.666666666666666,0.0,0.0,8.666666666666666,10.0,93.33333333333333,0.0,0.07738095238095237,0.0,0.0,0.08928571428571429,0.8333333333333333,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.75,112.0,112.0,0.0,0.0,9.666666666666666,0.0,0.0,9.666666666666666,10.333333333333332,91.99999999999999,0.0,0.08630952380952381,0.0,0.0,0.09226190476190475,0.8214285714285713,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.8,112.0,112.0,0.0,0.0,12.666666666666666,0.0,0.0,12.666666666666666,11.333333333333332,88.0,0.0,0.1130952380952381,0.0,0.0,0.10119047619047618,0.7857142857142857,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.85,112.0,112.0,0.0,0.0,25.333333333333336,0.0,0.0,25.333333333333336,16.0,70.66666666666666,0.0,0.22619047619047622,0.0,0.0,0.14285714285714285,0.6309523809523808,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.9,112.0,112.0,0.0,0.0,46.333333333333336,0.0,0.0,46.333333333333336,21.666666666666668,44.0,0.0,0.4136904761904762,0.0,0.0,0.19345238095238096,0.39285714285714285,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,0.95,112.0,112.0,0.0,0.0,62.333333333333336,0.0,0.0,62.333333333333336,24.33333333333334,25.333333333333332,0.0,0.5565476190476191,0.0,0.0,0.21726190476190482,0.2261904761904762,1.0,0.0,0.0
C1,ALL,ALL,global_fixed,D01_append_journal,1.0,112.0,112.0,0.0,0.0,112.0,0.0,0.0,112.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
