cost,stratum,mechanism,global_fixed,metric_static,dependency_guided,difference
C1,ALL,ALL,0.09729662698412699,0.11336805555555556,0.11584821428571429,0.0024801587301587352
C1,ALL,whole_channel,0.09187500000000001,0.09562500000000002,0.09562500000000002,0.0
C1,ALL,random,0.1394675925925926,0.2019675925925926,0.21354166666666666,0.01157407407407407
C1,ALL,failure_stress,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0
C1,UEA,ALL,0.10689484126984128,0.12132936507936509,0.12475198412698413,0.0034226190476190355
C1,UEA,whole_channel,0.10125,0.10375000000000001,0.10375000000000001,0.0
C1,UEA,random,0.15300925925925926,0.21203703703703705,0.22800925925925924,0.015972222222222193
C1,UEA,failure_stress,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0
C1,TaskSuccess,ALL,0.0876984126984127,0.10540674603174605,0.10694444444444445,0.0015376984126984072
C1,TaskSuccess,whole_channel,0.08250000000000002,0.08750000000000001,0.08750000000000001,0.0
C1,TaskSuccess,random,0.12592592592592594,0.19189814814814815,0.19907407407407407,0.007175925925925919
C1,TaskSuccess,failure_stress,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0
C1,UEA_true,ALL,0.11428571428571428,0.12440476190476192,0.12559523809523812,0.0011904761904762001
C1,UEA_true,whole_channel,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.0
C1,UEA_true,random,0.15833333333333333,0.20555555555555555,0.2111111111111111,0.005555555555555564
C1,UEA_true,failure_stress,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0
C1,UEA_false,ALL,0.10443121693121694,0.12030423280423282,0.12447089947089948,0.004166666666666666
C1,UEA_false,whole_channel,0.09833333333333334,0.10166666666666667,0.10166666666666667,0.0
C1,UEA_false,random,0.15123456790123457,0.21419753086419754,0.23364197530864197,0.01944444444444443
C1,UEA_false,failure_stress,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0
C1,TaskSuccess_true,ALL,0.0757936507936508,0.09603174603174604,0.09603174603174604,0.0
C1,TaskSuccess_true,whole_channel,0.06500000000000002,0.07500000000000001,0.07500000000000001,0.0
C1,TaskSuccess_true,random,0.1287037037037037,0.1898148148148148,0.1898148148148148,0.0
C1,TaskSuccess_true,failure_stress,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0
C1,TaskSuccess_false,ALL,0.09960317460317461,0.11478174603174603,0.11785714285714285,0.0030753968253968283
C1,TaskSuccess_false,whole_channel,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.0
C1,TaskSuccess_false,random,0.12314814814814815,0.19398148148148148,0.20833333333333331,0.014351851851851838
C1,TaskSuccess_false,failure_stress,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0
C2,ALL,ALL,0.14677579365079363,0.1669146825396825,0.1690972222222222,0.0021825396825397025
C2,ALL,whole_channel,0.13374999999999998,0.13749999999999998,0.13749999999999998,0.0
C2,ALL,random,0.18912037037037036,0.2706018518518518,0.28078703703703706,0.010185185185185242
C2,ALL,failure_stress,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.0
C2,UEA,ALL,0.14940476190476187,0.16706349206349203,0.17033730158730157,0.00327380952380954
C2,UEA,whole_channel,0.13749999999999998,0.13999999999999996,0.13999999999999996,0.0
C2,UEA,random,0.18888888888888888,0.26296296296296295,0.27824074074074073,0.015277777777777779
C2,UEA,failure_stress,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.0
C2,TaskSuccess,ALL,0.14414682539682538,0.16676587301587298,0.16785714285714282,0.0010912698412698374
C2,TaskSuccess,whole_channel,0.12999999999999998,0.13499999999999998,0.13499999999999998,0.0
C2,TaskSuccess,random,0.18935185185185183,0.27824074074074073,0.2833333333333333,0.005092592592592593
C2,TaskSuccess,failure_stress,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.0
C2,UEA_true,ALL,0.14841269841269839,0.1615079365079365,0.16428571428571426,0.002777777777777768
C2,UEA_true,whole_channel,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.0
C2,UEA_true,random,0.1759259259259259,0.23703703703703702,0.24999999999999997,0.012962962962962954
C2,UEA_true,failure_stress,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.0
C2,UEA_false,ALL,0.14973544973544972,0.16891534391534388,0.17235449735449732,0.003439153439153436
C2,UEA_false,whole_channel,0.13666666666666666,0.13999999999999999,0.13999999999999999,0.0
C2,UEA_false,random,0.19320987654320987,0.2716049382716049,0.2876543209876543,0.016049382716049387
C2,UEA_false,failure_stress,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.0
C2,TaskSuccess_true,ALL,0.14007936507936505,0.16388888888888886,0.16388888888888886,0.0
C2,TaskSuccess_true,whole_channel,0.11999999999999997,0.12999999999999998,0.12999999999999998,0.0
C2,TaskSuccess_true,random,0.2037037037037037,0.28148148148148144,0.28148148148148144,0.0
C2,TaskSuccess_true,failure_stress,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.0
C2,TaskSuccess_false,ALL,0.1482142857142857,0.16964285714285712,0.1718253968253968,0.002182539682539675
C2,TaskSuccess_false,whole_channel,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.0
C2,TaskSuccess_false,random,0.17499999999999996,0.27499999999999997,0.28518518518518515,0.010185185185185186
C2,TaskSuccess_false,failure_stress,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.0
