split,dimension,category,auc_contribution
development,dependency,grant_scope,0.00029597693264979776
development,dependency,lifecycle_session,0.0
development,dependency,no_divergence,0.0
development,dependency,receipt_execution,0.0010281471497145317
development,metric,ALR,0.0
development,metric,RIR,0.0
development,metric,TaskSuccess,0.0003558608642222434
development,metric,UEA,0.0009682632181420861
development,condition,channel_counterfactual,0.0
development,condition,channel_decision_reason,0.0
development,condition,channel_failure,0.0
development,condition,channel_grant,0.0
development,condition,channel_lifecycle,0.0
development,condition,channel_provenance,0.0
development,condition,channel_receipt,0.0
development,condition,channel_receipt_lifecycle,0.0
development,condition,channel_scope_lifetime,0.0
development,condition,channel_task_success_evidence,0.0
development,condition,failure_correlated,0.0
development,condition,random_1,0.0
development,condition,random_3,0.00028604174734335935
development,condition,random_5,0.0010380823350209702
development,family,D01_append_journal,0.00018956099719198341
development,family,D02_sqlite_transfer,0.0001496513675595823
development,family,D03_render_report,0.00024942868949455905
development,family,D04_kv_increment,0.00012305144351259614
development,family,D05_untrusted_copy,0.0006124315846056086
development,family,D06_revoked_cache,0.0
development,sign,benefit,0.0013241240823643296
development,sign,same,0.0
development,mechanism,failure_stress,0.0
development,mechanism,random,0.0013241240823643296
development,mechanism,whole_channel,0.0
heldout,dependency,grant_scope,0.0002660512061334449
heldout,dependency,lifecycle_session,3.994210817214101e-05
heldout,dependency,no_divergence,0.0
heldout,dependency,receipt_execution,0.0013853883518757213
heldout,metric,ALR,0.0
heldout,metric,RIR,0.0
heldout,metric,TaskSuccess,0.0006019507598315397
heldout,metric,UEA,0.0010894309063497675
heldout,condition,channel_counterfactual,0.0
heldout,condition,channel_decision_reason,0.0
heldout,condition,channel_failure,0.0
heldout,condition,channel_grant,0.0
heldout,condition,channel_lifecycle,0.0
heldout,condition,channel_provenance,0.0
heldout,condition,channel_receipt,0.0
heldout,condition,channel_receipt_lifecycle,0.0
heldout,condition,channel_scope_lifetime,0.0
heldout,condition,channel_task_success_evidence,0.0
heldout,condition,failure_correlated,0.0
heldout,condition,random_1,0.0
heldout,condition,random_3,8.650009488930167e-05
heldout,condition,random_5,0.0016048815712920055
heldout,family,H01_publish_directory,9.978381764292479e-05
heldout,family,H02_inventory_reservation,0.00038245104470730753
heldout,family,H03_manifest_package,0.00020288044633932038
heldout,family,H04_sql_join_export,0.0005055057360738777
heldout,family,H05_queued_approval,0.00046750909243215716
heldout,family,H06_revoked_lease_journal,3.325152898571963e-05
heldout,sign,benefit,0.0017246331951670268
heldout,sign,harm,-3.325152898571963e-05
heldout,sign,same,0.0
heldout,mechanism,failure_stress,0.0
heldout,mechanism,random,0.0016913816661813072
heldout,mechanism,whole_channel,0.0
