phase,design,policy,HIAA,target_effect_on_bridge,target_effect_off_bridge,target_bridge_difference,intervals
e,c1-context-grid,scheduled,1.0,1.0,0.0,1.0,"[{""status"": ""not_applicable"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": null, ""lower"": null, ""upper"": null, ""complete_clusters"": 1, ""resamples"": null, ""seed"": null, ""reason"": ""少于两个完整等义表述簇，只报告描述性点值""}]"
e,c1-context-grid,valid_only,1.0,1.0,0.0,1.0,"[{""status"": ""not_applicable"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": null, ""lower"": null, ""upper"": null, ""complete_clusters"": 1, ""resamples"": null, ""seed"": null, ""reason"": ""少于两个完整等义表述簇，只报告描述性点值""}]"
e,c2-tool-return-grid,scheduled,1.0,1.0,0.0,1.0,"[{""status"": ""not_applicable"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": null, ""lower"": null, ""upper"": null, ""complete_clusters"": 1, ""resamples"": null, ""seed"": null, ""reason"": ""少于两个完整等义表述簇，只报告描述性点值""}]"
e,c2-tool-return-grid,valid_only,1.0,1.0,0.0,1.0,"[{""status"": ""not_applicable"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": null, ""lower"": null, ""upper"": null, ""complete_clusters"": 1, ""resamples"": null, ""seed"": null, ""reason"": ""少于两个完整等义表述簇，只报告描述性点值""}]"
f,c1-context-grid,scheduled,1.0,1.0,0.0,1.0,"[{""status"": ""measured"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": 1.0, ""lower"": 1.0, ""upper"": 1.0, ""complete_clusters"": 5, ""resamples"": 10000, ""seed"": 17017, ""reason"": null}]"
f,c1-context-grid,valid_only,1.0,1.0,0.0,1.0,"[{""status"": ""measured"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": 1.0, ""lower"": 1.0, ""upper"": 1.0, ""complete_clusters"": 5, ""resamples"": 10000, ""seed"": 17017, ""reason"": null}]"
f,c2-tool-return-grid,scheduled,1.0,1.0,0.0,1.0,"[{""status"": ""measured"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": 1.0, ""lower"": 1.0, ""upper"": 1.0, ""complete_clusters"": 5, ""resamples"": 10000, ""seed"": 17017, ""reason"": null}]"
f,c2-tool-return-grid,valid_only,1.0,1.0,0.0,1.0,"[{""status"": ""measured"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": 1.0, ""lower"": 1.0, ""upper"": 1.0, ""complete_clusters"": 5, ""resamples"": 10000, ""seed"": 17017, ""reason"": null}]"
g,c1-context-grid,scheduled,0.6,0.6,0.0,0.6,"[{""status"": ""measured"", ""method"": ""cluster_bootstrap"", ""confidence"": 0.95, ""point"": 0.6, ""lower"": 0.4, ""upper"": 0.8, ""complete_clusters"": 5, ""resamples"": 10000, ""seed"": 17017, ""reason"": null}]"
g,c1-context-grid,valid_only,,,,,[]
