phase,kind,depth,tp,fp,fn,precision,recall,f1,scheduled,valid_pairs,signed_sum,positive,zero,negative,identity_vs_core_unstable,not_applicable
e,provenance,,241,0,12,1.0,0.9525691699604744,0.9757085020242915,,,,,,,,
e,provenance,0,21,0,0,1.0,1.0,1.0,,,,,,,,
e,provenance,1,4,0,2,1.0,0.6666666666666666,0.8,,,,,,,,
e,provenance,2,95,0,0,1.0,1.0,1.0,,,,,,,,
e,provenance,3,12,0,4,1.0,0.75,0.8571428571428571,,,,,,,,
e,provenance,4,40,0,0,1.0,1.0,1.0,,,,,,,,
e,provenance,5,46,0,6,1.0,0.8846153846153846,0.9387755102040817,,,,,,,,
e,provenance,6,3,0,0,1.0,1.0,1.0,,,,,,,,
e,provenance,7,12,0,0,1.0,1.0,1.0,,,,,,,,
e,provenance,8,8,0,0,1.0,1.0,1.0,,,,,,,,
e,CI,,,,,,,,18,18,7,7,11,0,0,0
f,provenance,,3224,0,178,1.0,0.9476778365667254,0.973136130395412,,,,,,,,
f,provenance,0,310,0,0,1.0,1.0,1.0,,,,,,,,
f,provenance,1,44,0,30,1.0,0.5945945945945946,0.7457627118644068,,,,,,,,
f,provenance,2,1419,0,0,1.0,1.0,1.0,,,,,,,,
f,provenance,3,114,0,59,1.0,0.6589595375722543,0.794425087108014,,,,,,,,
f,provenance,4,574,0,0,1.0,1.0,1.0,,,,,,,,
f,provenance,5,491,0,89,1.0,0.846551724137931,0.9169000933706816,,,,,,,,
f,provenance,6,40,0,0,1.0,1.0,1.0,,,,,,,,
f,provenance,7,180,0,0,1.0,1.0,1.0,,,,,,,,
f,provenance,8,52,0,0,1.0,1.0,1.0,,,,,,,,
f,CI,,,,,,,,270,237,107,111,122,4,5,33
g,provenance,,1556,0,2,1.0,0.9987163029525032,0.9993577392421323,,,,,,,,
g,provenance,0,157,0,0,1.0,1.0,1.0,,,,,,,,
g,provenance,1,4,0,2,1.0,0.6666666666666666,0.8,,,,,,,,
g,provenance,2,1041,0,0,1.0,1.0,1.0,,,,,,,,
g,provenance,4,326,0,0,1.0,1.0,1.0,,,,,,,,
g,provenance,6,28,0,0,1.0,1.0,1.0,,,,,,,,
g,CI,,,,,,,,270,122,22,24,96,2,16,148
g_canary,provenance,,103,0,0,1.0,1.0,1.0,,,,,,,,
g_canary,provenance,0,9,0,0,1.0,1.0,1.0,,,,,,,,
g_canary,provenance,1,1,0,0,1.0,1.0,1.0,,,,,,,,
g_canary,provenance,2,68,0,0,1.0,1.0,1.0,,,,,,,,
g_canary,provenance,4,22,0,0,1.0,1.0,1.0,,,,,,,,
g_canary,provenance,6,3,0,0,1.0,1.0,1.0,,,,,,,,
g_canary,CI,,,,,,,,18,8,3,3,5,0,0,10
h,provenance,,2701,0,173,1.0,0.9398051496172581,0.9689686098654708,,,,,,,,
h,provenance,0,234,0,0,1.0,1.0,1.0,,,,,,,,
h,provenance,1,43,0,29,1.0,0.5972222222222222,0.7478260869565218,,,,,,,,
h,provenance,2,1157,0,0,1.0,1.0,1.0,,,,,,,,
h,provenance,3,111,0,57,1.0,0.6607142857142857,0.7956989247311828,,,,,,,,
h,provenance,4,495,0,0,1.0,1.0,1.0,,,,,,,,
h,provenance,5,479,0,87,1.0,0.8462897526501767,0.9167464114832536,,,,,,,,
h,provenance,7,130,0,0,1.0,1.0,1.0,,,,,,,,
h,provenance,8,52,0,0,1.0,1.0,1.0,,,,,,,,
h,CI,,,,,,,,270,234,30,30,204,0,1,36
fh_monitor,provenance,,3089,0,178,1.0,0.9455157636975818,0.9719949653870359,,,,,,,,
fh_monitor,provenance,0,295,0,0,1.0,1.0,1.0,,,,,,,,
fh_monitor,provenance,1,44,0,30,1.0,0.5945945945945946,0.7457627118644068,,,,,,,,
fh_monitor,provenance,2,1314,0,0,1.0,1.0,1.0,,,,,,,,
fh_monitor,provenance,3,114,0,59,1.0,0.6589595375722543,0.794425087108014,,,,,,,,
fh_monitor,provenance,4,559,0,0,1.0,1.0,1.0,,,,,,,,
fh_monitor,provenance,5,491,0,89,1.0,0.846551724137931,0.9169000933706816,,,,,,,,
fh_monitor,provenance,6,40,0,0,1.0,1.0,1.0,,,,,,,,
fh_monitor,provenance,7,180,0,0,1.0,1.0,1.0,,,,,,,,
fh_monitor,provenance,8,52,0,0,1.0,1.0,1.0,,,,,,,,
fh_monitor,CI,,,,,,,,270,237,107,111,122,4,5,33
fh_enforce,provenance,,2836,0,173,1.0,0.9425058158856763,0.9704020530367836,,,,,,,,
fh_enforce,provenance,0,249,0,0,1.0,1.0,1.0,,,,,,,,
fh_enforce,provenance,1,43,0,29,1.0,0.5972222222222222,0.7478260869565218,,,,,,,,
fh_enforce,provenance,2,1262,0,0,1.0,1.0,1.0,,,,,,,,
fh_enforce,provenance,3,111,0,57,1.0,0.6607142857142857,0.7956989247311828,,,,,,,,
fh_enforce,provenance,4,510,0,0,1.0,1.0,1.0,,,,,,,,
fh_enforce,provenance,5,479,0,87,1.0,0.8462897526501767,0.9167464114832536,,,,,,,,
fh_enforce,provenance,7,130,0,0,1.0,1.0,1.0,,,,,,,,
fh_enforce,provenance,8,52,0,0,1.0,1.0,1.0,,,,,,,,
fh_enforce,CI,,,,,,,,270,234,30,30,204,0,1,36
