phase,mechanism_condition_stratum,depth,artifacts,tp,fp,fn,precision,recall,f1,decay,formula,source,limitation
e,Context,,11,13,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Context,2,6,6,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Context,4,4,6,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Context,6,1,1,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Memory,,53,65,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Memory,0,3,3,0,0,1.0,1.0,1.0,,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Memory,1,2,2,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Memory,2,11,15,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Memory,3,8,8,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Memory,4,5,5,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
e,Memory,5,16,24,0,0,1.0,1.0,1.0,0.0,Recall(depth-1)-Recall(depth),facts/PROVENANCE.jsonl; filter phase/mode/condition/depth,condition-based mechanism stratum; depth from fresh production graph; not each edge boundary causal category
