phase,run_id,unit_id,trial_id,mode,model_config,condition,cluster,repeat_index,source_ref,artifact_id,event_id,value_type,observed_origins,reference_origins,tp,fp,fn,depth,depth_basis,reference_basis
e,run-61724189aea42c4199b686d7,t17-live-reference-v2-canary-c1-context-grid-p00-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p00-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p00,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L1,artifact-1ea2a9bbfa9e7612,event-39962efdb4506e97,skill_output,"[""context-source""]","[""context-source""]",1,0,0,2,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-61724189aea42c4199b686d7,t17-live-reference-v2-canary-c1-context-grid-p00-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p00-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p00,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L1,artifact-4f9dfe31bac8356e,event-377951611bf96b8f,skill_output,"[""context-consumer""]","[""context-consumer""]",1,0,0,2,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-11a85c2cba4bfbec57056cbf,t17-live-reference-v2-canary-c1-context-grid-p01-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p01-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p01,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L2,artifact-7cd76888373435a4,event-e490740329d0b97f,skill_output,"[""context-source""]","[""context-source""]",1,0,0,2,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-11a85c2cba4bfbec57056cbf,t17-live-reference-v2-canary-c1-context-grid-p01-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p01-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p01,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L2,artifact-84a7a147c7f58814,event-97b7551ac2bbabdb,tool_arg,"[""context-source""]","[""context-source""]",1,0,0,4,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-11a85c2cba4bfbec57056cbf,t17-live-reference-v2-canary-c1-context-grid-p01-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p01-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p01,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L2,artifact-34a6ae0549714e30,event-796462fe78d2cb7c,skill_output,"[""context-consumer"", ""context-source""]","[""context-consumer"", ""context-source""]",2,0,0,4,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-966ec4ff144b989d1630c216,t17-live-reference-v2-canary-c1-context-grid-p10-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p10-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p10,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L3,artifact-34ba24975c062155,event-91256c492d66c1f3,skill_output,"[""context-source""]","[""context-source""]",1,0,0,2,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-966ec4ff144b989d1630c216,t17-live-reference-v2-canary-c1-context-grid-p10-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p10-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p10,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L3,artifact-0a9b8b64a21ea6c1,event-ef63dee0ea4503fa,skill_output,"[""context-consumer""]","[""context-consumer""]",1,0,0,2,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-f9061bd528c51ec3a60c36dd,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p11,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L4,artifact-06bdeec302d995a5,event-6ab69a34f200fb97,skill_output,"[""context-source""]","[""context-source""]",1,0,0,2,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-f9061bd528c51ec3a60c36dd,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p11,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L4,artifact-eca77b181d2339b0,event-6fb7896fd97efa36,tool_arg,"[""context-source""]","[""context-source""]",1,0,0,4,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-f9061bd528c51ec3a60c36dd,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p11,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L4,artifact-8238e07344536b68,event-54f9f0b9b71958e0,tool_return,"[""context-consumer""]","[""context-consumer""]",1,0,0,6,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-f9061bd528c51ec3a60c36dd,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,t17-live-reference-v2-canary-c1-context-grid-p11-s01-r1,monitor,gpt-5.6-luna,c1-context-grid-p11,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L4,artifact-548884a88df572fe,event-b19256286f0aef9f,skill_output,"[""context-consumer"", ""context-source""]","[""context-consumer"", ""context-source""]",2,0,0,4,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-4e23a4ce2c8fff06e7ca14ca,t17-live-reference-v2-canary-c2-tool-return-grid-p00-s01-r1,t17-live-reference-v2-canary-c2-tool-return-grid-p00-s01-r1,monitor,gpt-5.6-luna,c2-tool-return-grid-p00,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L5,artifact-2a09937c0ad2ad22,event-40b15229d473dfef,tool_arg,"[""tool-return-source""]","[""tool-return-source""]",1,0,0,2,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-4e23a4ce2c8fff06e7ca14ca,t17-live-reference-v2-canary-c2-tool-return-grid-p00-s01-r1,t17-live-reference-v2-canary-c2-tool-return-grid-p00-s01-r1,monitor,gpt-5.6-luna,c2-tool-return-grid-p00,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L5,artifact-371bc6754ae7e7b2,event-4f766ba113219278,file,"[""workspace:/inputs/tool-return.json""]","[""workspace:/inputs/tool-return.json""]",1,0,0,0,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
e,run-4e23a4ce2c8fff06e7ca14ca,t17-live-reference-v2-canary-c2-tool-return-grid-p00-s01-r1,t17-live-reference-v2-canary-c2-tool-return-grid-p00-s01-r1,monitor,gpt-5.6-luna,c2-tool-return-grid-p00,s01,1,datasets/t17-v2/stages/e/core-trials.jsonl#L5,artifact-91889ca4bc64ce1a,event-799fcc330b7c65f9,tool_return,"[""tool-return-source""]","[""tool-return-source""]",1,0,0,4,fresh production graph labels; origin counts independently computed,saved separate oracle GT_data; exporter/instrumentation trusted
