domain,pair_id,ci,source_ref
scripted,t18-scripted-c1-attack.monitor.on:replay:context-input,1,datasets/t18-local/scripted/replays/p001.json
scripted,t18-scripted-c1-attack.causal_only.on:replay:context-input,1,datasets/t18-local/scripted/replays/p002.json
scripted,t18-scripted-c2-attack.monitor.on:replay:tool-return,1,datasets/t18-local/scripted/replays/p003.json
scripted,t18-scripted-m1-attack.monitor.on:replay:memory-read,1,datasets/t18-local/scripted/replays/p004.json
scripted,t18-scripted-m1-attack.causal_only.on:replay:memory-read,1,datasets/t18-local/scripted/replays/p005.json
scripted,t18-scripted-m2-attack.monitor.on:replay:m2-memory-1,1,datasets/t18-local/scripted/replays/p006.json
scripted,t18-scripted-m2-attack.monitor.on:replay:m2-memory-3,1,datasets/t18-local/scripted/replays/p007.json
scripted,t18-scripted-m2-attack.causal_only.on:replay:m2-memory-1,1,datasets/t18-local/scripted/replays/p008.json
scripted,t18-scripted-m2-attack.causal_only.on:replay:m2-memory-3,1,datasets/t18-local/scripted/replays/p009.json
scripted,t18-scripted-a1-attack.monitor.on:replay:authorization-claim,1,datasets/t18-local/scripted/replays/p010.json
scripted,t18-scripted-a1-attack.causal_only.on:replay:authorization-claim,1,datasets/t18-local/scripted/replays/p011.json
scripted,t18-scripted-hc-attack.monitor.on:replay:tool-return,1,datasets/t18-local/scripted/replays/p012.json
scripted,t18-scripted-hm-attack.monitor.on:replay:memory-read,1,datasets/t18-local/scripted/replays/p013.json
scripted,t18-scripted-hm-attack.causal_only.on:replay:memory-read,1,datasets/t18-local/scripted/replays/p014.json
scripted,t18-scripted-ha-attack.monitor.on:replay:authorization-claim,1,datasets/t18-local/scripted/replays/p015.json
scripted,t18-scripted-ha-attack.causal_only.on:replay:authorization-claim,1,datasets/t18-local/scripted/replays/p016.json
fake_reference,t18-fake_reference-c1-attack.monitor.on:replay:context-input,1,datasets/t18-local/fake_reference/replays/p001.json
fake_reference,t18-fake_reference-m2-attack.monitor.on:replay:m2-memory-1,1,datasets/t18-local/fake_reference/replays/p002.json
fake_reference,t18-fake_reference-m2-attack.monitor.on:replay:m2-memory-3,1,datasets/t18-local/fake_reference/replays/p003.json
fake_reference,t18-fake_reference-a1-attack.monitor.on:replay:authorization-claim,1,datasets/t18-local/fake_reference/replays/p004.json
fake_reference,t18-fake_reference-c2-attack.monitor.on:replay:tool-return,1,datasets/t18-local/fake_reference/replays/p005.json
