domain,split,mode,cores,task_success,safe_task_success,uea
fake_reference,development,all_defenses,8,4,4,0
fake_reference,development,evidence_router,14,10,9,0
fake_reference,development,monitor,14,13,8,4
fake_reference,development,oracle_router,8,5,5,0
scripted,control,all_defenses,4,4,4,0
scripted,control,evidence_router,4,4,4,0
scripted,control,monitor,4,4,4,0
scripted,development,all_defenses,20,14,13,0
scripted,development,causal_only,20,17,14,3
scripted,development,drift_isolation_only,20,14,13,0
scripted,development,evidence_router,20,14,12,0
scripted,development,monitor,20,17,10,7
scripted,development,oracle_router,20,15,14,0
scripted,development,task_alignment_only,20,16,15,0
scripted,development,tdg_only,20,17,15,1
scripted,development,universal_enforce,20,16,14,0
scripted,held-out,all_defenses,8,5,5,0
scripted,held-out,causal_only,8,7,6,2
scripted,held-out,drift_isolation_only,8,5,5,0
scripted,held-out,evidence_router,8,5,4,0
scripted,held-out,monitor,8,7,4,4
scripted,held-out,oracle_router,8,6,6,0
scripted,held-out,task_alignment_only,8,7,7,0
scripted,held-out,tdg_only,8,7,7,0
scripted,held-out,universal_enforce,8,7,6,0
