phase,run_id,request_id,explicit_reason,raw_db_files,raw_db_sha256
f,run-b5db773b6137843283bbf4a8,event-ab7525b10e63fc60,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/b5db773b6137843283bbf4a8/state.sqlite""]","[""98e2b7441e305636131ef13d7d4d9e7acddeba65aa037acc6bd560bbff1dc51e""]"
f,run-847da2bd984344cbdf762bc7,event-fd866c7b4f84ea51,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/847da2bd984344cbdf762bc7/state.sqlite""]","[""9401a0b2414d8878c9b5d2db492acdfa6019719a9420a14d195008f140b9d925""]"
f,run-3357ec4a1efd6304e0aa6d34,event-2750858eedbf5603,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/3357ec4a1efd6304e0aa6d34/state.sqlite""]","[""3ac5bb89dc63a37ea2b0c785f5dfd0fc5582f46217b686aeb2b3f7f231d7602b""]"
f,run-8eccb25bf71f19c1db9874ee,event-1b58a01d3e612ed6,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/8eccb25bf71f19c1db9874ee/state.sqlite""]","[""8574c5ce8f3f75c7a19e2dafa474b574dc0f17077da3716a3ac3fb51846427f6""]"
f,run-1744c37a1b01584968c7a49f,event-f1939758d86d9ec3,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/1744c37a1b01584968c7a49f/state.sqlite""]","[""148741ca7aefdb8cd51028e211b80962540f5f096645cfc096a8f8db78d82a24""]"
f,run-3be40b4cdc81ea50fa9a6982,event-1339e95d54dbab97,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/3be40b4cdc81ea50fa9a6982/state.sqlite""]","[""951ea985ebac54e4c7ed2b7a9fceba6baab3806cb237e9d230cdd6975eea4915""]"
f,run-ca96b3611efd2bb63dfaff46,event-3053dbaf25dada1d,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/ca96b3611efd2bb63dfaff46/state.sqlite""]","[""3111f88985ab4bab0aa1d78b01bd357c6af3c147a024387a30973118605b9590""]"
f,run-70734b09a8057b21149e0053,event-1c191f8f2985eab6,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/70734b09a8057b21149e0053/state.sqlite""]","[""e0e9793debd4239a2abc0fdcc1e4df4832200197931e277e3481ff55d5d8d234""]"
f,run-3363c9316cbed2575dc55dc3,event-4ecf3afe7cd5f340,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/3363c9316cbed2575dc55dc3/state.sqlite""]","[""6c5a5e0a37bc20ec23220496f3ed25cd2a253a12f05f381f526cb20188e43fe1""]"
f,run-87317d426bbcb182ac1a80d4,event-7c3bca2bf23ff468,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/87317d426bbcb182ac1a80d4/state.sqlite""]","[""efc471fb9d00f4ba115bc633d83d67a1e14ff0b3da542809935ed1ebb7d5eb8e""]"
f,run-54dea2752afb07ec773774ee,event-1b45e4e7f7f1423b,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/54dea2752afb07ec773774ee/state.sqlite""]","[""4a19ae6a7dcd299c493f3774e68e6a6e1bc046dfca63379712ffbe9a478e6d61""]"
f,run-4d4003300da98d4a53f3cd66,event-119572389207c581,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/4d4003300da98d4a53f3cd66/state.sqlite""]","[""f3e07b7fd0115f400944ce3b01406b1341b1b908ac236aa3d5fb8d233254e550""]"
f,run-20bd24ff9437fb4a1d4c80d8,event-5c3609ef90ceb83d,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/20bd24ff9437fb4a1d4c80d8/state.sqlite""]","[""cbdad42acf694975a2577ce390eaedda0455decfd1bc3065e0cf375bd5fa3100""]"
f,run-0971578d9de2133ca9903a74,event-f338f8319344a730,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/0971578d9de2133ca9903a74/state.sqlite""]","[""25907c7bf87776760760d83cb6a4f302077010d96a472b10b732e2830561fc0a""]"
f,run-1a3697ade01944dd07591ad4,event-0f55718ad3267fac,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/1a3697ade01944dd07591ad4/state.sqlite""]","[""90b8e13d5d86706ea00a00f38fd9c324b5552e032336036752891b008818ab7c""]"
f,run-6bf330240083418f84f04146,event-5ffba4217fe58c6a,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/6bf330240083418f84f04146/state.sqlite""]","[""7acb48ec22576552e5f0e676f82653fe0eedd7e1f4dc9a360aa7ab46732889b9""]"
f,run-31d1921cae75b95c8e089e44,event-5fcba5dd5a19814a,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/31d1921cae75b95c8e089e44/state.sqlite""]","[""f806a5eaefff0f6df8322e6e9c45e119dbf92e4715fd5479b9d7be4973e64410""]"
f,run-b758e309eac2e5ecc8667afe,event-1f03a9aad5c4fedc,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/b758e309eac2e5ecc8667afe/state.sqlite""]","[""8d7d8eacf9e65666b697ec442ab4ffea91027942175a03f725a62a73c97c3b2b""]"
f,run-b8cf198a8a3e1bc08957021d,event-67945210e739ddd3,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/b8cf198a8a3e1bc08957021d/state.sqlite""]","[""f18ff168aad7fb98506ab2e5da9d28c4b759a1c8610b1001338ea3089d9671df""]"
f,run-773d30b308afc7275a5d4d1f,event-6c8f35d15577c340,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/773d30b308afc7275a5d4d1f/state.sqlite""]","[""5e3a2bd7d4d4fabb5c8e9e127bac89cc14f0d7bb8b247ea52a15ac848ae9fc30""]"
