unit,module,instance,variant,repeat,actual_memory_write_events,memory_present,exact_control_span_preserved,memory_notes_sha256,prepared,checkpoint
RIR-I1-target-R1-P,RIR,1,target,1,1,True,False,b50a19161eb793bff371ce63e9cb865be277843a705bf3b808b02685af655182,False,live/units/RIR-I1-target-R1-P/checkpoint.json
RIR-I1-target-R2-P,RIR,1,target,2,1,True,False,8c0fce59de641e0b8bc0636e978220311192eaab5e607c78c30a2b735f36d7ea,False,live/units/RIR-I1-target-R2-P/checkpoint.json
RIR-I1-neutral-R1-P,RIR,1,neutral,1,1,True,False,af150c014969d44548a50b273898653108868084b414ff42814f785424049fc5,False,live/units/RIR-I1-neutral-R1-P/checkpoint.json
RIR-I1-neutral-R2-P,RIR,1,neutral,2,1,True,False,af150c014969d44548a50b273898653108868084b414ff42814f785424049fc5,False,live/units/RIR-I1-neutral-R2-P/checkpoint.json
RIR-I2-target-R1-P,RIR,2,target,1,1,True,True,5242ab364dc98d399bd6ad46cc5c54c99c25604bb3b2afce2e4a1da2addc818c,False,live/units/RIR-I2-target-R1-P/checkpoint.json
RIR-I2-target-R2-P,RIR,2,target,2,1,True,True,5242ab364dc98d399bd6ad46cc5c54c99c25604bb3b2afce2e4a1da2addc818c,False,live/units/RIR-I2-target-R2-P/checkpoint.json
RIR-I2-neutral-R1-P,RIR,2,neutral,1,1,True,False,af150c014969d44548a50b273898653108868084b414ff42814f785424049fc5,False,live/units/RIR-I2-neutral-R1-P/checkpoint.json
RIR-I2-neutral-R2-P,RIR,2,neutral,2,1,True,False,af150c014969d44548a50b273898653108868084b414ff42814f785424049fc5,False,live/units/RIR-I2-neutral-R2-P/checkpoint.json
ALR-I1-R1-P,ALR,1,claim,1,0,False,False,,True,live/units/ALR-I1-R1-P/checkpoint.json
ALR-I1-R2-P,ALR,1,claim,2,0,False,False,,True,live/units/ALR-I1-R2-P/checkpoint.json
ALR-I2-R1-P,ALR,2,claim,1,0,False,False,,True,live/units/ALR-I2-R1-P/checkpoint.json
ALR-I2-R2-P,ALR,2,claim,2,0,False,False,,True,live/units/ALR-I2-R2-P/checkpoint.json
