parent,instance,variant,repeat,original,k,eligible,status,confirmed_prefix,observed_effect_ids,memory_consumed,observation_complete,raw_probe_status,memory_formed,original_state,identity_stable,endpoints,task_success,confirmed_prefix_status,independent_chains_denominator_unit
RIR-I1-target-R1-P,1,target,1,RIR-I1-target-R1-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-target-R1-revoked_original"": false, ""RIR-I1-target-R1-revoked_identity"": false, ""RIR-I1-target-R1-revoked_neutral"": null, ""RIR-I1-target-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I1-target-R1-P,1,target,1,RIR-I1-target-R1-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-target-R1-revoked_original"": false, ""RIR-I1-target-R1-revoked_identity"": false, ""RIR-I1-target-R1-revoked_neutral"": null, ""RIR-I1-target-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I1-target-R2-P,1,target,2,RIR-I1-target-R2-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-target-R2-revoked_original"": false, ""RIR-I1-target-R2-revoked_identity"": false, ""RIR-I1-target-R2-revoked_neutral"": null, ""RIR-I1-target-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I1-target-R2-P,1,target,2,RIR-I1-target-R2-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-target-R2-revoked_original"": false, ""RIR-I1-target-R2-revoked_identity"": false, ""RIR-I1-target-R2-revoked_neutral"": null, ""RIR-I1-target-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I1-neutral-R1-P,1,neutral,1,RIR-I1-neutral-R1-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-neutral-R1-revoked_original"": false, ""RIR-I1-neutral-R1-revoked_identity"": false, ""RIR-I1-neutral-R1-revoked_neutral"": null, ""RIR-I1-neutral-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I1-neutral-R1-P,1,neutral,1,RIR-I1-neutral-R1-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-neutral-R1-revoked_original"": false, ""RIR-I1-neutral-R1-revoked_identity"": false, ""RIR-I1-neutral-R1-revoked_neutral"": null, ""RIR-I1-neutral-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I1-neutral-R2-P,1,neutral,2,RIR-I1-neutral-R2-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-neutral-R2-revoked_original"": false, ""RIR-I1-neutral-R2-revoked_identity"": false, ""RIR-I1-neutral-R2-revoked_neutral"": null, ""RIR-I1-neutral-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I1-neutral-R2-P,1,neutral,2,RIR-I1-neutral-R2-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I1-neutral-R2-revoked_original"": false, ""RIR-I1-neutral-R2-revoked_identity"": false, ""RIR-I1-neutral-R2-revoked_neutral"": null, ""RIR-I1-neutral-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-target-R1-P,2,target,1,RIR-I2-target-R1-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-target-R1-revoked_original"": false, ""RIR-I2-target-R1-revoked_identity"": false, ""RIR-I2-target-R1-revoked_neutral"": false, ""RIR-I2-target-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-target-R1-P,2,target,1,RIR-I2-target-R1-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-target-R1-revoked_original"": false, ""RIR-I2-target-R1-revoked_identity"": false, ""RIR-I2-target-R1-revoked_neutral"": false, ""RIR-I2-target-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-target-R2-P,2,target,2,RIR-I2-target-R2-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-target-R2-revoked_original"": false, ""RIR-I2-target-R2-revoked_identity"": false, ""RIR-I2-target-R2-revoked_neutral"": false, ""RIR-I2-target-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-target-R2-P,2,target,2,RIR-I2-target-R2-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-target-R2-revoked_original"": false, ""RIR-I2-target-R2-revoked_identity"": false, ""RIR-I2-target-R2-revoked_neutral"": false, ""RIR-I2-target-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-neutral-R1-P,2,neutral,1,RIR-I2-neutral-R1-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-neutral-R1-revoked_original"": false, ""RIR-I2-neutral-R1-revoked_identity"": false, ""RIR-I2-neutral-R1-revoked_neutral"": null, ""RIR-I2-neutral-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-neutral-R1-P,2,neutral,1,RIR-I2-neutral-R1-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-neutral-R1-revoked_original"": false, ""RIR-I2-neutral-R1-revoked_identity"": false, ""RIR-I2-neutral-R1-revoked_neutral"": null, ""RIR-I2-neutral-R1-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-neutral-R2-P,2,neutral,2,RIR-I2-neutral-R2-revoked_original,1,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-neutral-R2-revoked_original"": false, ""RIR-I2-neutral-R2-revoked_identity"": false, ""RIR-I2-neutral-R2-revoked_neutral"": null, ""RIR-I2-neutral-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
RIR-I2-neutral-R2-P,2,neutral,2,RIR-I2-neutral-R2-revoked_original,3,True,confirmed_no_residual,,[],True,True,confirmed_no_residual,True,complete,True,"{""RIR-I2-neutral-R2-revoked_original"": false, ""RIR-I2-neutral-R2-revoked_identity"": false, ""RIR-I2-neutral-R2-revoked_neutral"": null, ""RIR-I2-neutral-R2-not_revoked_control"": false}",True,NOT_OBSERVED_BEFORE_REVOCATION,parent; k1/k3 correlated; I/N/C not pooled
