slot_id,module,kind,parent_slot,instance,source_variant,repeat,branch,max_requests,activation,status,actor_turn,details,attempts,path
TECH-01,TECH,technical,,,,,,24,only_required_technical_validation,complete,11,"{""technical_passed"": true, ""domain"": ""LIVE_TECH_not_formal""}",11,live/units/TECH-01
TECH-02,TECH,technical,,,,,,24,only_required_technical_validation,complete,3,"{""technical_passed"": true, ""domain"": ""LIVE_TECH_not_formal""}",3,live/units/TECH-02
TECH-03,TECH,technical,,,,,,24,only_required_technical_validation,not_started,,,,
TECH-04,TECH,technical,,,,,,24,only_required_technical_validation,not_started,,,,
RIR-I1-target-R1-P,RIR,prefix,,1,target,1,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I1-target-R1-P
RIR-I1-target-R1-revoked_original,RIR,suffix,RIR-I1-target-R1-P,1,target,1,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-target-R1-revoked_original
RIR-I1-target-R1-revoked_identity,RIR,suffix,RIR-I1-target-R1-P,1,target,1,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-target-R1-revoked_identity
RIR-I1-target-R1-revoked_neutral,RIR,suffix,RIR-I1-target-R1-P,1,target,1,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,not_applicable,,"{""reason"": ""exact_control_span_not_preserved"", ""source_checkpoint_hash"": ""3127d4968cfcc4604ebb9f6f03dc20f1f5dbf6c3b5a8b9b2be81e2d53b879be3""}",0,
RIR-I1-target-R1-not_revoked_control,RIR,suffix,RIR-I1-target-R1-P,1,target,1,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-target-R1-not_revoked_control
RIR-I1-target-R2-P,RIR,prefix,,1,target,2,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I1-target-R2-P
