phase,run_id,effect_id,value,oracle,match,matched_grants,grant_set_match,manifest_declared,manifest_match,receipt_present,manifest_provenance
f,run-7c113754ad0a7f7b61d21658,effect-d03d5b6bf085104c,True,True,True,"[""run-7c113754ad0a7f7b61d21658-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-02bcf9b217c16a62e01e85d7,effect-8d024d408a811e51,True,True,True,"[""run-02bcf9b217c16a62e01e85d7-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-07c1fef3b038da65698a7837,effect-66f08cbaaa9c6f9f,True,True,True,"[""run-07c1fef3b038da65698a7837-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-e218d9385df9b4e1a6c402ce,effect-b997a04d76d9e896,True,True,True,"[""run-e218d9385df9b4e1a6c402ce-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-b00b442a90b4c50fb51747b6,effect-99f2deaa04d13d14,True,True,True,"[""run-b00b442a90b4c50fb51747b6-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-499ca49652049a6ef0fc70e2,effect-af284907e26330c5,True,True,True,"[""run-499ca49652049a6ef0fc70e2-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-46339ee772ca533e6962cdb7,effect-2ae81890e9858517,True,True,True,"[""run-46339ee772ca533e6962cdb7-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-d8a023448b26cd7c696d664b,effect-9e799b6393f772f3,True,True,True,"[""run-d8a023448b26cd7c696d664b-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-79745ef529f0075514eff669,effect-14d934f26c14fa98,True,True,True,"[""run-79745ef529f0075514eff669-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-c85b546f47470b157747d9ab,effect-06508fa9ba4cff06,True,True,True,"[""run-c85b546f47470b157747d9ab-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-5aa8e59aef5f95dc4ae6a9d0,effect-3bfe6e77a2b92339,True,True,True,"[""run-5aa8e59aef5f95dc4ae6a9d0-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-3dcc648c47e9ac6f4ac72ff7,effect-3297029600edc47c,True,True,True,"[""run-3dcc648c47e9ac6f4ac72ff7-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-5c5e106f23e5a981e269f0f1,effect-ffdfc2dbb8f75b80,True,True,True,"[""run-5c5e106f23e5a981e269f0f1-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-62145f598e3070cb33d02783,effect-7953877006f14bc6,True,True,True,"[""run-62145f598e3070cb33d02783-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-9b44a88e75482f8d0ef9c2fa,effect-74765c5a2ccc21ad,True,True,True,"[""run-9b44a88e75482f8d0ef9c2fa-grant-context-send""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-c488e906905f00985a62b53a,effect-5edd3016ca178535,True,True,True,"[""run-c488e906905f00985a62b53a-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-7790eecf87ee607b9d5630c5,effect-439af19e6db82022,True,True,True,"[""run-7790eecf87ee607b9d5630c5-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-591789deeae0443e2d8dc38b,effect-8ee8c4c1956f3169,True,True,True,"[""run-591789deeae0443e2d8dc38b-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-a415083b8cec2c4c0871ba56,effect-3ae4adef686b4448,True,True,True,"[""run-a415083b8cec2c4c0871ba56-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-69032697d7ba8330508fdf89,effect-20a1bc09785e341d,True,True,True,"[""run-69032697d7ba8330508fdf89-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-88d3bb886a35b56b5e2d2033,effect-0fabfd506f156f6f,True,True,True,"[""run-88d3bb886a35b56b5e2d2033-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-b71a5e378c9aa970d6f0d6cc,effect-407bf0d8edbb8218,True,True,True,"[""run-b71a5e378c9aa970d6f0d6cc-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-9f0d29efb7ae4a2d5c3c3f02,effect-42293378c4b7b36f,True,True,True,"[""run-9f0d29efb7ae4a2d5c3c3f02-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-bd1c6b04f3621f4d0e527363,effect-b51e78371f5c9c92,True,True,True,"[""run-bd1c6b04f3621f4d0e527363-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-90486c9c1383be817d3e35b4,effect-274ed5577911cd28,True,True,True,"[""run-90486c9c1383be817d3e35b4-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-a43c2e180c1a1fd28d814aa0,effect-8d253c52f7479652,True,True,True,"[""run-a43c2e180c1a1fd28d814aa0-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-2221bd2db6b8407defba6b43,effect-3528014405cffaf2,True,True,True,"[""run-2221bd2db6b8407defba6b43-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-98e19856d6765f086e4c4384,effect-0c8270d5682a4c7a,True,True,True,"[""run-98e19856d6765f086e4c4384-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-6ef1f6c08af68199754528dd,effect-203ee4cae41c2ad5,True,True,True,"[""run-6ef1f6c08af68199754528dd-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-cc4e47fff15af3f17ede77f7,effect-ac72ccc457c9bbf5,True,True,True,"[""run-cc4e47fff15af3f17ede77f7-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-bc6b41bc8a3afa4914be4ed2,effect-4af6d9e29343abcd,True,True,True,"[""run-bc6b41bc8a3afa4914be4ed2-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-ad5526f52ba946c9baf6bffd,effect-a646d628449025f5,True,True,True,"[""run-ad5526f52ba946c9baf6bffd-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-d1750331799ccd7131179d70,effect-2bbdf8d35f383f1f,True,True,True,"[""run-d1750331799ccd7131179d70-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-03a881bc65c31e01a0ea6896,effect-a2d84206930c6d93,True,True,True,"[""run-03a881bc65c31e01a0ea6896-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-16f40dadb856599a39a499d3,effect-dad886440e5781c7,True,True,True,"[""run-16f40dadb856599a39a499d3-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-59768f391763389c8f8f377f,effect-caaeb92f2aaab93a,True,True,True,"[""run-59768f391763389c8f8f377f-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
f,run-cc3a55092fd41e4a3f3d9056,effect-977ef11163cad973,True,True,True,"[""run-cc3a55092fd41e4a3f3d9056-grant-tool-return-read""]",True,True,True,True,current named manifest; separately hashed; historical exact manifest byte binding not independently recovered
