phase,run_id,artifact_id,depth,expected_depth,match,paths,truncated
f,run-4fe1d739bb741337df23b741,artifact-1ea2a9bbfa9e7612,2,2,True,3,False
f,run-4fe1d739bb741337df23b741,artifact-4f9dfe31bac8356e,2,2,True,3,False
f,run-807906c843fce47180e1b3e7,artifact-b8cf1f6ee2be96b4,2,2,True,3,False
f,run-807906c843fce47180e1b3e7,artifact-ebe5ea228474a577,2,2,True,3,False
f,run-c5625de002612e6ce06013b5,artifact-e3c4df6f743ed2b5,2,2,True,3,False
f,run-c5625de002612e6ce06013b5,artifact-f0ea7d9b1e7230ac,2,2,True,3,False
f,run-d3d6e0a50329a49a448a8a7b,artifact-aabc567afdcfbd7b,2,2,True,3,False
f,run-d3d6e0a50329a49a448a8a7b,artifact-c908ace5eeb556b7,2,2,True,3,False
f,run-9126f1b7c4e036c3405e3d6c,artifact-72c62f2c4e289b90,2,2,True,3,False
f,run-9126f1b7c4e036c3405e3d6c,artifact-a976ac587b418a63,2,2,True,3,False
f,run-9fd9467267af1e70211958e6,artifact-7ff3e6de9464f91a,2,2,True,3,False
f,run-9fd9467267af1e70211958e6,artifact-fa126a2f6fb0b882,2,2,True,3,False
f,run-6ebf349abe77e6c417b62bab,artifact-a21731f3f8ec8965,2,2,True,3,False
f,run-6ebf349abe77e6c417b62bab,artifact-12aa338465756851,2,2,True,3,False
f,run-aa99d2ce887881b487dfa83a,artifact-169e4e1b230199ef,2,2,True,3,False
f,run-aa99d2ce887881b487dfa83a,artifact-be7ea08a05ad9f23,2,2,True,3,False
f,run-78a7f3682a66a51f5bc71815,artifact-8155b3ef75fcce06,2,2,True,3,False
f,run-78a7f3682a66a51f5bc71815,artifact-0e95084b99ce3fe8,2,2,True,3,False
f,run-0028ffc6ee4f16b03aaf333a,artifact-08c87fe324f655fe,2,2,True,3,False
f,run-0028ffc6ee4f16b03aaf333a,artifact-722d1c7b612030b0,2,2,True,3,False
f,run-502877e423b82d526a5ca7f7,artifact-9d3d3e9a68f1dbc1,2,2,True,3,False
f,run-502877e423b82d526a5ca7f7,artifact-396da73a799f5a6c,2,2,True,3,False
f,run-edc9127f9a5b2c1d76093957,artifact-3ba37d999fd602d9,2,2,True,3,False
f,run-edc9127f9a5b2c1d76093957,artifact-d6af1c9e71eb6de0,2,2,True,3,False
f,run-a5ce3a514b6863e165ec5980,artifact-ed14218de02b54d6,2,2,True,3,False
f,run-a5ce3a514b6863e165ec5980,artifact-99e5c4fc0ef886fa,2,2,True,3,False
f,run-3c2e117fe5b48620ab889d77,artifact-d3d98fd2112c78ef,2,2,True,3,False
f,run-3c2e117fe5b48620ab889d77,artifact-ed4a3713099ad027,2,2,True,3,False
f,run-a7ca389f9dc8d0829d412898,artifact-1b0f2cf79d8165eb,2,2,True,3,False
f,run-a7ca389f9dc8d0829d412898,artifact-32c25bac83a8b7e0,2,2,True,3,False
f,run-5943cbe876a20f5d7269d265,artifact-7cd76888373435a4,2,2,True,3,False
f,run-5943cbe876a20f5d7269d265,artifact-84a7a147c7f58814,4,4,True,11,False
f,run-5943cbe876a20f5d7269d265,artifact-34a6ae0549714e30,4,4,True,11,False
f,run-4aaddbcc846374453af614c2,artifact-6037c1a4e52fdf7b,2,2,True,3,False
f,run-4aaddbcc846374453af614c2,artifact-4f1cb63e5b98b8bf,4,4,True,11,False
f,run-4aaddbcc846374453af614c2,artifact-53243806b002e689,4,4,True,11,False
f,run-6279bf616ce3879de1bc7398,artifact-de010bb335be717d,2,2,True,3,False
f,run-6279bf616ce3879de1bc7398,artifact-9f3a95e3c9eedc81,4,4,True,11,False
f,run-6279bf616ce3879de1bc7398,artifact-94379c15f22422ea,4,4,True,11,False
f,run-375e22927c6d66c59d2a545f,artifact-a4c8d53859654599,2,2,True,3,False
f,run-375e22927c6d66c59d2a545f,artifact-e3f9799aee13015b,4,4,True,11,False
f,run-375e22927c6d66c59d2a545f,artifact-3526fb83ef44a664,4,4,True,11,False
f,run-a90d17b6e60cd5cbf86726c2,artifact-c982b7b0eba16af0,2,2,True,3,False
f,run-a90d17b6e60cd5cbf86726c2,artifact-2172079fc07cc657,4,4,True,11,False
f,run-a90d17b6e60cd5cbf86726c2,artifact-847bd0c29bebc5c1,4,4,True,11,False
f,run-350dfb5054d20ee2d1b7fbb2,artifact-8a65bdf23ecbb792,2,2,True,3,False
