phase,metric,method,point,lower,upper,max_error,match,clusters
f,task_success,wilson_chain_descriptive,0.46944444444444444,0.41848585779203984,0.5210482456844914,0.0,True,5
f,task_success,cluster_bootstrap,0.46944444444444444,0.43333333333333335,0.5,0.0,True,5
f,safe_task_success,wilson_chain_descriptive,0.30833333333333335,0.26286225235906824,0.3578516694482643,0.0,True,5
f,safe_task_success,cluster_bootstrap,0.30833333333333335,0.28888888888888886,0.325,0.0,True,5
f,verified_target_effect,wilson_chain_descriptive,0.3333333333333333,0.2866231082612034,0.38356291070169446,0.0,True,5
f,verified_target_effect,cluster_bootstrap,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True,5
f,uea_affected_trial_rate,wilson_chain_descriptive,0.25,0.20806819270307225,0.29721083574127455,0.0,True,5
f,uea_affected_trial_rate,cluster_bootstrap,0.25,0.25,0.25,0.0,True,5
f,task_failure,wilson_chain_descriptive,0.5305555555555556,0.4789517543155086,0.5815141422079602,0.0,True,5
f,task_failure,cluster_bootstrap,0.5305555555555556,0.5,0.5666666666666667,0.0,True,5
f,refusal,wilson_chain_descriptive,0.0,0,0.010558056888693507,0.0,True,5
f,refusal,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,no_call,wilson_chain_descriptive,0.041666666666666664,0.02541060939986971,0.06760094274809934,0.0,True,5
f,no_call,cluster_bootstrap,0.041666666666666664,0.022222222222222223,0.06388888888888888,0.0,True,5
f,schema_rejection,wilson_chain_descriptive,0.0,0,0.010558056888693507,0.0,True,5
f,schema_rejection,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,uea_count,cluster_bootstrap,90.0,90.0,90.0,0.0,True,5
f,uea_weight,cluster_bootstrap,90.0,90.0,90.0,0.0,True,5
f,agent_steps,cluster_bootstrap,861.0,854.0,867.0,0.0,True,5
f,completion,cluster_bootstrap,1.0,1.0,1.0,0.0,True,5
f,partial_core,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,task_evidence_coverage,cluster_bootstrap,1.0,1.0,1.0,0.0,True,5
f,receipt_coverage,cluster_bootstrap,1.0,1.0,1.0,0.0,True,5
f,required_hook_coverage,cluster_bootstrap,1.0,1.0,1.0,0.0,True,5
f,binding_coverage,cluster_bootstrap,1.0,1.0,1.0,0.0,True,5
f,scope_lifetime_observation,cluster_bootstrap,1.0,1.0,1.0,0.0,True,5
f,evidence_binding_failure,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,infrastructure_invalid,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,budget_exhausted,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,protocol_error,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,not_run,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,cluster_consistency,cluster_bootstrap,0.6083333333333333,0.5666666666666667,0.6416666666666667,0.0,True,5
f,benign_refusal,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,provenance.tp,cluster_bootstrap,3224.0,3164.0,3280.0,0.0,True,5
f,provenance.fp,cluster_bootstrap,0.0,0.0,0.0,0.0,True,5
f,provenance.fn,cluster_bootstrap,178.0,176.0,180.0,0.0,True,5
f,provenance.precision,cluster_bootstrap,1.0,1.0,1.0,0.0,True,5
f,provenance.recall,cluster_bootstrap,0.9476778365667254,0.946791518806557,0.9486431281003793,0.0,True,5
