slot,effect_id,receipt_bound,file_sha256_match,decision_before_effect,independent_authorized,saved_authorized,grant_set_matches,action,session,domain
TECH-01,TECH-01:fx0004,True,True,True,True,True,True,file.read,0,TECH
TECH-01,TECH-01:fx0007,True,True,True,True,True,True,memory.write,0,TECH
TECH-01,TECH-01:fx0013,True,True,True,True,True,True,memory.read,1,TECH
TECH-01,TECH-01:fx0016,True,True,True,True,True,True,task.write,1,TECH
TECH-01,TECH-01:fx0021,True,True,True,True,True,True,memory.read,2,TECH
TECH-01,TECH-01:fx0024,True,True,True,True,True,True,task.write,2,TECH
TECH-01,TECH-01:fx0029,True,True,True,True,True,True,memory.read,3,TECH
TECH-01,TECH-01:fx0032,True,True,True,True,True,True,task.write,3,TECH
TECH-02,TECH-02:fx0004,True,True,True,True,True,True,task.prepare,0,TECH
TECH-02,TECH-02:fx0009,True,True,True,True,True,True,claim.read,1,TECH
RIR-I1-target-R1-P,RIR-I1-target-R1-P:fx0004,True,True,True,True,True,True,file.read,0,LIVE_SUPPLEMENT
RIR-I1-target-R1-P,RIR-I1-target-R1-P:fx0007,True,True,True,True,True,True,memory.write,0,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_original,RIR-I1-target-R1-revoked_original:fx0013,True,True,True,True,True,True,memory.read,1,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_original,RIR-I1-target-R1-revoked_original:fx0016,True,True,True,True,True,True,task.write,1,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_original,RIR-I1-target-R1-revoked_original:fx0021,True,True,True,True,True,True,memory.read,2,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_original,RIR-I1-target-R1-revoked_original:fx0024,True,True,True,True,True,True,task.write,2,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_original,RIR-I1-target-R1-revoked_original:fx0029,True,True,True,True,True,True,memory.read,3,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_original,RIR-I1-target-R1-revoked_original:fx0032,True,True,True,True,True,True,task.write,3,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_identity,RIR-I1-target-R1-revoked_identity:fx0013,True,True,True,True,True,True,memory.read,1,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_identity,RIR-I1-target-R1-revoked_identity:fx0016,True,True,True,True,True,True,task.write,1,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_identity,RIR-I1-target-R1-revoked_identity:fx0021,True,True,True,True,True,True,memory.read,2,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_identity,RIR-I1-target-R1-revoked_identity:fx0024,True,True,True,True,True,True,task.write,2,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_identity,RIR-I1-target-R1-revoked_identity:fx0029,True,True,True,True,True,True,memory.read,3,LIVE_SUPPLEMENT
RIR-I1-target-R1-revoked_identity,RIR-I1-target-R1-revoked_identity:fx0032,True,True,True,True,True,True,task.write,3,LIVE_SUPPLEMENT
RIR-I1-target-R1-not_revoked_control,RIR-I1-target-R1-not_revoked_control:fx0013,True,True,True,True,True,True,memory.read,1,LIVE_SUPPLEMENT
RIR-I1-target-R1-not_revoked_control,RIR-I1-target-R1-not_revoked_control:fx0016,True,True,True,True,True,True,task.write,1,LIVE_SUPPLEMENT
RIR-I1-target-R1-not_revoked_control,RIR-I1-target-R1-not_revoked_control:fx0021,True,True,True,True,True,True,memory.read,2,LIVE_SUPPLEMENT
RIR-I1-target-R1-not_revoked_control,RIR-I1-target-R1-not_revoked_control:fx0024,True,True,True,True,True,True,task.write,2,LIVE_SUPPLEMENT
RIR-I1-target-R1-not_revoked_control,RIR-I1-target-R1-not_revoked_control:fx0029,True,True,True,True,True,True,memory.read,3,LIVE_SUPPLEMENT
RIR-I1-target-R1-not_revoked_control,RIR-I1-target-R1-not_revoked_control:fx0032,True,True,True,True,True,True,task.write,3,LIVE_SUPPLEMENT
RIR-I1-target-R2-P,RIR-I1-target-R2-P:fx0004,True,True,True,True,True,True,file.read,0,LIVE_SUPPLEMENT
RIR-I1-target-R2-P,RIR-I1-target-R2-P:fx0007,True,True,True,True,True,True,memory.write,0,LIVE_SUPPLEMENT
