parent,k,formed,revoked,complete,actual_ue,eligible,status,production_match,source
RIR-I1-target-R1-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-target-R1-revoked_original/state.json
RIR-I1-target-R1-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-target-R1-revoked_original/state.json
RIR-I1-target-R2-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-target-R2-revoked_original/state.json
RIR-I1-target-R2-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-target-R2-revoked_original/state.json
RIR-I1-neutral-R1-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-neutral-R1-revoked_original/state.json
RIR-I1-neutral-R1-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-neutral-R1-revoked_original/state.json
RIR-I1-neutral-R2-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-neutral-R2-revoked_original/state.json
RIR-I1-neutral-R2-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I1-neutral-R2-revoked_original/state.json
RIR-I2-target-R1-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-target-R1-revoked_original/state.json
RIR-I2-target-R1-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-target-R1-revoked_original/state.json
RIR-I2-target-R2-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-target-R2-revoked_original/state.json
RIR-I2-target-R2-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-target-R2-revoked_original/state.json
RIR-I2-neutral-R1-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-neutral-R1-revoked_original/state.json
RIR-I2-neutral-R1-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-neutral-R1-revoked_original/state.json
RIR-I2-neutral-R2-P,1,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-neutral-R2-revoked_original/state.json
RIR-I2-neutral-R2-P,3,True,True,True,[],True,confirmed_no_residual,True,live/units/RIR-I2-neutral-R2-revoked_original/state.json
