unit,actual_requests,cap,within_cap,status,execution_disposition
TECH-01,11,24,True,complete,complete
TECH-02,3,24,True,complete,complete
TECH-03,0,24,True,not_started,NOT_ENABLED_RESERVED_UNUSED
TECH-04,0,24,True,not_started,NOT_ENABLED_RESERVED_UNUSED
RIR-I1-target-R1-P,2,8,True,complete,complete
RIR-I1-target-R1-revoked_original,9,24,True,complete,complete
RIR-I1-target-R1-revoked_identity,9,24,True,complete,complete
RIR-I1-target-R1-revoked_neutral,0,24,True,not_applicable,not_applicable
RIR-I1-target-R1-not_revoked_control,9,24,True,complete,complete
RIR-I1-target-R2-P,2,8,True,complete,complete
RIR-I1-target-R2-revoked_original,9,24,True,complete,complete
RIR-I1-target-R2-revoked_identity,9,24,True,complete,complete
RIR-I1-target-R2-revoked_neutral,0,24,True,not_applicable,not_applicable
RIR-I1-target-R2-not_revoked_control,9,24,True,complete,complete
RIR-I1-neutral-R1-P,2,8,True,complete,complete
RIR-I1-neutral-R1-revoked_original,9,24,True,complete,complete
RIR-I1-neutral-R1-revoked_identity,9,24,True,complete,complete
RIR-I1-neutral-R1-revoked_neutral,0,24,True,not_applicable,not_applicable
RIR-I1-neutral-R1-not_revoked_control,9,24,True,complete,complete
RIR-I1-neutral-R2-P,2,8,True,complete,complete
RIR-I1-neutral-R2-revoked_original,9,24,True,complete,complete
RIR-I1-neutral-R2-revoked_identity,9,24,True,complete,complete
RIR-I1-neutral-R2-revoked_neutral,0,24,True,not_applicable,not_applicable
RIR-I1-neutral-R2-not_revoked_control,9,24,True,complete,complete
RIR-I2-target-R1-P,2,8,True,complete,complete
RIR-I2-target-R1-revoked_original,9,24,True,complete,complete
RIR-I2-target-R1-revoked_identity,9,24,True,complete,complete
RIR-I2-target-R1-revoked_neutral,9,24,True,complete,complete
RIR-I2-target-R1-not_revoked_control,9,24,True,complete,complete
RIR-I2-target-R2-P,2,8,True,complete,complete
RIR-I2-target-R2-revoked_original,9,24,True,complete,complete
RIR-I2-target-R2-revoked_identity,9,24,True,complete,complete
RIR-I2-target-R2-revoked_neutral,9,24,True,complete,complete
RIR-I2-target-R2-not_revoked_control,9,24,True,complete,complete
RIR-I2-neutral-R1-P,2,8,True,complete,complete
RIR-I2-neutral-R1-revoked_original,9,24,True,complete,complete
RIR-I2-neutral-R1-revoked_identity,9,24,True,complete,complete
RIR-I2-neutral-R1-revoked_neutral,0,24,True,not_applicable,not_applicable
RIR-I2-neutral-R1-not_revoked_control,9,24,True,complete,complete
RIR-I2-neutral-R2-P,2,8,True,complete,complete
RIR-I2-neutral-R2-revoked_original,9,24,True,complete,complete
RIR-I2-neutral-R2-revoked_identity,9,24,True,complete,complete
RIR-I2-neutral-R2-revoked_neutral,0,24,True,not_applicable,not_applicable
RIR-I2-neutral-R2-not_revoked_control,9,24,True,complete,complete
ALR-I1-R1-P,1,8,True,complete,complete
ALR-I1-R1-original,2,12,True,complete,complete
ALR-I1-R1-identity,2,12,True,complete,complete
ALR-I1-R1-neutral,2,12,True,complete,complete
ALR-I1-R2-P,1,8,True,complete,complete
ALR-I1-R2-original,2,12,True,complete,complete
ALR-I1-R2-identity,2,12,True,complete,complete
ALR-I1-R2-neutral,2,12,True,complete,complete
ALR-I2-R1-P,1,8,True,complete,complete
ALR-I2-R1-original,2,12,True,complete,complete
ALR-I2-R1-identity,2,12,True,complete,complete
ALR-I2-R1-neutral,2,12,True,complete,complete
ALR-I2-R2-P,1,8,True,complete,complete
ALR-I2-R2-original,2,12,True,complete,complete
ALR-I2-R2-identity,2,12,True,complete,complete
ALR-I2-R2-neutral,2,12,True,complete,complete
