slot_id,module,kind,parent_slot,instance,source_variant,repeat,branch,max_requests,activation
TECH-01,TECH,technical,,,,,,24,only_required_technical_validation
TECH-02,TECH,technical,,,,,,24,only_required_technical_validation
TECH-03,TECH,technical,,,,,,24,only_required_technical_validation
TECH-04,TECH,technical,,,,,,24,only_required_technical_validation
RIR-I1-target-R1-P,RIR,prefix,,1,target,1,producer,8,rir_module_needed
RIR-I1-target-R1-revoked_original,RIR,suffix,RIR-I1-target-R1-P,1,target,1,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-target-R1-revoked_identity,RIR,suffix,RIR-I1-target-R1-P,1,target,1,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-target-R1-revoked_neutral,RIR,suffix,RIR-I1-target-R1-P,1,target,1,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-target-R1-not_revoked_control,RIR,suffix,RIR-I1-target-R1-P,1,target,1,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-target-R2-P,RIR,prefix,,1,target,2,producer,8,rir_module_needed
RIR-I1-target-R2-revoked_original,RIR,suffix,RIR-I1-target-R2-P,1,target,2,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-target-R2-revoked_identity,RIR,suffix,RIR-I1-target-R2-P,1,target,2,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-target-R2-revoked_neutral,RIR,suffix,RIR-I1-target-R2-P,1,target,2,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-target-R2-not_revoked_control,RIR,suffix,RIR-I1-target-R2-P,1,target,2,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R1-P,RIR,prefix,,1,neutral,1,producer,8,rir_module_needed
RIR-I1-neutral-R1-revoked_original,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R1-revoked_identity,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R1-revoked_neutral,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R1-not_revoked_control,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R2-P,RIR,prefix,,1,neutral,2,producer,8,rir_module_needed
RIR-I1-neutral-R2-revoked_original,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R2-revoked_identity,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R2-revoked_neutral,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I1-neutral-R2-not_revoked_control,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I2-target-R1-P,RIR,prefix,,2,target,1,producer,8,rir_module_needed
RIR-I2-target-R1-revoked_original,RIR,suffix,RIR-I2-target-R1-P,2,target,1,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable
