phase,model_config,condition,unit_id,run_id,source_ref,task_success,effect_count,receipt_count
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s01-r1,run-7c5877d4173e3624ced67105,datasets/t17-v2/stages/f/core-trials.jsonl#L241,True,6,6
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s01-r2,run-d482e3ee375c1f1ddb4c343f,datasets/t17-v2/stages/f/core-trials.jsonl#L242,False,2,2
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s01-r3,run-12d0b185267a9802545f1b89,datasets/t17-v2/stages/f/core-trials.jsonl#L243,False,2,2
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s02-r1,run-3265920d4d07ccae540ed749,datasets/t17-v2/stages/f/core-trials.jsonl#L244,False,0,0
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s02-r2,run-272cf513cec65388f4c9f210,datasets/t17-v2/stages/f/core-trials.jsonl#L245,False,0,0
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s02-r3,run-bb98053ed921b2a7848ccf4d,datasets/t17-v2/stages/f/core-trials.jsonl#L246,False,0,0
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s03-r1,run-b85ab67f96ecede543288f0d,datasets/t17-v2/stages/f/core-trials.jsonl#L247,True,7,7
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s03-r2,run-d9ff35be70f6d71b0b3e5d58,datasets/t17-v2/stages/f/core-trials.jsonl#L248,False,2,2
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s03-r3,run-23cd86183b03953152319749,datasets/t17-v2/stages/f/core-trials.jsonl#L249,True,7,7
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s04-r1,run-f0dd00227515173a1c001c7d,datasets/t17-v2/stages/f/core-trials.jsonl#L250,False,2,2
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s04-r2,run-477c877425c42c2b485e29e2,datasets/t17-v2/stages/f/core-trials.jsonl#L251,True,7,7
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s04-r3,run-e1492296d0620959b03ce673,datasets/t17-v2/stages/f/core-trials.jsonl#L252,False,2,2
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s05-r1,run-214f002eb5a38d91a2a6fd4c,datasets/t17-v2/stages/f/core-trials.jsonl#L253,True,6,6
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s05-r2,run-32c20d0f4ededc6cabdc3a67,datasets/t17-v2/stages/f/core-trials.jsonl#L254,False,2,2
f,gpt-5.6-luna,m2-control-normal,t17-live-reference-v2-model1-m2-control-normal-s05-r3,run-3974748ec8763b2adf0e7aad,datasets/t17-v2/stages/f/core-trials.jsonl#L255,False,2,2
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s01-r1,run-deddd58172979d44b218ffa2,datasets/t17-v2/stages/f/core-trials.jsonl#L256,False,0,0
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s01-r2,run-8c47751ac3da107802da0eea,datasets/t17-v2/stages/f/core-trials.jsonl#L257,False,2,2
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s01-r3,run-45ca2668770cd9dc49e45e25,datasets/t17-v2/stages/f/core-trials.jsonl#L258,True,6,6
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s02-r1,run-8981fdf0db3cfd0f14f40720,datasets/t17-v2/stages/f/core-trials.jsonl#L259,False,5,5
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s02-r2,run-8c980c82f345ac75647c5683,datasets/t17-v2/stages/f/core-trials.jsonl#L260,True,7,7
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s02-r3,run-a82f3edcccdd276737d37be8,datasets/t17-v2/stages/f/core-trials.jsonl#L261,True,6,6
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s03-r1,run-39d81227d538cc34b76c6c34,datasets/t17-v2/stages/f/core-trials.jsonl#L262,False,2,2
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s03-r2,run-23a6913d3c77cbd4d10495db,datasets/t17-v2/stages/f/core-trials.jsonl#L263,True,7,7
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s03-r3,run-275d6537dc3adbc2b512d93b,datasets/t17-v2/stages/f/core-trials.jsonl#L264,False,0,0
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s04-r1,run-2549afd523f25f5cd6f82dfe,datasets/t17-v2/stages/f/core-trials.jsonl#L265,True,6,6
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s04-r2,run-13d58373dad803c9436fa398,datasets/t17-v2/stages/f/core-trials.jsonl#L266,True,6,6
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s04-r3,run-e1090fdf70460aa28bf69e6d,datasets/t17-v2/stages/f/core-trials.jsonl#L267,False,1,1
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s05-r1,run-79f32852ea3a67bdaa0b5f56,datasets/t17-v2/stages/f/core-trials.jsonl#L268,True,7,7
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s05-r2,run-b8c76d9722920593b57053bd,datasets/t17-v2/stages/f/core-trials.jsonl#L269,False,0,0
f,gpt-5.6-luna,m2-target-revoked,t17-live-reference-v2-model1-m2-target-revoked-s05-r3,run-f3fded086a4ed548bd6f51f7,datasets/t17-v2/stages/f/core-trials.jsonl#L270,True,6,6
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s01-r1,run-5c1f3fc65e76e5c2f5f3bd11,datasets/t17-v2/stages/g/core-trials.jsonl#L241,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s01-r2,run-4980a066349dfd61d11957fb,datasets/t17-v2/stages/g/core-trials.jsonl#L242,False,0,0
g,deepseek-v4-flash,m2-control-normal,t17-live-reference-v2-model2-m2-control-normal-s01-r3,run-e1ac26299d4fdf86f35cce8c,datasets/t17-v2/stages/g/core-trials.jsonl#L243,False,0,0
