row_id,view_id,domain,study,raw_metric,display_metric,protocol,unit,reference_queries,eligibility_known,determinate_applicable_truths,answered,agrees,wrong_determinate,judgment_coverage,answered_agreement,source_ref,source_sha256,boundary
C001,V00,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,801bc04a12776cbb30747d2c4a1c21c8ec40d58c67f45c93cfcfcfc373276d2b,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C002,V01,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,504e2ad6ed410b7111a1c0b07ea0ffbec9d049d9bb65262c68cbee2f617234cd,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C003,V02,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,3,3,0,0.5,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V02.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,27eb577b4be4977866439af38b263d5c624bf6f0dd6dbe2a22705be37934c827,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C004,V03,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V03.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,2a824bdc2c922f3a00ea5f90bf506cf824006d7d380d103c40e114b1e0186a6d,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C005,V04,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V04.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,ec13b969b5d030c87f4a203bc1b5beff4b6c36c3680519bdccc77a9a07348b44,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C006,V05,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V05.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,963b5b54d8ea4faa10e675ad99216584d816cbf655a855467d640bf45de8e7be,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C007,V06,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V06.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,4b8d66ce68101936e140020fd4e19da6a94e35c50bc5ad020036f9539181b72a,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C008,V07,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V07.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,4665fe689f269e8143220466dc91d528956a94203be8366b38106bf2fa9be699,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C009,V08,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V08.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,e6b8c8612cd268e4084e46f01112db76347b849c01a9708bf8089f0db3f8ed29,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
C010,V09,FINITE_CONSTRUCT,P4,HIAA_pot_declared,HIAA_pot_declared,declared_finite_v1,finite_capability_model,7,7,6,6,6,0,1.0,1.0,论文材料/P4_测量证据消融/p4-20260917-123623/results/V09.jsonl;论文材料/P4_测量证据消融/p4-20260917-123623/GOLD_PROVENANCE.jsonl,743996ac18bd6db1a7533177e92517fd6384da9ff03e4563f6c3a0a635698da7,"Finite controlled reference, correlated queries; no natural-language accuracy claim"
