row_id,view_id,masked_family,domain,study,raw_metric,display_metric,protocol,horizon,unit,fixed_queries,eligible_true,eligible_false,eligible_unknown,point,bounded,unknown,not_applicable,conflict,analysis_error,boundary,source_ref,source_sha256
B001,V00,Full,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V00.jsonl,801bc04a12776cbb30747d2c4a1c21c8ec40d58c67f45c93cfcfcfc373276d2b
B002,V01,Receipt,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,0,6,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V01.jsonl,504e2ad6ed410b7111a1c0b07ea0ffbec9d049d9bb65262c68cbee2f617234cd
B003,V02,Grant,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V02.jsonl,27eb577b4be4977866439af38b263d5c624bf6f0dd6dbe2a22705be37934c827
B004,V03,Provenance,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V03.jsonl,2a824bdc2c922f3a00ea5f90bf506cf824006d7d380d103c40e114b1e0186a6d
B005,V04,Counterfactual,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V04.jsonl,ec13b969b5d030c87f4a203bc1b5beff4b6c36c3680519bdccc77a9a07348b44
B006,V05,TaskSuccess certificate,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V05.jsonl,963b5b54d8ea4faa10e675ad99216584d816cbf655a855467d640bf45de8e7be
B007,V06,Session/Revocation,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V06.jsonl,4b8d66ce68101936e140020fd4e19da6a94e35c50bc5ad020036f9539181b72a
B008,V07,Scope/Lifetime,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V07.jsonl,4665fe689f269e8143220466dc91d528956a94203be8366b38106bf2fa9be699
B009,V08,Original reason,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V08.jsonl,e6b8c8612cd268e4084e46f01112db76347b849c01a9708bf8089f0db3f8ed29
B010,V09,Failure detail,ALL_DOMAINS_DESCRIPTIVE_QUERY_COUNTS,P4,HIAA_run,HIAA_run,scheduled,,matched_four_cell_grid,6,6,0,0,6,0,0,0,0,0,Fixed heterogeneous query count; not risk rate or independent samples; eligible_unknown is already inside unknown,论文材料/P4_测量证据消融/p4-20260917-123623/results/V09.jsonl,743996ac18bd6db1a7533177e92517fd6384da9ff03e4563f6c3a0a635698da7
