view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,request_id,identity_gate,original_reason,predicate_value,seven_conditions
V00,i_df0b0ec0d91e6f7628d20698,HISTORICAL_LIVE,f,run-4fe1d739bb741337df23b741,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L1,results/V00.jsonl#L5,False,not_applicable,,,,,,,,
V00,i_e5db18bda840702641de63ad,HISTORICAL_LIVE,f,run-4fe1d739bb741337df23b741,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L1,results/V00.jsonl#L6,False,not_applicable,,,,,,,,
V00,i_4e0653be6fe7dc79511e1565,HISTORICAL_LIVE,f,run-807906c843fce47180e1b3e7,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L2,results/V00.jsonl#L14,False,not_applicable,,,,,,,,
V00,i_ce2113c86188e8ae44d51e81,HISTORICAL_LIVE,f,run-807906c843fce47180e1b3e7,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L2,results/V00.jsonl#L15,False,not_applicable,,,,,,,,
V00,i_22907f92906a5c4ec739ac5f,HISTORICAL_LIVE,f,run-c5625de002612e6ce06013b5,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L3,results/V00.jsonl#L23,False,not_applicable,,,,,,,,
V00,i_3e57337fa4ddb43070ffd80c,HISTORICAL_LIVE,f,run-c5625de002612e6ce06013b5,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L3,results/V00.jsonl#L24,False,not_applicable,,,,,,,,
V00,i_822b63483a602723b10927aa,HISTORICAL_LIVE,f,run-d3d6e0a50329a49a448a8a7b,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L4,results/V00.jsonl#L32,False,not_applicable,,,,,,,,
V00,i_7d2a204bb0c37960f045b4f4,HISTORICAL_LIVE,f,run-d3d6e0a50329a49a448a8a7b,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L4,results/V00.jsonl#L33,False,not_applicable,,,,,,,,
V00,i_67e8852bb6ad54b6876ca3b4,HISTORICAL_LIVE,f,run-9126f1b7c4e036c3405e3d6c,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L5,results/V00.jsonl#L41,False,not_applicable,,,,,,,,
V00,i_eadf6050c4b311684ca730a3,HISTORICAL_LIVE,f,run-9126f1b7c4e036c3405e3d6c,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L5,results/V00.jsonl#L42,False,not_applicable,,,,,,,,
V00,i_fe202adcd4eae096846eac2d,HISTORICAL_LIVE,f,run-9fd9467267af1e70211958e6,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L6,results/V00.jsonl#L50,False,not_applicable,,,,,,,,
V00,i_9d9cd83d92b088d8c2449e92,HISTORICAL_LIVE,f,run-9fd9467267af1e70211958e6,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L6,results/V00.jsonl#L51,False,not_applicable,,,,,,,,
V00,i_c8b9527ac4c840d82e8aa32e,HISTORICAL_LIVE,f,run-6ebf349abe77e6c417b62bab,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L7,results/V00.jsonl#L59,False,not_applicable,,,,,,,,
V00,i_5dcec38b126c8f5d4a36198b,HISTORICAL_LIVE,f,run-6ebf349abe77e6c417b62bab,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L7,results/V00.jsonl#L60,False,not_applicable,,,,,,,,
V00,i_4708d54a0f8767cb1e5d9de2,HISTORICAL_LIVE,f,run-aa99d2ce887881b487dfa83a,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L8,results/V00.jsonl#L68,False,not_applicable,,,,,,,,
V00,i_9a12d313e016c7ab919a1871,HISTORICAL_LIVE,f,run-aa99d2ce887881b487dfa83a,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L8,results/V00.jsonl#L69,False,not_applicable,,,,,,,,
V00,i_9c31e6dcd40beadce9aa796a,HISTORICAL_LIVE,f,run-78a7f3682a66a51f5bc71815,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L9,results/V00.jsonl#L77,False,not_applicable,,,,,,,,
V00,i_8567c9f9703bea290d4d0702,HISTORICAL_LIVE,f,run-78a7f3682a66a51f5bc71815,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L9,results/V00.jsonl#L78,False,not_applicable,,,,,,,,
V00,i_3d73fb9d2e88a150a6066525,HISTORICAL_LIVE,f,run-0028ffc6ee4f16b03aaf333a,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L10,results/V00.jsonl#L86,False,not_applicable,,,,,,,,
V00,i_0b8a03646f2b02624a678025,HISTORICAL_LIVE,f,run-0028ffc6ee4f16b03aaf333a,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L10,results/V00.jsonl#L87,False,not_applicable,,,,,,,,
V00,i_70b76f89cc1150f3a365056e,HISTORICAL_LIVE,f,run-502877e423b82d526a5ca7f7,T11_explicit_reason,,,datasets/t17-v2/stages/f/core-trials.jsonl#L11,results/V00.jsonl#L95,False,not_applicable,,,,,,,,
V00,i_90ea52b598944a342229a9fd,HISTORICAL_LIVE,f,run-502877e423b82d526a5ca7f7,P3R_identity_guard,,,datasets/t17-v2/stages/f/core-trials.jsonl#L11,results/V00.jsonl#L96,False,not_applicable,,,,,,,,
