view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,identity_endpoint,neutral_endpoint,semantic_preservation
V00,i_12d4e6b52215288c2c573a04,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s01-r1--replay--context-input,legacy_object_ablation,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L1,results/V00.jsonl#L6012,True,point,0,0,0,False,False,
V00,i_dba793bfb1760268537926d7,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s01-r1--replay--context-input,precise_control_semantics,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L1,results/V00.jsonl#L6013,,unknown,,0,0,False,False,
V00,i_2769b52fd1603cb5399142ee,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s01-r2--replay--context-input,legacy_object_ablation,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L2,results/V00.jsonl#L6014,True,point,0,0,0,False,False,
V00,i_be871c4216f3d90838a66b47,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s01-r2--replay--context-input,precise_control_semantics,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L2,results/V00.jsonl#L6015,,unknown,,0,0,False,False,
V00,i_40abb6f49669efaa063f9580,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s01-r3--replay--context-input,legacy_object_ablation,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L3,results/V00.jsonl#L6016,True,point,0,0,0,False,False,False
V00,i_126a5502aa31566428215e1c,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s01-r3--replay--context-input,precise_control_semantics,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L3,results/V00.jsonl#L6017,False,not_applicable,,,,False,False,False
V00,i_48d1898e5fb06301026692f1,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s02-r1--replay--context-input,legacy_object_ablation,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L4,results/V00.jsonl#L6018,True,point,0,0,0,False,False,False
V00,i_ab4cd46d0cefc985a7cddf18,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s02-r1--replay--context-input,precise_control_semantics,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L4,results/V00.jsonl#L6019,False,not_applicable,,,,False,False,False
V00,i_7a5bc59b01dd2b5032f847b7,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s02-r2--replay--context-input,legacy_object_ablation,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L5,results/V00.jsonl#L6020,True,point,0,0,0,False,False,False
V00,i_3823dc74f3c2a42ababaa7d8,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s02-r2--replay--context-input,precise_control_semantics,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L5,results/V00.jsonl#L6021,False,not_applicable,,,,False,False,False
V00,i_6746b890e5194904646263ed,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s02-r3--replay--context-input,legacy_object_ablation,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L6,results/V00.jsonl#L6022,True,point,0,0,0,False,False,False
V00,i_7b9306550d329f0f93d1f289,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s02-r3--replay--context-input,precise_control_semantics,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L6,results/V00.jsonl#L6023,False,not_applicable,,,,False,False,False
V00,i_93636f46468e609ac5f4e5fc,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s03-r1--replay--context-input,legacy_object_ablation,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L7,results/V00.jsonl#L6024,True,point,0,0,0,False,False,
V00,i_0d3015c6fa5821811ab6903b,HISTORICAL_LIVE,f,t17-live-reference-v2-model1-c1-context-grid-p00-s03-r1--replay--context-input,precise_control_semantics,,,datasets/t17-v2/stages/f/replay-pairs.jsonl#L7,results/V00.jsonl#L6025,,unknown,,0,0,False,False,
