view_id,domain,phase,fixed_artifacts,known_artifacts,tp,fp,fn,f1_numerator,f1_denominator,f1,coverage,scope,unknown_artifacts
V00,HISTORICAL_LIVE,f,2820,2820,3224,0,178,6448,6626,0.973136130395412,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,HISTORICAL_LIVE,g,1300,1300,1556,0,2,3112,3114,0.9993577392421323,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,HISTORICAL_LIVE,h,2375,2375,2701,0,173,5402,5575,0.9689686098654708,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_FAKE_REFERENCE,monitor,66,66,79,0,0,158,158,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_FAKE_REFERENCE,all_defenses,31,31,36,0,0,72,72,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_FAKE_REFERENCE,oracle_router,49,49,58,0,0,116,116,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_FAKE_REFERENCE,evidence_router,35,35,40,0,0,80,80,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,monitor,115,115,138,0,0,276,276,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,universal_enforce,106,106,128,0,0,256,256,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,task_alignment_only,106,106,128,0,0,256,256,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,tdg_only,86,86,108,0,0,216,216,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,drift_isolation_only,64,64,74,0,0,148,148,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,causal_only,106,106,128,0,0,256,256,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,all_defenses,60,60,71,0,0,142,142,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,oracle_router,85,85,101,0,0,202,202,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V00,T18_SCRIPTED,evidence_router,68,68,79,0,0,158,158,1.0,1.0,"recorded oracle member agreement, not live natural accuracy",
V01,HISTORICAL_LIVE,f,2820,2820,3224,0,178,6448,6626,0.973136130395412,1.0,"recorded oracle member agreement, not live natural accuracy",
V01,HISTORICAL_LIVE,g,1300,1300,1556,0,2,3112,3114,0.9993577392421323,1.0,"recorded oracle member agreement, not live natural accuracy",
