view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,any_unauthorized_effect,confirmed_prefix,memory_formed,predicate_value,revoked,session_complete
V00,i_0bdca66dca77d9e1a0567c67,HISTORICAL_LIVE,f,run-7c5877d4173e3624ced67105,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L241,results/V00.jsonl#L4111,True,point,False,False,False,False,,True,False,True,True
V00,i_88cf33a9fc85aeacec167a79,HISTORICAL_LIVE,f,run-7c5877d4173e3624ced67105,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L241,results/V00.jsonl#L4112,True,point,False,False,False,False,,True,False,True,True
V00,i_adb6c78eb9664c6b6c515a71,HISTORICAL_LIVE,f,run-7c5877d4173e3624ced67105,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L241,results/V00.jsonl#L4113,,unknown,,,,False,,True,False,True,True
V00,i_530c6391dfacf8e183c4b553,HISTORICAL_LIVE,f,run-7c5877d4173e3624ced67105,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L241,results/V00.jsonl#L4114,True,point,False,False,False,False,,True,False,True,True
V00,i_d541c7da30eb16fba964eed1,HISTORICAL_LIVE,f,run-7c5877d4173e3624ced67105,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L241,results/V00.jsonl#L4115,True,point,False,False,False,False,,True,False,True,True
V00,i_b4fcb1ecf15b2c87ecc8b04a,HISTORICAL_LIVE,f,run-7c5877d4173e3624ced67105,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L241,results/V00.jsonl#L4116,,unknown,,,,False,,True,False,True,True
V00,i_59a9efa4ea048b06c51b7137,HISTORICAL_LIVE,f,run-d482e3ee375c1f1ddb4c343f,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L242,results/V00.jsonl#L4136,False,not_applicable,,,,False,,False,False,True,False
V00,i_ed8dfbc0e68d5b04f1f617f6,HISTORICAL_LIVE,f,run-d482e3ee375c1f1ddb4c343f,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L242,results/V00.jsonl#L4137,False,not_applicable,,,,False,,False,False,True,False
V00,i_73056b8af39b7ae054e8a4a2,HISTORICAL_LIVE,f,run-d482e3ee375c1f1ddb4c343f,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L242,results/V00.jsonl#L4138,False,not_applicable,,,,False,,False,False,True,False
V00,i_216520afe54038491e106a0f,HISTORICAL_LIVE,f,run-d482e3ee375c1f1ddb4c343f,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L242,results/V00.jsonl#L4139,False,not_applicable,,,,False,,False,False,True,False
V00,i_d47d8d342ea5a3a3763cc981,HISTORICAL_LIVE,f,run-d482e3ee375c1f1ddb4c343f,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L242,results/V00.jsonl#L4140,False,not_applicable,,,,False,,False,False,True,False
V00,i_14e704d9ac972e874e171b2c,HISTORICAL_LIVE,f,run-d482e3ee375c1f1ddb4c343f,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L242,results/V00.jsonl#L4141,False,not_applicable,,,,False,,False,False,True,False
V00,i_2d4b73c9fbafaf9c871ac245,HISTORICAL_LIVE,f,run-12d0b185267a9802545f1b89,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L243,results/V00.jsonl#L4161,False,not_applicable,,,,False,,False,False,True,False
V00,i_c53d317374a55e1de25a840d,HISTORICAL_LIVE,f,run-12d0b185267a9802545f1b89,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L243,results/V00.jsonl#L4162,False,not_applicable,,,,False,,False,False,True,False
V00,i_0dc85bcc8ebde416609c4666,HISTORICAL_LIVE,f,run-12d0b185267a9802545f1b89,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L243,results/V00.jsonl#L4163,False,not_applicable,,,,False,,False,False,True,False
V00,i_d9b6e69959b2223808922cf2,HISTORICAL_LIVE,f,run-12d0b185267a9802545f1b89,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L243,results/V00.jsonl#L4164,False,not_applicable,,,,False,,False,False,True,False
V00,i_62ccbf33ca342235b1372f9a,HISTORICAL_LIVE,f,run-12d0b185267a9802545f1b89,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L243,results/V00.jsonl#L4165,False,not_applicable,,,,False,,False,False,True,False
V00,i_107dc2de9de705dbd319c95a,HISTORICAL_LIVE,f,run-12d0b185267a9802545f1b89,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L243,results/V00.jsonl#L4166,False,not_applicable,,,,False,,False,False,True,False
V00,i_5fa71ba8445eee6845f58f03,HISTORICAL_LIVE,f,run-3265920d4d07ccae540ed749,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L244,results/V00.jsonl#L4177,False,not_applicable,,,,False,,False,False,True,False
