view,queries,reference_truths,point_judged,point_correct,coverage,selective_accuracy,bounds_checked
V00,645,192,190,190,0.9895833333333334,1.0,192
V01,645,192,137,137,0.7135416666666666,1.0,190
V02,645,192,48,48,0.25,1.0,192
V03,645,192,176,176,0.9166666666666666,1.0,184
V04,645,192,184,184,0.9583333333333334,1.0,192
V05,645,192,190,190,0.9895833333333334,1.0,192
V06,645,192,51,51,0.265625,1.0,192
V07,645,192,190,190,0.9895833333333334,1.0,192
V08,645,192,186,186,0.96875,1.0,192
V09,645,192,190,190,0.9895833333333334,1.0,192
V10,645,192,184,184,0.9583333333333334,1.0,192
V11,645,192,190,190,0.9895833333333334,1.0,192
V12,645,192,190,190,0.9895833333333334,1.0,192
