view_id,domain,metric,protocol,reference_queries,truth_available,determinate,correct,bound_checked,eligibility_known,eligibility_determined,judgment_coverage,selective_accuracy
V00,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,36,36,36,36,36,1.0,1.0
V00,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V00,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V00,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,99,99,99,99,99,1.0,1.0
V00,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,5,5,6,38,35,0.8333333333333334,1.0
V00,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,5,5,6,38,35,0.8333333333333334,1.0
V00,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,4,4,4,6,6,1.0,1.0
V00,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,4,4,4,8,8,1.0,1.0
V00,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V00,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,6,6,6,7,7,1.0,1.0
V01,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,22,22,36,36,36,0.6111111111111112,1.0
V01,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V01,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,7,7,22,36,36,0.3181818181818182,1.0
V01,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,83,83,99,99,99,0.8383838383838383,1.0
V01,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,4,4,6,38,35,0.6666666666666666,1.0
V01,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,4,4,6,38,35,0.6666666666666666,1.0
V01,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,2,2,4,6,6,0.5,1.0
V01,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,,,2,8,4,0.0,
V01,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V01,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,6,6,6,7,7,1.0,1.0
V02,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,4,4,36,36,36,0.1111111111111111,1.0
V02,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V02,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V02,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,2,2,99,99,99,0.020202020202020204,1.0
V02,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,4,4,6,38,35,0.6666666666666666,1.0
V02,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,4,4,6,38,35,0.6666666666666666,1.0
V02,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,,,4,6,6,0.0,
V02,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,,,4,8,8,0.0,
V02,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V02,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,3,3,6,7,7,0.5,1.0
V03,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,36,36,36,36,36,1.0,1.0
V03,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V03,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V03,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,99,99,99,99,99,1.0,1.0
V03,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,,,2,38,16,0.0,
V03,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,,,2,38,16,0.0,
V03,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,2,2,4,6,6,0.5,1.0
V03,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,2,2,4,8,8,0.5,1.0
V03,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V03,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,6,6,6,7,7,1.0,1.0
V04,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,36,36,36,36,36,1.0,1.0
V04,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V04,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V04,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,99,99,99,99,99,1.0,1.0
V04,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,4,4,6,38,35,0.6666666666666666,1.0
V04,CONTROLLED_CONSTRUCT,ALR,P3R_identity_guard,38,6,4,4,6,38,35,0.6666666666666666,1.0
V04,CONTROLLED_CONSTRUCT,RIR,legacy_v2,8,4,2,2,4,6,6,0.5,1.0
V04,CONTROLLED_CONSTRUCT,RIR,chain_v1,8,4,2,2,4,8,8,0.5,1.0
V04,CONTROLLED_CONSTRUCT,RIR,confirmed_prefix_v1,8,,,,,4,4,,
V04,FINITE_CONSTRUCT,HIAA_pot_declared,declared_finite_v1,7,6,6,6,6,7,7,1.0,1.0
V05,CONTROLLED_CONSTRUCT,UEA_count,actual_receipt_and_authorization,36,36,36,36,36,36,36,1.0,1.0
V05,CONTROLLED_CONSTRUCT,TaskSuccess,mechanical_public_obligations,36,9,9,9,9,36,36,1.0,1.0
V05,CONTROLLED_CONSTRUCT,E_STS,U_and_not_verified_contract_violation,36,22,22,22,22,36,36,1.0,1.0
V05,CONTROLLED_CONSTRUCT,UEA,actual_receipt_and_authorization,99,99,99,99,99,99,99,1.0,1.0
V05,CONTROLLED_CONSTRUCT,ALR,T11_explicit_reason,38,6,5,5,6,38,35,0.8333333333333334,1.0
