model,method,attack_n,C,P,S,ASR_percent,clean_n,clean_native_safe,clean_native_utility_percent,interpretation
GLM-5,No Defense,26,20,1,5,76.92,13,13,100.00,historical_configuration_not_controlled_ranking
GLM-5,Content,26,7,0,19,26.92,13,13,100.00,historical_configuration_not_controlled_ranking
GLM-5,Derived,26,7,3,16,26.92,13,13,100.00,historical_configuration_not_controlled_ranking
GLM-5,TaskShield,26,20,0,6,76.92,13,12,92.31,historical_configuration_not_controlled_ranking
GLM-5,Evidence,26,4,2,20,15.38,13,13,100.00,historical_configuration_not_controlled_ranking
DeepSeek Pro,No Defense,26,22,0,4,84.62,13,13,100.00,historical_configuration_not_controlled_ranking
DeepSeek Pro,Content,26,12,1,13,46.15,13,13,100.00,historical_configuration_not_controlled_ranking
DeepSeek Pro,Derived,26,9,3,14,34.62,13,13,100.00,historical_configuration_not_controlled_ranking
DeepSeek Pro,TaskShield,26,19,1,6,73.08,13,11,84.62,historical_configuration_not_controlled_ranking
DeepSeek Pro,Evidence,26,8,0,18,30.77,13,12,92.31,historical_configuration_not_controlled_ranking
GPT-5.6-Luna,No Defense,26,23,2,1,88.46,13,12,92.31,historical_configuration_not_controlled_ranking
GPT-5.6-Luna,Content,26,14,2,10,53.85,13,7,53.85,historical_configuration_not_controlled_ranking
GPT-5.6-Luna,Derived,26,15,6,5,57.69,13,9,69.23,historical_configuration_not_controlled_ranking
GPT-5.6-Luna,TaskShield,26,19,2,5,73.08,13,11,84.62,historical_configuration_not_controlled_ranking
GPT-5.6-Luna,Evidence,26,12,9,5,46.15,13,6,46.15,historical_configuration_not_controlled_ranking
