condition,policy,seed,budget,metric,domain,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
Full,Full,0,9,ALR,CONTROLLED_CONSTRUCT,3,3,3,3,1,0.3333333333333333,1,0.6666666666666666,1,0.3333333333333333,0,1,1.0,1.0,0,1,1,1,1.0,1.0,3,0.6666666666666666,1.0,9,0
Full,Full,0,9,ALR,HISTORICAL_LIVE,30,30,30,0,0,0.0,30,1.0,0,0.0,0,0,,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,ALR,SAVED_LIVE,3,3,3,0,0,0.0,3,1.0,0,0.0,0,0,,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,ALR,T18_FAKE_REFERENCE,3,3,3,0,0,0.0,3,1.0,0,0.0,0,0,,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,ALR,T18_SCRIPTED,15,15,15,0,0,0.0,15,1.0,0,0.0,0,0,,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,CI,HISTORICAL_LIVE,30,30,30,0,14,0.4666666666666667,15,0.9666666666666667,1,0.03333333333333333,0,14,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,RIR,CONTROLLED_CONSTRUCT,2,2,2,2,2,1.0,0,1.0,0,0.0,0,2,1.0,1.0,0,2,2,2,1.0,1.0,2,1.0,1.0,9,0
Full,Full,0,9,RIR,HISTORICAL_LIVE,30,30,30,0,7,0.23333333333333334,20,0.9,3,0.1,0,7,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,RIR,SAVED_LIVE,3,3,3,0,2,0.6666666666666666,0,0.6666666666666666,1,0.3333333333333333,0,2,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,RIR,T18_FAKE_REFERENCE,3,3,3,0,2,0.6666666666666666,1,1.0,0,0.0,0,2,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,RIR,T18_SCRIPTED,13,13,13,0,6,0.46153846153846156,3,0.6923076923076923,4,0.3076923076923077,0,6,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,TaskSuccess,CONTROLLED_CONSTRUCT,2,2,2,2,0,0.0,0,1.0,2,1.0,0,0,,1.0,0,0,0,0,,,2,1.0,1.0,9,0
Full,Full,0,9,TaskSuccess,HISTORICAL_LIVE,30,30,30,0,30,1.0,0,1.0,0,0.0,0,30,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,TaskSuccess,SAVED_LIVE,3,3,3,0,1,0.3333333333333333,0,1.0,2,0.6666666666666666,0,1,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,TaskSuccess,T18_FAKE_REFERENCE,3,3,3,0,3,1.0,0,1.0,0,0.0,0,3,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,TaskSuccess,T18_SCRIPTED,15,15,15,0,15,1.0,0,1.0,0,0.0,0,15,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,UEA,CONTROLLED_CONSTRUCT,2,2,2,2,2,1.0,0,1.0,0,0.0,0,2,1.0,1.0,0,2,2,2,1.0,1.0,2,1.0,1.0,9,0
Full,Full,0,9,UEA,HISTORICAL_LIVE,30,30,30,0,30,1.0,0,1.0,0,0.0,0,30,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,UEA,SAVED_LIVE,3,3,3,0,3,1.0,0,1.0,0,0.0,0,3,1.0,1.0,0,0,0,0,,,0,,,9,0
Full,Full,0,9,UEA,T18_FAKE_REFERENCE,3,3,3,0,3,1.0,0,1.0,0,0.0,0,3,1.0,1.0,0,0,0,0,,,0,,,9,0
