condition,budget,guided_minus_static_point_count,guided_minus_static_eligibility_coverage,guided_minus_static_mean_families,guided_minus_static_mean_json_bytes
all_nine_missing,0,0,0.0,0.0,0.0
all_nine_missing,1,0,0.0,0.0,-8.920833333333348
all_nine_missing,2,0,-0.033333333333333326,0.0,-179.47500000000014
all_nine_missing,3,0,0.0,0.0,0.0
all_nine_missing,4,0,0.0,0.0,0.0
all_nine_missing,5,0,0.0,0.0,0.0
all_nine_missing,6,0,0.0,0.0,0.0
all_nine_missing,7,0,0.0,0.0,0.0
all_nine_missing,8,0,0.0,0.0,0.0
all_nine_missing,9,0,0.0,0.0,0.0
five_missing,0,0,0.0,0.0,0.0
five_missing,1,0,-0.008333333333333304,0.0,-59.29166666666674
five_missing,2,0,0.0,0.0,-7.404166666666697
five_missing,3,0,0.0,0.0,0.0
five_missing,4,0,0.0,0.0,0.0
five_missing,5,0,0.0,0.0,0.0
five_missing,6,0,0.0,0.0,0.0
five_missing,7,0,0.0,0.0,0.0
five_missing,8,0,0.0,0.0,0.0
five_missing,9,0,0.0,0.0,0.0
