condition,budget,seeds,point_count_mean,point_count_min,point_count_max,point_coverage_mean,point_coverage_min,point_coverage_max,eligibility_coverage_mean,eligibility_coverage_min,eligibility_coverage_max,unknown_rate_mean,unknown_rate_min,unknown_rate_max,mean_acquired_families_mean,mean_acquired_families_min,mean_acquired_families_max,mean_added_json_bytes_mean,mean_added_json_bytes_min,mean_added_json_bytes_max
all_nine_missing,0,8,21.0,21.0,21.0,0.0875,0.0875,0.0875,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
all_nine_missing,1,8,24.75,22.0,29.0,0.10312500000000001,0.09166666666666666,0.12083333333333333,0.6583333333333333,0.6416666666666667,0.675,0.6817708333333333,0.6708333333333333,0.6875,0.7166666666666667,0.7166666666666667,0.7166666666666667,900.6989583333334,685.4666666666667,1098.1375
all_nine_missing,2,8,29.875,28.0,32.0,0.12447916666666667,0.11666666666666667,0.13333333333333333,0.6807291666666667,0.6583333333333333,0.6875,0.6395833333333334,0.6166666666666667,0.65,1.3984375,1.3875,1.4041666666666666,2025.153125,1659.0875,2454.954166666667
all_nine_missing,3,8,35.5,31.0,42.0,0.14791666666666667,0.12916666666666668,0.175,0.7098958333333334,0.6833333333333333,0.7291666666666666,0.5947916666666666,0.575,0.6208333333333333,2.0380208333333334,2.004166666666667,2.0541666666666667,3226.3625,2702.5625,3626.195833333333
all_nine_missing,4,8,41.125,35.0,49.0,0.17135416666666667,0.14583333333333334,0.20416666666666666,0.74375,0.7166666666666667,0.7708333333333334,0.5458333333333334,0.5208333333333334,0.5833333333333334,2.6328125,2.5791666666666666,2.6625,4550.058333333333,4173.416666666667,5146.7375
all_nine_missing,5,8,51.125,43.0,59.0,0.21302083333333333,0.17916666666666667,0.24583333333333332,0.778125,0.75,0.8083333333333333,0.4859375,0.4666666666666667,0.5208333333333334,3.1786458333333334,3.1,3.2375,6254.373958333334,5319.229166666667,7091.595833333334
all_nine_missing,6,8,64.0,56.0,70.0,0.26666666666666666,0.23333333333333334,0.2916666666666667,0.8203125,0.7958333333333333,0.8375,0.41302083333333334,0.3958333333333333,0.43333333333333335,3.6645833333333333,3.566666666666667,3.7583333333333333,7975.517708333333,7283.179166666667,8521.266666666666
all_nine_missing,7,8,82.75,72.0,91.0,0.34479166666666666,0.3,0.37916666666666665,0.859375,0.8458333333333333,0.8833333333333333,0.31666666666666665,0.2708333333333333,0.3458333333333333,4.077604166666666,3.970833333333333,4.170833333333333,9229.020312499999,8686.058333333332,9866.683333333332
all_nine_missing,8,8,103.25,97.0,112.0,0.43020833333333336,0.4041666666666667,0.4666666666666667,0.9026041666666667,0.8875,0.9208333333333333,0.2125,0.17083333333333334,0.24166666666666667,4.394270833333334,4.291666666666667,4.491666666666666,10542.461979166666,9998.3625,11222.770833333334
all_nine_missing,9,8,135.0,135.0,135.0,0.5625,0.5625,0.5625,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,4.606770833333333,4.479166666666667,4.708333333333333,11510.384895833333,10842.670833333334,12198.4125
five_missing,0,8,41.0,41.0,41.0,0.17083333333333334,0.17083333333333334,0.17083333333333334,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
five_missing,1,8,53.125,48.0,60.0,0.22135416666666666,0.2,0.25,0.7661458333333333,0.7458333333333333,0.7833333333333333,0.49375,0.4708333333333333,0.5291666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,1666.9854166666667,1269.9791666666667,2269.4583333333335
five_missing,2,8,67.5,59.0,75.0,0.28125,0.24583333333333332,0.3125,0.8015625,0.775,0.825,0.41302083333333334,0.39166666666666666,0.4375,1.0604166666666668,1.0375,1.0958333333333334,3124.194270833333,2459.954166666667,3597.5041666666666
five_missing,3,8,85.75,80.0,93.0,0.3572916666666667,0.3333333333333333,0.3875,0.8442708333333333,0.8333333333333334,0.8583333333333333,0.3145833333333333,0.2916666666666667,0.3375,1.4734375,1.4416666666666667,1.5333333333333334,4710.416145833334,3640.858333333333,5506.595833333334
five_missing,4,8,107.5,101.0,114.0,0.4479166666666667,0.42083333333333334,0.475,0.8989583333333333,0.8916666666666667,0.9125,0.20052083333333331,0.175,0.2375,1.7880208333333334,1.7416666666666667,1.8541666666666667,6147.455729166667,5068.2875,6815.875
five_missing,5,8,135.0,135.0,135.0,0.5625,0.5625,0.5625,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,1.9885416666666667,1.9166666666666667,2.05,7150.9484375,6558.391666666666,8000.441666666667
five_missing,6,8,135.0,135.0,135.0,0.5625,0.5625,0.5625,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,1.9885416666666667,1.9166666666666667,2.05,7150.9484375,6558.391666666666,8000.441666666667
five_missing,7,8,135.0,135.0,135.0,0.5625,0.5625,0.5625,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,1.9885416666666667,1.9166666666666667,2.05,7150.9484375,6558.391666666666,8000.441666666667
five_missing,8,8,135.0,135.0,135.0,0.5625,0.5625,0.5625,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,1.9885416666666667,1.9166666666666667,2.05,7150.9484375,6558.391666666666,8000.441666666667
