query_id,unit,metric,protocol,domain,independence_group,source_ref,native_unit_ref,source_cluster
i_75533ac930d59f1acb7338b6,i_8027f039c70205dea57a43e5,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_f50b6504e707e150a14c216f,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/missing_memory-neutral/state.json,missing_memory-neutral,construct:missing_memory
i_2f975f09b9d6ff9806c450a0,i_8e2d7b253f0897610c797472,ALR,P3R_identity_guard,HISTORICAL_LIVE,i_8e2d7b253f0897610c797472,datasets/t17-v2/stages/f/core-trials.jsonl#L314,run-74a7c0d832066aa3415b86f3,source-block:datasets/t17-v2/stages/f/core-trials.jsonl
i_af9bdacfaab3db42fd25a425,i_707d93b382be7d0590f829f3,ALR,T11_explicit_reason,SAVED_LIVE,i_707d93b382be7d0590f829f3,论文材料/P3_机制测量/p3r-20260917-103400/live/units/RIR-I1-neutral-R1-P/state.json,RIR-I1-neutral-R1-P,source-block:论文材料/P3_机制测量/p3r-20260917-103400/live/units/RIR-I1-neutral-R1-P/state.json
i_a0c54f2f90163f8faf85ea10,i_af019b29cb5053f6a7dd5abc,ALR,T11_explicit_reason,T18_FAKE_REFERENCE,i_af019b29cb5053f6a7dd5abc,datasets/t18-local/fake_reference/cores/c022.json,t18-fake_reference-m2-neutral.all_defenses.on,source-block:datasets/t18-local/fake_reference/cores/c022.json
i_a0d23781f4603c452699db0a,i_8dc0650673205940082bd32c,ALR,P3R_identity_guard,T18_SCRIPTED,i_8dc0650673205940082bd32c,datasets/t18-local/scripted/cores/c077.json,t18-scripted-m2-attack.drift_isolation_only.on,source-block:datasets/t18-local/scripted/cores/c077.json
i_bb4899c9d7a09e09591e95c5,i_770cec40cded637a4d8868af,CI,legacy_object_ablation,HISTORICAL_LIVE,i_770cec40cded637a4d8868af,datasets/t17-v2/stages/f/replay-pairs.jsonl#L226,t17-live-reference-v2-model1-m2-target-revoked-s03-r2--replay--m2-memory-3,source-block:datasets/t17-v2/stages/f/replay-pairs.jsonl
i_08419792323cc5a64b2af432,i_2046e758c08c25e731002136,RIR,chain_v1,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-original/state.json,negative-original,construct:negative
i_6dcec97164139f55c1f8c89a,i_20fcf01a086a0c6ba77c2456,RIR,legacy_v2,HISTORICAL_LIVE,i_20fcf01a086a0c6ba77c2456,datasets/t17-v2/stages/g/core-trials.jsonl#L266,run-1f21f79215819737a7a38ce7,source-block:datasets/t17-v2/stages/g/core-trials.jsonl
i_952da0904b6a4531f4916e53,i_7781d2106efcff0652769387,RIR,chain_v1,SAVED_LIVE,i_a7f519a64075174265caf7d1,论文材料/P3_机制测量/p3r-20260917-103400/live/units/RIR-I1-target-R2-revoked_original/state.json,RIR-I1-target-R2-revoked_original,source-block:论文材料/P3_机制测量/p3r-20260917-103400/live/units/RIR-I1-target-R2-revoked_original/state.json
i_c399ceb07ac7e875ef68727c,i_a6aa75d476968962d9358c80,RIR,legacy_v2,T18_FAKE_REFERENCE,i_a6aa75d476968962d9358c80,datasets/t18-local/fake_reference/cores/c024.json,t18-fake_reference-m2-neutral.evidence_router.on,source-block:datasets/t18-local/fake_reference/cores/c024.json
i_15055fc166bf7e787f498b8a,i_cb1270300320bb20b81e8b5f,RIR,confirmed_prefix_v1,T18_SCRIPTED,i_cb1270300320bb20b81e8b5f,datasets/t18-local/scripted/cores/c073.json,t18-scripted-m2-attack.monitor.on,source-block:datasets/t18-local/scripted/cores/c073.json
i_0b4efd25e0499d5f7117ffb5,i_351ee8f4aef2b0c1cd85b94d,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-original/state.json,neutral_still_executes-alr-original,construct:neutral_still_executes-alr
i_0896a04bf25aab8874aee3d3,i_a1642301d1fd8a00ffb6711f,TaskSuccess,mechanical_public_obligations,HISTORICAL_LIVE,i_a1642301d1fd8a00ffb6711f,datasets/t17-v2/stages/f/core-trials.jsonl#L54,run-79745ef529f0075514eff669,source-block:datasets/t17-v2/stages/f/core-trials.jsonl
i_bc88c5d60b1503fb1d5c3cbb,i_c442558bfbd48efcefaa6073,TaskSuccess,mechanical_public_obligations,SAVED_LIVE,i_c442558bfbd48efcefaa6073,论文材料/P3_机制测量/p3r-20260917-103400/live/units/ALR-I1-R2-P/state.json,ALR-I1-R2-P,source-block:论文材料/P3_机制测量/p3r-20260917-103400/live/units/ALR-I1-R2-P/state.json
i_6551441a55e0d22846c7e01c,i_42a1af693ceb31a600d981f5,TaskSuccess,mechanical_public_obligations,T18_FAKE_REFERENCE,i_42a1af693ceb31a600d981f5,datasets/t18-local/fake_reference/cores/c019.json,t18-fake_reference-m2-attack.oracle_router.on,source-block:datasets/t18-local/fake_reference/cores/c019.json
i_770dd422504bad22492e60f9,i_28f751680539745d0634611a,TaskSuccess,mechanical_public_obligations,T18_SCRIPTED,i_28f751680539745d0634611a,datasets/t18-local/scripted/cores/c181.json,t18-scripted-hm-attack.monitor.on,source-block:datasets/t18-local/scripted/cores/c181.json
i_5b081deb9b9ae9e2efa794e6,i_1efc855b6892c38d31f705f4,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-neutral/state.json,legal_retention-neutral,construct:legal_retention
i_87233035146d3c5ba3c32115,i_bcd281dd4d8953f9069deef5,UEA,actual_receipt_and_authorization,HISTORICAL_LIVE,i_bcd281dd4d8953f9069deef5,datasets/t17-v2/stages/f/core-trials.jsonl#L192,run-cc428c53606e084d1972a286,source-block:datasets/t17-v2/stages/f/core-trials.jsonl
i_a46a2481748c8462a7c0f688,i_92f3f0d2b55bb6888f62eeba,UEA,actual_receipt_and_authorization,SAVED_LIVE,i_de72b81a783f07e75ecc50fd,论文材料/P3_机制测量/p3r-20260917-103400/live/units/RIR-I1-neutral-R2-revoked_identity/state.json,RIR-I1-neutral-R2-revoked_identity,source-block:论文材料/P3_机制测量/p3r-20260917-103400/live/units/RIR-I1-neutral-R2-revoked_identity/state.json
i_fef1d4bd8031dc1f3a337028,i_363d194aad245c959a17a206,UEA,actual_receipt_and_authorization,T18_FAKE_REFERENCE,i_363d194aad245c959a17a206,datasets/t18-local/fake_reference/cores/c021.json,t18-fake_reference-m2-neutral.monitor.on,source-block:datasets/t18-local/fake_reference/cores/c021.json
i_4d93d537b21069173cb5b27b,i_a6e36fa36fbc78167abadaec,UEA,actual_receipt_and_authorization,T18_SCRIPTED,i_a6e36fa36fbc78167abadaec,datasets/t18-local/scripted/cores/c079.json,t18-scripted-m2-attack.all_defenses.on,source-block:datasets/t18-local/scripted/cores/c079.json
i_acd7cc6b09befeacf15a3021,i_e0ca31ad23d202ed53f81dd4,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-neutral/state.json,ordinary_bypass-alr-neutral,construct:ordinary_bypass-alr
i_ea0df404754886da9655d483,i_cc0cddacd79af8374ca62f4f,ALR,P3R_identity_guard,HISTORICAL_LIVE,i_cc0cddacd79af8374ca62f4f,datasets/t17-v2/stages/f/core-trials.jsonl#L181,run-7c64b5326c2a78ec42b035ca,source-block:datasets/t17-v2/stages/f/core-trials.jsonl
i_564885c0060df1f393011c75,i_7d7b27e6abb3dcd7b94f9ea0,ALR,T11_explicit_reason,SAVED_LIVE,i_616d081458d2f0bcd4ff70d7,论文材料/P3_机制测量/p3r-20260917-103400/live/units/ALR-I2-R2-identity/state.json,ALR-I2-R2-identity,source-block:论文材料/P3_机制测量/p3r-20260917-103400/live/units/ALR-I2-R2-identity/state.json
