condition,policy,seed,budget,metric,domain,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
Full,Full,0,9,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,10,0.13157894736842105,54,0.9210526315789473,12,0.15789473684210525,0,10,1.0,1.0,0,12,10,10,0.8333333333333334,1.0,76,0.9210526315789473,1.0,9,0
Full,Full,0,9,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,8,0.3333333333333333,10,0.75,6,0.25,0,8,1.0,1.0,0,8,8,8,1.0,1.0,18,1.0,1.0,9,0
Full,Full,0,9,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,9,0
Full,Full,0,9,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,99,1.0,0,1.0,0,0.0,0,99,1.0,1.0,0,99,99,99,1.0,1.0,99,1.0,1.0,9,0
all_nine_missing,contract_guided,0,0,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,0,0.0,32,0.42105263157894735,44,0.5789473684210527,0,0,,0.5,0,12,0,0,0.0,,76,0.42105263157894735,1.0,0,0
all_nine_missing,contract_guided,0,0,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,4,0.16666666666666666,20,0.8333333333333334,0,0,,0.4166666666666667,0,8,0,0,0.0,,18,0.2222222222222222,1.0,0,0
all_nine_missing,contract_guided,0,0,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,0,0.0,0,1.0,36,1.0,0,0,,0.75,0,9,0,0,0.0,,36,1.0,1.0,0,0
all_nine_missing,contract_guided,0,0,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,0,0.0,0,1.0,99,1.0,0,0,,0.0,0,99,0,0,0.0,,99,1.0,1.0,0,0
all_nine_missing,contract_guided,0,1,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,0,0.0,54,0.9210526315789473,22,0.2894736842105263,0,0,,0.868421052631579,0,12,0,0,0.0,,76,0.9210526315789473,1.0,0.5789473684210527,342.2105263157895
all_nine_missing,contract_guided,0,1,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,10,0.5833333333333334,14,0.5833333333333334,0,0,,0.6666666666666666,0,8,0,0,0.0,,18,0.7777777777777778,1.0,0.8333333333333334,1105.1666666666667
all_nine_missing,contract_guided,0,1,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,1,445.94444444444446
all_nine_missing,contract_guided,0,1,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,2,0.020202020202020204,0,1.0,97,0.9797979797979798,0,2,1.0,0.020202020202020204,0,99,2,2,0.020202020202020204,1.0,99,1.0,1.0,1,960.8282828282828
all_nine_missing,contract_guided,0,2,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,0,0.0,54,0.9210526315789473,22,0.2894736842105263,0,0,,0.868421052631579,0,12,0,0,0.0,,76,0.9210526315789473,1.0,0.868421052631579,520.1315789473684
all_nine_missing,contract_guided,0,2,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,10,0.75,14,0.5833333333333334,0,0,,0.6666666666666666,0,8,0,0,0.0,,18,1.0,1.0,1.4166666666666667,1814.1666666666667
all_nine_missing,contract_guided,0,2,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,1.75,751.3611111111111
all_nine_missing,contract_guided,0,2,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,16,0.16161616161616163,0,1.0,83,0.8383838383838383,0,16,1.0,0.16161616161616163,0,99,16,16,0.16161616161616163,1.0,99,1.0,1.0,1.97979797979798,1552.6262626262626
all_nine_missing,contract_guided,0,3,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,8,0.10526315789473684,54,0.9210526315789473,14,0.18421052631578946,0,8,1.0,0.9736842105263158,0,12,8,8,0.6666666666666666,1.0,76,0.9210526315789473,1.0,1.1578947368421053,553.7368421052631
all_nine_missing,contract_guided,0,3,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,4,0.16666666666666666,10,0.75,10,0.4166666666666667,0,4,1.0,0.8333333333333334,0,8,4,4,0.5,1.0,18,1.0,1.0,2,2205.1666666666665
all_nine_missing,contract_guided,0,3,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,2.5,1001.2222222222222
all_nine_missing,contract_guided,0,3,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,16,0.16161616161616163,0,1.0,83,0.8383838383838383,0,16,1.0,0.16161616161616163,0,99,16,16,0.16161616161616163,1.0,99,1.0,1.0,2.8181818181818183,1583.6464646464647
all_nine_missing,contract_guided,0,4,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,8,0.10526315789473684,54,0.9210526315789473,14,0.18421052631578946,0,8,1.0,0.9736842105263158,0,12,8,8,0.6666666666666666,1.0,76,0.9210526315789473,1.0,1.3421052631578947,607
all_nine_missing,contract_guided,0,4,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,4,0.16666666666666666,10,0.75,10,0.4166666666666667,0,4,1.0,0.8333333333333334,0,8,4,4,0.5,1.0,18,1.0,1.0,2.4166666666666665,2282.3333333333335
all_nine_missing,contract_guided,0,4,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,3.25,1598.9444444444443
all_nine_missing,contract_guided,0,4,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,99,1.0,0,1.0,0,0.0,0,99,1.0,1.0,0,99,99,99,1.0,1.0,99,1.0,1.0,3.6565656565656566,2652.313131313131
all_nine_missing,contract_guided,0,5,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,10,0.13157894736842105,54,0.9210526315789473,12,0.15789473684210525,0,10,1.0,1.0,0,12,10,10,0.8333333333333334,1.0,76,0.9210526315789473,1.0,1.5263157894736843,1192.5
all_nine_missing,contract_guided,0,5,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,4,0.16666666666666666,10,0.75,10,0.4166666666666667,0,4,1.0,0.8333333333333334,0,8,4,4,0.5,1.0,18,1.0,1.0,2.8333333333333335,2723.4166666666665
all_nine_missing,contract_guided,0,5,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,4,1887.6666666666667
all_nine_missing,contract_guided,0,5,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,99,1.0,0,1.0,0,0.0,0,99,1.0,1.0,0,99,99,99,1.0,1.0,99,1.0,1.0,3.6565656565656566,2652.313131313131
all_nine_missing,contract_guided,0,6,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,10,0.13157894736842105,54,0.9210526315789473,12,0.15789473684210525,0,10,1.0,1.0,0,12,10,10,0.8333333333333334,1.0,76,0.9210526315789473,1.0,1.6842105263157894,1407.5
all_nine_missing,contract_guided,0,6,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,8,0.3333333333333333,10,0.75,6,0.25,0,8,1.0,1.0,0,8,8,8,1.0,1.0,18,1.0,1.0,3.25,11179.666666666666
all_nine_missing,contract_guided,0,6,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,4.75,3542.8333333333335
all_nine_missing,contract_guided,0,6,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,99,1.0,0,1.0,0,0.0,0,99,1.0,1.0,0,99,99,99,1.0,1.0,99,1.0,1.0,3.6565656565656566,2652.313131313131
