condition,budget,guided_minus_static_point_count,guided_minus_static_eligibility_coverage,guided_minus_static_mean_families,guided_minus_static_mean_json_bytes
all_nine_missing,0,0,0.0,0.0,0.0
all_nine_missing,1,0,0.0,0.0,-46.78723404255322
all_nine_missing,2,0,0.0,0.0,-38.48085106382996
all_nine_missing,3,0,0.0,0.0,-6.621276595744803
all_nine_missing,4,0,0.0,0.0,-0.3148936170214256
all_nine_missing,5,0,0.0,0.0,-0.7914893617021335
all_nine_missing,6,0,0.0,0.0,-40.97872340425556
all_nine_missing,7,0,0.0,0.0,-0.5106382978724469
all_nine_missing,8,0,0.0,0.0,0.0
all_nine_missing,9,0,0.0,0.0,0.0
five_missing,0,0,0.0,0.0,0.0
five_missing,1,0,0.0,0.0,-22.327659574468044
five_missing,2,0,0.0,0.0,-1.0170212765958695
five_missing,3,0,0.0,0.0,-0.39574468085106673
five_missing,4,0,0.0,0.0,-20.642553191489696
five_missing,5,0,0.0,0.0,0.0
five_missing,6,0,0.0,0.0,0.0
five_missing,7,0,0.0,0.0,0.0
five_missing,8,0,0.0,0.0,0.0
five_missing,9,0,0.0,0.0,0.0
