query_id,unit,metric,protocol,domain,independence_group,source_ref,native_unit_ref,source_cluster
i_01ba8c616e8f9f1618427236,i_a1baa42b66637512a0528ccb,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-prefix/state.json,ordinary_bypass-alr-prefix,construct:ordinary_bypass-alr
i_023c58bdec3024b0045061f7,i_c2af97ca482dd5d15149c8ef,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_089b40d91e7ff0b124d9a3b2,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-alr-original/state.json,positive-alr-original,construct:positive-alr
i_0275fb6ec11cd05d1ce1f416,i_f50b6504e707e150a14c216f,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_f50b6504e707e150a14c216f,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/missing_memory-prefix/state.json,missing_memory-prefix,construct:missing_memory
i_03573ad32c010a28d2890fc9,i_e2f54de6b83594d6de9e93e2,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_089b40d91e7ff0b124d9a3b2,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-alr-identity/state.json,positive-alr-identity,construct:positive-alr
i_06c123ee8ec8570335f22b1d,i_12f8e542b4e3731290eb5b8d,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-original/state.json,unknown_reason-alr-original,construct:unknown_reason-alr
i_07b94e1a4d51c1157b58c641,i_351ee8f4aef2b0c1cd85b94d,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-original/state.json,neutral_still_executes-alr-original,construct:neutral_still_executes-alr
i_08419792323cc5a64b2af432,i_2046e758c08c25e731002136,RIR,chain_v1,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-original/state.json,negative-original,construct:negative
i_0856e296269ba6310976b7fe,i_cdb45cb3c238883872832af3,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-prefix/state.json,legal_retention-prefix,construct:legal_retention
i_09270e1652130f89eeeeb02d,i_c828936c6a476e4e3088cfbd,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-identity/state.json,real_grant-alr-identity,construct:real_grant-alr
i_0b4efd25e0499d5f7117ffb5,i_351ee8f4aef2b0c1cd85b94d,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-original/state.json,neutral_still_executes-alr-original,construct:neutral_still_executes-alr
i_0c00ac4d0e5ef727910a8f47,i_cdb45cb3c238883872832af3,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-prefix/state.json,legal_retention-prefix,construct:legal_retention
