condition,policy,seed,budget,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
Full,Full,0,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,9,0
all_nine_missing,contract_guided,0,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
all_nine_missing,contract_guided,0,1,235,235,36,9,11,0.04680851063829787,64,0.9319148936170213,160,0.6808510638297872,0,11,1.0,0.5106382978723404,0,128,11,11,0.0859375,1.0,229,0.9563318777292577,1.0,0.8468085106382979,696.6297872340425
all_nine_missing,contract_guided,0,2,235,235,36,9,25,0.10638297872340426,64,0.948936170212766,146,0.6212765957446809,0,25,1.0,0.5702127659574469,0,128,25,25,0.1953125,1.0,229,0.9737991266375546,1.0,1.5276595744680852,1122.6765957446808
all_nine_missing,contract_guided,0,3,235,235,36,9,37,0.1574468085106383,64,0.948936170212766,134,0.5702127659574469,0,37,1.0,0.6212765957446809,0,128,37,37,0.2890625,1.0,229,0.9737991266375546,1.0,2.148936170212766,1224.8212765957446
all_nine_missing,contract_guided,0,4,235,235,36,9,120,0.5106382978723404,64,0.948936170212766,51,0.2170212765957447,0,120,1.0,0.9744680851063829,0,128,120,120,0.9375,1.0,229,0.9737991266375546,1.0,2.7191489361702126,1791.6978723404254
all_nine_missing,contract_guided,0,5,235,235,36,9,122,0.5191489361702127,64,0.948936170212766,49,0.20851063829787234,0,122,1.0,0.9829787234042553,0,128,122,122,0.953125,1.0,229,0.9737991266375546,1.0,2.9361702127659575,2070.3276595744683
all_nine_missing,contract_guided,0,6,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,3.1446808510638298,3257.0340425531913
all_nine_missing,contract_guided,0,7,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,3.3361702127659574,3308.323404255319
all_nine_missing,contract_guided,0,8,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,3.527659574468085,3328.2893617021277
all_nine_missing,contract_guided,0,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,3.7191489361702126,3357.3276595744683
all_nine_missing,global_fixed,0,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
