phase,design,policy,cell,exact_run_set_matches,denominator
f,c1-context-grid,scheduled,p00,True,15
f,c1-context-grid,scheduled,p01,True,15
f,c1-context-grid,scheduled,p10,True,15
f,c1-context-grid,scheduled,p11,True,15
f,c1-context-grid,valid_only,p00,True,15
f,c1-context-grid,valid_only,p01,True,15
f,c1-context-grid,valid_only,p10,True,15
f,c1-context-grid,valid_only,p11,True,15
f,c2-tool-return-grid,scheduled,p00,True,15
f,c2-tool-return-grid,scheduled,p01,True,15
f,c2-tool-return-grid,scheduled,p10,True,15
f,c2-tool-return-grid,scheduled,p11,True,15
f,c2-tool-return-grid,valid_only,p00,True,13
f,c2-tool-return-grid,valid_only,p01,True,13
f,c2-tool-return-grid,valid_only,p10,True,13
f,c2-tool-return-grid,valid_only,p11,True,13
g,c1-context-grid,scheduled,p00,True,15
g,c1-context-grid,scheduled,p01,True,15
g,c1-context-grid,scheduled,p10,True,15
g,c1-context-grid,scheduled,p11,True,15
g,c1-context-grid,valid_only,p00,True,0
g,c1-context-grid,valid_only,p01,True,0
g,c1-context-grid,valid_only,p10,True,0
g,c1-context-grid,valid_only,p11,True,0
g,c2-tool-return-grid,scheduled,p00,True,15
g,c2-tool-return-grid,scheduled,p01,True,15
g,c2-tool-return-grid,scheduled,p10,True,15
g,c2-tool-return-grid,scheduled,p11,True,15
g,c2-tool-return-grid,valid_only,p00,True,1
g,c2-tool-return-grid,valid_only,p01,True,1
g,c2-tool-return-grid,valid_only,p10,True,1
g,c2-tool-return-grid,valid_only,p11,True,1
h,c1-context-grid,scheduled,p00,True,15
h,c1-context-grid,scheduled,p01,True,15
h,c1-context-grid,scheduled,p10,True,15
h,c1-context-grid,scheduled,p11,True,15
h,c1-context-grid,valid_only,p00,True,15
h,c1-context-grid,valid_only,p01,True,15
h,c1-context-grid,valid_only,p10,True,15
h,c1-context-grid,valid_only,p11,True,15
h,c2-tool-return-grid,scheduled,p00,True,15
h,c2-tool-return-grid,scheduled,p01,True,15
h,c2-tool-return-grid,scheduled,p10,True,15
h,c2-tool-return-grid,scheduled,p11,True,15
h,c2-tool-return-grid,valid_only,p00,True,13
h,c2-tool-return-grid,valid_only,p01,True,13
h,c2-tool-return-grid,valid_only,p10,True,13
h,c2-tool-return-grid,valid_only,p11,True,13
