split,mechanism,metric,policy,budget,measure,old,corrected,difference
development,ALL,ALL,dependency_guided,0,correct_point_coverage,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,selective_error_rate,,,
development,ALL,ALL,dependency_guided,0,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,point_coverage,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,unknown_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,infeasible_rate,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,0,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,0,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,0,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,full_state_agreement,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,0,full_point_agreement,,,
development,ALL,ALL,dependency_guided,0,mean_charged_bytes_feasible,,,
development,ALL,ALL,dependency_guided,0,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,0,mean_visible_json_bytes,2081.8799603174602,2081.8799603174602,0.0
development,ALL,ALL,dependency_guided,0,mean_acquired_channels,7.470238095238095,7.470238095238095,0.0
development,ALL,ALL,dependency_guided,0,mean_evidence_fields,44.37698412698413,44.37698412698413,0.0
development,ALL,ALL,dependency_guided,0,mean_evidence_events,0.8115079365079365,0.8115079365079365,0.0
development,ALL,ALL,dependency_guided,39499,correct_point_coverage,0.005456349206349206,0.005456349206349206,0.0
development,ALL,ALL,dependency_guided,39499,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,39499,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,39499,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,39499,point_coverage,0.004794973544973545,0.004794973544973545,0.0
development,ALL,ALL,dependency_guided,39499,unknown_rate,0.0517526455026455,0.0517526455026455,0.0
development,ALL,ALL,dependency_guided,39499,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,39499,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,39499,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,39499,infeasible_rate,0.9434523809523809,0.9434523809523809,0.0
development,ALL,ALL,dependency_guided,39499,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,39499,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,39499,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,39499,full_state_agreement,0.011408730158730158,0.011408730158730158,0.0
development,ALL,ALL,dependency_guided,39499,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,39499,mean_charged_bytes_feasible,37763.394342694344,37763.394342694344,0.0
development,ALL,ALL,dependency_guided,39499,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,39499,mean_visible_json_bytes,2090.9563492063494,2090.9563492063494,0.0
