split,family_id,combination,method,TP,FP,TN,FN,U,truth_unknown,n,correct_definite_coverage,wrong_definite_rate,dangerous_miss,false_positive,unknown_rate
development,D_counter,00,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,00,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,00,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,01,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,01,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,01,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,10,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,10,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,10,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_counter,ALL,B0,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_counter,ALL,B1,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_counter,ALL,SkillFlow,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_publish,00,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,00,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,00,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,01,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,01,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,01,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,10,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,10,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,10,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_publish,ALL,B0,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_publish,ALL,B1,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_publish,ALL,SkillFlow,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_report,00,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,00,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,00,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,01,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,01,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,01,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,10,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,10,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,10,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_report,ALL,B0,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_report,ALL,B1,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_report,ALL,SkillFlow,0,0,6,0,0,0,6,1.0,0.0,,0.0,0.0
development,D_sales,00,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_sales,00,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_sales,00,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_sales,01,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_sales,01,B1,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_sales,01,SkillFlow,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
development,D_sales,10,B0,0,0,2,0,0,0,2,1.0,0.0,,0.0,0.0
