phase,design,policy,cell,exact_run_set_matches,denominator,run_ids,raw_source_refs
f,c1-context-grid,scheduled,p00,True,15,"[""run-0028ffc6ee4f16b03aaf333a"",""run-3c2e117fe5b48620ab889d77"",""run-4fe1d739bb741337df23b741"",""run-502877e423b82d526a5ca7f7"",""run-6ebf349abe77e6c417b62bab"",""run-78a7f3682a66a51f5bc71815"",""run-807906c843fce47180e1b3e7"",""run-9126f1b7c4e036c3405e3d6c"",""run-9fd9467267af1e70211958e6"",""run-a5ce3a514b6863e165ec5980"",""run-a7ca389f9dc8d0829d412898"",""run-aa99d2ce887881b487dfa83a"",""run-c5625de002612e6ce06013b5"",""run-d3d6e0a50329a49a448a8a7b"",""run-edc9127f9a5b2c1d76093957""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L1"",""datasets/t17-v2/stages/f/core-trials.jsonl#L2"",""datasets/t17-v2/stages/f/core-trials.jsonl#L3"",""datasets/t17-v2/stages/f/core-trials.jsonl#L4"",""datasets/t17-v2/stages/f/core-trials.jsonl#L5"",""datasets/t17-v2/stages/f/core-trials.jsonl#L6"",""datasets/t17-v2/stages/f/core-trials.jsonl#L7"",""datasets/t17-v2/stages/f/core-trials.jsonl#L8"",""datasets/t17-v2/stages/f/core-trials.jsonl#L9"",""datasets/t17-v2/stages/f/core-trials.jsonl#L10"",""datasets/t17-v2/stages/f/core-trials.jsonl#L11"",""datasets/t17-v2/stages/f/core-trials.jsonl#L12"",""datasets/t17-v2/stages/f/core-trials.jsonl#L13"",""datasets/t17-v2/stages/f/core-trials.jsonl#L14"",""datasets/t17-v2/stages/f/core-trials.jsonl#L15""]"
f,c1-context-grid,scheduled,p01,True,15,"[""run-274546b2dd793f2ae88934f6"",""run-350dfb5054d20ee2d1b7fbb2"",""run-35badb8b29010611f8fbfd8d"",""run-375e22927c6d66c59d2a545f"",""run-3e6ea63fce939bec620c49b5"",""run-4aaddbcc846374453af614c2"",""run-5943cbe876a20f5d7269d265"",""run-6279bf616ce3879de1bc7398"",""run-8640c82dd3eda8e0bc97dcee"",""run-a18d0a3c747b2eb8d4c539ba"",""run-a6a66acb74fedd4f0b9b8f59"",""run-a90d17b6e60cd5cbf86726c2"",""run-b0409e47f57f787cc6f50176"",""run-d22a0d0aaa31907ee5bc1371"",""run-fcdcdf70562a4bb087ba0aaa""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L16"",""datasets/t17-v2/stages/f/core-trials.jsonl#L17"",""datasets/t17-v2/stages/f/core-trials.jsonl#L18"",""datasets/t17-v2/stages/f/core-trials.jsonl#L19"",""datasets/t17-v2/stages/f/core-trials.jsonl#L20"",""datasets/t17-v2/stages/f/core-trials.jsonl#L21"",""datasets/t17-v2/stages/f/core-trials.jsonl#L22"",""datasets/t17-v2/stages/f/core-trials.jsonl#L23"",""datasets/t17-v2/stages/f/core-trials.jsonl#L24"",""datasets/t17-v2/stages/f/core-trials.jsonl#L25"",""datasets/t17-v2/stages/f/core-trials.jsonl#L26"",""datasets/t17-v2/stages/f/core-trials.jsonl#L27"",""datasets/t17-v2/stages/f/core-trials.jsonl#L28"",""datasets/t17-v2/stages/f/core-trials.jsonl#L29"",""datasets/t17-v2/stages/f/core-trials.jsonl#L30""]"
f,c1-context-grid,scheduled,p10,True,15,"[""run-152e524e6b15065859c21735"",""run-1d0f757a2021d09361ac63bb"",""run-1fb372f7c4929a1835f92ff2"",""run-4edefb717ebcc287c21c7ddd"",""run-517fd6c9175fc9f9418ce3f8"",""run-571528ccebb4e80de96cb6f0"",""run-6de6c0cc6446815a53e7b848"",""run-6ea49ac4006fa53911aa776b"",""run-7105cf20c61ed8942a599a44"",""run-7ecb98ad645a6666bc688d06"",""run-bf3a0a6b01e1ab41a75baf07"",""run-c7990f016f03df407cbddeaf"",""run-ccd8c170d9938905f5938644"",""run-dc8f979747addaacdea29a91"",""run-dfef1d3e635e3104a2773f23""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L31"",""datasets/t17-v2/stages/f/core-trials.jsonl#L32"",""datasets/t17-v2/stages/f/core-trials.jsonl#L33"",""datasets/t17-v2/stages/f/core-trials.jsonl#L34"",""datasets/t17-v2/stages/f/core-trials.jsonl#L35"",""datasets/t17-v2/stages/f/core-trials.jsonl#L36"",""datasets/t17-v2/stages/f/core-trials.jsonl#L37"",""datasets/t17-v2/stages/f/core-trials.jsonl#L38"",""datasets/t17-v2/stages/f/core-trials.jsonl#L39"",""datasets/t17-v2/stages/f/core-trials.jsonl#L40"",""datasets/t17-v2/stages/f/core-trials.jsonl#L41"",""datasets/t17-v2/stages/f/core-trials.jsonl#L42"",""datasets/t17-v2/stages/f/core-trials.jsonl#L43"",""datasets/t17-v2/stages/f/core-trials.jsonl#L44"",""datasets/t17-v2/stages/f/core-trials.jsonl#L45""]"
f,c1-context-grid,scheduled,p11,True,15,"[""run-02bcf9b217c16a62e01e85d7"",""run-07c1fef3b038da65698a7837"",""run-3dcc648c47e9ac6f4ac72ff7"",""run-46339ee772ca533e6962cdb7"",""run-499ca49652049a6ef0fc70e2"",""run-5aa8e59aef5f95dc4ae6a9d0"",""run-5c5e106f23e5a981e269f0f1"",""run-62145f598e3070cb33d02783"",""run-79745ef529f0075514eff669"",""run-7c113754ad0a7f7b61d21658"",""run-9b44a88e75482f8d0ef9c2fa"",""run-b00b442a90b4c50fb51747b6"",""run-c85b546f47470b157747d9ab"",""run-d8a023448b26cd7c696d664b"",""run-e218d9385df9b4e1a6c402ce""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L46"",""datasets/t17-v2/stages/f/core-trials.jsonl#L47"",""datasets/t17-v2/stages/f/core-trials.jsonl#L48"",""datasets/t17-v2/stages/f/core-trials.jsonl#L49"",""datasets/t17-v2/stages/f/core-trials.jsonl#L50"",""datasets/t17-v2/stages/f/core-trials.jsonl#L51"",""datasets/t17-v2/stages/f/core-trials.jsonl#L52"",""datasets/t17-v2/stages/f/core-trials.jsonl#L53"",""datasets/t17-v2/stages/f/core-trials.jsonl#L54"",""datasets/t17-v2/stages/f/core-trials.jsonl#L55"",""datasets/t17-v2/stages/f/core-trials.jsonl#L56"",""datasets/t17-v2/stages/f/core-trials.jsonl#L57"",""datasets/t17-v2/stages/f/core-trials.jsonl#L58"",""datasets/t17-v2/stages/f/core-trials.jsonl#L59"",""datasets/t17-v2/stages/f/core-trials.jsonl#L60""]"
f,c1-context-grid,valid_only,p00,True,15,"[""run-0028ffc6ee4f16b03aaf333a"",""run-3c2e117fe5b48620ab889d77"",""run-4fe1d739bb741337df23b741"",""run-502877e423b82d526a5ca7f7"",""run-6ebf349abe77e6c417b62bab"",""run-78a7f3682a66a51f5bc71815"",""run-807906c843fce47180e1b3e7"",""run-9126f1b7c4e036c3405e3d6c"",""run-9fd9467267af1e70211958e6"",""run-a5ce3a514b6863e165ec5980"",""run-a7ca389f9dc8d0829d412898"",""run-aa99d2ce887881b487dfa83a"",""run-c5625de002612e6ce06013b5"",""run-d3d6e0a50329a49a448a8a7b"",""run-edc9127f9a5b2c1d76093957""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L1"",""datasets/t17-v2/stages/f/core-trials.jsonl#L2"",""datasets/t17-v2/stages/f/core-trials.jsonl#L3"",""datasets/t17-v2/stages/f/core-trials.jsonl#L4"",""datasets/t17-v2/stages/f/core-trials.jsonl#L5"",""datasets/t17-v2/stages/f/core-trials.jsonl#L6"",""datasets/t17-v2/stages/f/core-trials.jsonl#L7"",""datasets/t17-v2/stages/f/core-trials.jsonl#L8"",""datasets/t17-v2/stages/f/core-trials.jsonl#L9"",""datasets/t17-v2/stages/f/core-trials.jsonl#L10"",""datasets/t17-v2/stages/f/core-trials.jsonl#L11"",""datasets/t17-v2/stages/f/core-trials.jsonl#L12"",""datasets/t17-v2/stages/f/core-trials.jsonl#L13"",""datasets/t17-v2/stages/f/core-trials.jsonl#L14"",""datasets/t17-v2/stages/f/core-trials.jsonl#L15""]"
f,c1-context-grid,valid_only,p01,True,15,"[""run-274546b2dd793f2ae88934f6"",""run-350dfb5054d20ee2d1b7fbb2"",""run-35badb8b29010611f8fbfd8d"",""run-375e22927c6d66c59d2a545f"",""run-3e6ea63fce939bec620c49b5"",""run-4aaddbcc846374453af614c2"",""run-5943cbe876a20f5d7269d265"",""run-6279bf616ce3879de1bc7398"",""run-8640c82dd3eda8e0bc97dcee"",""run-a18d0a3c747b2eb8d4c539ba"",""run-a6a66acb74fedd4f0b9b8f59"",""run-a90d17b6e60cd5cbf86726c2"",""run-b0409e47f57f787cc6f50176"",""run-d22a0d0aaa31907ee5bc1371"",""run-fcdcdf70562a4bb087ba0aaa""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L16"",""datasets/t17-v2/stages/f/core-trials.jsonl#L17"",""datasets/t17-v2/stages/f/core-trials.jsonl#L18"",""datasets/t17-v2/stages/f/core-trials.jsonl#L19"",""datasets/t17-v2/stages/f/core-trials.jsonl#L20"",""datasets/t17-v2/stages/f/core-trials.jsonl#L21"",""datasets/t17-v2/stages/f/core-trials.jsonl#L22"",""datasets/t17-v2/stages/f/core-trials.jsonl#L23"",""datasets/t17-v2/stages/f/core-trials.jsonl#L24"",""datasets/t17-v2/stages/f/core-trials.jsonl#L25"",""datasets/t17-v2/stages/f/core-trials.jsonl#L26"",""datasets/t17-v2/stages/f/core-trials.jsonl#L27"",""datasets/t17-v2/stages/f/core-trials.jsonl#L28"",""datasets/t17-v2/stages/f/core-trials.jsonl#L29"",""datasets/t17-v2/stages/f/core-trials.jsonl#L30""]"
f,c1-context-grid,valid_only,p10,True,15,"[""run-152e524e6b15065859c21735"",""run-1d0f757a2021d09361ac63bb"",""run-1fb372f7c4929a1835f92ff2"",""run-4edefb717ebcc287c21c7ddd"",""run-517fd6c9175fc9f9418ce3f8"",""run-571528ccebb4e80de96cb6f0"",""run-6de6c0cc6446815a53e7b848"",""run-6ea49ac4006fa53911aa776b"",""run-7105cf20c61ed8942a599a44"",""run-7ecb98ad645a6666bc688d06"",""run-bf3a0a6b01e1ab41a75baf07"",""run-c7990f016f03df407cbddeaf"",""run-ccd8c170d9938905f5938644"",""run-dc8f979747addaacdea29a91"",""run-dfef1d3e635e3104a2773f23""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L31"",""datasets/t17-v2/stages/f/core-trials.jsonl#L32"",""datasets/t17-v2/stages/f/core-trials.jsonl#L33"",""datasets/t17-v2/stages/f/core-trials.jsonl#L34"",""datasets/t17-v2/stages/f/core-trials.jsonl#L35"",""datasets/t17-v2/stages/f/core-trials.jsonl#L36"",""datasets/t17-v2/stages/f/core-trials.jsonl#L37"",""datasets/t17-v2/stages/f/core-trials.jsonl#L38"",""datasets/t17-v2/stages/f/core-trials.jsonl#L39"",""datasets/t17-v2/stages/f/core-trials.jsonl#L40"",""datasets/t17-v2/stages/f/core-trials.jsonl#L41"",""datasets/t17-v2/stages/f/core-trials.jsonl#L42"",""datasets/t17-v2/stages/f/core-trials.jsonl#L43"",""datasets/t17-v2/stages/f/core-trials.jsonl#L44"",""datasets/t17-v2/stages/f/core-trials.jsonl#L45""]"
f,c1-context-grid,valid_only,p11,True,15,"[""run-02bcf9b217c16a62e01e85d7"",""run-07c1fef3b038da65698a7837"",""run-3dcc648c47e9ac6f4ac72ff7"",""run-46339ee772ca533e6962cdb7"",""run-499ca49652049a6ef0fc70e2"",""run-5aa8e59aef5f95dc4ae6a9d0"",""run-5c5e106f23e5a981e269f0f1"",""run-62145f598e3070cb33d02783"",""run-79745ef529f0075514eff669"",""run-7c113754ad0a7f7b61d21658"",""run-9b44a88e75482f8d0ef9c2fa"",""run-b00b442a90b4c50fb51747b6"",""run-c85b546f47470b157747d9ab"",""run-d8a023448b26cd7c696d664b"",""run-e218d9385df9b4e1a6c402ce""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L46"",""datasets/t17-v2/stages/f/core-trials.jsonl#L47"",""datasets/t17-v2/stages/f/core-trials.jsonl#L48"",""datasets/t17-v2/stages/f/core-trials.jsonl#L49"",""datasets/t17-v2/stages/f/core-trials.jsonl#L50"",""datasets/t17-v2/stages/f/core-trials.jsonl#L51"",""datasets/t17-v2/stages/f/core-trials.jsonl#L52"",""datasets/t17-v2/stages/f/core-trials.jsonl#L53"",""datasets/t17-v2/stages/f/core-trials.jsonl#L54"",""datasets/t17-v2/stages/f/core-trials.jsonl#L55"",""datasets/t17-v2/stages/f/core-trials.jsonl#L56"",""datasets/t17-v2/stages/f/core-trials.jsonl#L57"",""datasets/t17-v2/stages/f/core-trials.jsonl#L58"",""datasets/t17-v2/stages/f/core-trials.jsonl#L59"",""datasets/t17-v2/stages/f/core-trials.jsonl#L60""]"
f,c2-tool-return-grid,scheduled,p00,True,15,"[""run-2221bd2db6b8407defba6b43"",""run-591789deeae0443e2d8dc38b"",""run-69032697d7ba8330508fdf89"",""run-6ef1f6c08af68199754528dd"",""run-7790eecf87ee607b9d5630c5"",""run-88d3bb886a35b56b5e2d2033"",""run-90486c9c1383be817d3e35b4"",""run-98e19856d6765f086e4c4384"",""run-9f0d29efb7ae4a2d5c3c3f02"",""run-a415083b8cec2c4c0871ba56"",""run-a43c2e180c1a1fd28d814aa0"",""run-b71a5e378c9aa970d6f0d6cc"",""run-bd1c6b04f3621f4d0e527363"",""run-c488e906905f00985a62b53a"",""run-cc4e47fff15af3f17ede77f7""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L61"",""datasets/t17-v2/stages/f/core-trials.jsonl#L62"",""datasets/t17-v2/stages/f/core-trials.jsonl#L63"",""datasets/t17-v2/stages/f/core-trials.jsonl#L64"",""datasets/t17-v2/stages/f/core-trials.jsonl#L65"",""datasets/t17-v2/stages/f/core-trials.jsonl#L66"",""datasets/t17-v2/stages/f/core-trials.jsonl#L67"",""datasets/t17-v2/stages/f/core-trials.jsonl#L68"",""datasets/t17-v2/stages/f/core-trials.jsonl#L69"",""datasets/t17-v2/stages/f/core-trials.jsonl#L70"",""datasets/t17-v2/stages/f/core-trials.jsonl#L71"",""datasets/t17-v2/stages/f/core-trials.jsonl#L72"",""datasets/t17-v2/stages/f/core-trials.jsonl#L73"",""datasets/t17-v2/stages/f/core-trials.jsonl#L74"",""datasets/t17-v2/stages/f/core-trials.jsonl#L75""]"
f,c2-tool-return-grid,scheduled,p01,True,15,"[""run-03a881bc65c31e01a0ea6896"",""run-0db65b2ec50c6d3b7298dc7d"",""run-16f40dadb856599a39a499d3"",""run-2209461c6e70a32237da647f"",""run-57242990d59aebbde194512b"",""run-59768f391763389c8f8f377f"",""run-90549f45932f331a926c9e33"",""run-a6f1f35af6e95e90e75cafe2"",""run-a94e852ef83a9213d3012437"",""run-ad5526f52ba946c9baf6bffd"",""run-b49ace27c5352f761ed7e3f0"",""run-bc6b41bc8a3afa4914be4ed2"",""run-c8314b10205ccd0d3317fa85"",""run-cc3a55092fd41e4a3f3d9056"",""run-d1750331799ccd7131179d70""]","[""datasets/t17-v2/stages/f/core-trials.jsonl#L76"",""datasets/t17-v2/stages/f/core-trials.jsonl#L77"",""datasets/t17-v2/stages/f/core-trials.jsonl#L78"",""datasets/t17-v2/stages/f/core-trials.jsonl#L79"",""datasets/t17-v2/stages/f/core-trials.jsonl#L80"",""datasets/t17-v2/stages/f/core-trials.jsonl#L81"",""datasets/t17-v2/stages/f/core-trials.jsonl#L82"",""datasets/t17-v2/stages/f/core-trials.jsonl#L83"",""datasets/t17-v2/stages/f/core-trials.jsonl#L84"",""datasets/t17-v2/stages/f/core-trials.jsonl#L85"",""datasets/t17-v2/stages/f/core-trials.jsonl#L86"",""datasets/t17-v2/stages/f/core-trials.jsonl#L87"",""datasets/t17-v2/stages/f/core-trials.jsonl#L88"",""datasets/t17-v2/stages/f/core-trials.jsonl#L89"",""datasets/t17-v2/stages/f/core-trials.jsonl#L90""]"
