split,mechanism,metric,policy,budget,observations,oracle_point,oracle_unknown,oracle_not_applicable,point,bounded,unknown,not_applicable,error,infeasible,answered_oracle_point,correct_point,wrong_point,wrong_safe,full_comparable,full_agree,full_point_comparable,full_point_agree,feasible,charged_total_bytes,initial_bytes,visible_json_bytes,acquired_channels,evidence_fields,evidence_events,pooled_correct_point_coverage,pooled_wrong_point_rate,pooled_selective_error_rate,pooled_wrong_safe_rate,pooled_point_coverage,pooled_unknown_rate,pooled_bounded_rate,pooled_not_applicable_rate,pooled_error_rate,pooled_infeasible_rate,pooled_reference_coverage,pooled_reference_unknown_rate,pooled_reference_not_applicable_rate,pooled_full_state_agreement,pooled_full_point_agreement,pooled_mean_charged_bytes_feasible,pooled_mean_initial_bytes,pooled_mean_visible_json_bytes,pooled_mean_acquired_channels,pooled_mean_evidence_fields,pooled_mean_evidence_events,family_equal_correct_point_coverage,family_equal_wrong_point_rate,family_equal_selective_error_rate,family_equal_wrong_safe_rate,family_equal_point_coverage,family_equal_unknown_rate,family_equal_bounded_rate,family_equal_not_applicable_rate,family_equal_error_rate,family_equal_infeasible_rate,family_equal_reference_coverage,family_equal_reference_unknown_rate,family_equal_reference_not_applicable_rate,family_equal_full_state_agreement,family_equal_full_point_agreement,family_equal_mean_charged_bytes_feasible,family_equal_mean_initial_bytes,family_equal_mean_visible_json_bytes,family_equal_mean_acquired_channels,family_equal_mean_evidence_fields,family_equal_mean_evidence_events,families,families_with_point_reference
development,ALL,ALL,dependency_guided,0,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,49444120.0,1631018.6666666667,5856.0,34466.333333333336,628.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.14285714285714285,0.0,0.0,,,63066.47959183674,2080.3809523809523,7.469387755102041,43.96215986394558,0.8010204081632653,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0,0.0,,,63089.119047619046,2081.8799603174602,7.470238095238095,44.37698412698413,0.8115079365079365,6,6
development,ALL,ALL,dependency_guided,39499,784.0,672.0,112.0,0.0,3.6666666666666665,0.0,41.0,0.0,0.0,739.3333333333333,3.6666666666666665,3.6666666666666665,0.0,0.0,784.0,10.333333333333334,3.6666666666666665,3.6666666666666665,44.666666666666664,1682981.3333333333,49444120.0,1638331.6666666667,5901.0,34637.66666666667,631.3333333333334,0.005456349206349206,0.0,0.0,0.0,0.00467687074829932,0.05229591836734694,0.0,0.0,0.0,0.9430272108843536,0.8571428571428571,0.14285714285714285,0.0,0.013180272108843538,1.0,37678.68656716418,63066.47959183674,2089.7087585034014,7.526785714285714,44.18069727891157,0.8052721088435375,0.005456349206349206,0.0,0.0,0.0,0.004794973544973545,0.0517526455026455,0.0,0.0,0.0,0.9434523809523809,0.8888888888888888,0.1111111111111111,0.0,0.011408730158730158,1.0,37763.394342694344,63089.119047619046,2090.9563492063494,7.52662037037037,44.59011243386244,0.8153108465608465,6,6
development,ALL,ALL,dependency_guided,50761,784.0,672.0,112.0,0.0,25.333333333333332,0.0,70.0,0.0,0.0,688.6666666666666,25.333333333333332,25.333333333333332,0.0,0.0,784.0,38.666666666666664,25.333333333333332,25.333333333333332,95.33333333333333,4420782.0,49444120.0,1652818.0,5953.666666666667,34978.333333333336,637.0,0.037698412698412696,0.0,0.0,0.0,0.03231292517006803,0.08928571428571429,0.0,0.0,0.0,0.8784013605442177,0.8571428571428571,0.14285714285714285,0.0,0.04931972789115646,1.0,46371.83916083916,63066.47959183674,2108.186224489796,7.593962585034014,44.615221088435376,0.8125,0.037698412698412696,0.0,0.0,0.0,0.033895502645502645,0.08812830687830688,0.0,0.0,0.0,0.8779761904761905,0.8888888888888888,0.1111111111111111,0.0,0.04712301587301587,1.0,46331.413941345825,63089.119047619046,2109.287533068783,7.591269841269842,45.02843915343915,0.8225859788359788,6,6
development,ALL,ALL,dependency_guided,58954,784.0,672.0,112.0,0.0,70.33333333333333,0.0,108.33333333333333,0.0,0.0,605.3333333333334,70.33333333333333,70.33333333333333,0.0,0.0,784.0,96.33333333333333,70.33333333333333,70.33333333333333,178.66666666666666,9455093.666666666,49444120.0,1676124.0,6002.0,35521.0,645.0,0.1046626984126984,0.0,0.0,0.0,0.08971088435374149,0.13818027210884354,0.0,0.0,0.0,0.772108843537415,0.8571428571428571,0.14285714285714285,0.0,0.12287414965986394,1.0,52920.30037313433,63066.47959183674,2137.9132653061224,7.655612244897959,45.307397959183675,0.8227040816326531,0.10466269841269842,0.0,0.0,0.0,0.09292328042328042,0.13425925925925924,0.0,0.0,0.0,0.7728174603174603,0.8888888888888888,0.1111111111111111,0.0,0.11871693121693122,1.0,52909.58778008778,63089.119047619046,2139.1856812169312,7.652116402116402,45.73098544973545,0.8325066137566137,6,6
development,ALL,ALL,dependency_guided,62026,784.0,672.0,112.0,0.0,115.0,0.0,175.0,0.0,0.0,494.0,115.0,115.0,0.0,0.0,784.0,157.66666666666666,115.0,115.0,290.0,16990691.0,49444120.0,1705704.6666666667,6075.0,36238.666666666664,647.0,0.17113095238095238,0.0,0.0,0.0,0.14668367346938777,0.22321428571428573,0.0,0.0,0.0,0.6301020408163265,0.8571428571428571,0.14285714285714285,0.0,0.20110544217687074,1.0,58588.589655172414,63066.47959183674,2175.6437074829932,7.748724489795919,46.22278911564626,0.8252551020408163,0.17113095238095238,0.0,0.0,0.0,0.15228174603174602,0.21577380952380953,0.0,0.0,0.0,0.6319444444444444,0.8888888888888888,0.1111111111111111,0.0,0.19460978835978834,1.0,58348.77812644169,63089.119047619046,2174.744212962963,7.740079365079366,46.595403439153436,0.8348214285714286,6,6
development,ALL,ALL,dependency_guided,66121,784.0,672.0,112.0,0.0,235.33333333333331,0.0,193.0,0.0,0.0,355.6666666666667,235.33333333333331,235.33333333333331,0.0,0.0,784.0,296.3333333333333,235.33333333333331,235.33333333333331,428.3333333333333,26332021.0,49444120.0,1715535.0,6089.0,36373.666666666664,649.0,0.3501984126984127,0.0,0.0,0.0,0.30017006802721086,0.2461734693877551,0.0,0.0,0.0,0.45365646258503406,0.8571428571428571,0.14285714285714285,0.0,0.37797619047619047,1.0,61475.53540856032,63066.47959183674,2188.1823979591836,7.766581632653061,46.394982993197274,0.8278061224489796,0.3501984126984127,0.0,0.0,0.0,0.31183862433862436,0.2347883597883598,0.0,0.0,0.0,0.45337301587301587,0.8888888888888888,0.1111111111111111,0.0,0.3723544973544974,1.0,61229.55133762485,63089.119047619046,2187.5906084656085,7.7576058201058204,46.77480158730159,0.8373015873015873,6,6
development,ALL,ALL,dependency_guided,72264,784.0,672.0,112.0,0.0,320.3333333333333,0.0,186.33333333333334,0.0,0.0,277.3333333333333,320.3333333333333,320.3333333333333,0.0,0.0,784.0,390.3333333333333,320.3333333333333,320.3333333333333,506.66666666666663,31829339.666666664,49444120.0,1723907.3333333333,6088.0,36489.333333333336,650.6666666666666,0.4766865079365079,0.0,0.0,0.0,0.40858843537414963,0.23767006802721088,0.0,0.0,0.0,0.3537414965986394,0.8571428571428571,0.14285714285714285,0.0,0.49787414965986393,1.0,62821.065131578944,63066.47959183674,2198.861394557823,7.76530612244898,46.542517006802726,0.8299319727891156,0.4766865079365079,0.0,0.0,0.0,0.4260912698412698,0.22371031746031747,0.0,0.0,0.0,0.3501984126984127,0.8888888888888888,0.1111111111111111,0.0,0.4955357142857143,1.0,62720.13496607404,63089.119047619046,2198.6623677248676,7.756283068783069,46.93353174603175,0.8394510582010583,6,6
development,ALL,ALL,dependency_guided,72267,784.0,672.0,112.0,0.0,398.66666666666663,0.0,215.66666666666666,0.0,0.0,169.66666666666666,398.66666666666663,398.66666666666663,0.0,0.0,784.0,487.0,398.66666666666663,398.66666666666663,614.3333333333334,39648521.0,49444120.0,1725115.0,6089.666666666667,36516.333333333336,651.6666666666666,0.5932539682539681,0.0,0.0,0.0,0.5085034013605442,0.27508503401360546,0.0,0.0,0.0,0.21641156462585032,0.8571428571428571,0.14285714285714285,0.0,0.6211734693877551,1.0,64539.10092240911,63066.47959183674,2200.401785714286,7.767431972789116,46.57695578231293,0.8312074829931972,0.5932539682539683,0.0,0.0,0.0,0.5264550264550265,0.2562830687830688,0.0,0.0,0.0,0.21726190476190477,0.8888888888888888,0.1111111111111111,0.0,0.6140873015873016,1.0,64464.495488210254,63089.119047619046,2200.02876984127,7.758101851851852,46.964285714285715,0.8404431216931217,6,6
development,ALL,ALL,dependency_guided,73290,784.0,672.0,112.0,0.0,522.6666666666667,0.0,236.0,0.0,0.0,25.333333333333332,522.6666666666667,522.6666666666667,0.0,0.0,784.0,634.6666666666666,522.6666666666667,522.6666666666667,758.6666666666666,50276438.66666667,49444120.0,1727385.3333333335,6089.666666666667,36559.333333333336,652.0,0.7777777777777779,0.0,0.0,0.0,0.6666666666666667,0.3010204081632653,0.0,0.0,0.0,0.03231292517006803,0.8571428571428571,0.14285714285714285,0.0,0.8095238095238094,1.0,66269.47100175748,63066.47959183674,2203.2976190476193,7.767431972789116,46.63180272108844,0.8316326530612245,0.7777777777777778,0.0,0.0,0.0,0.6868386243386244,0.27546296296296297,0.0,0.0,0.0,0.037698412698412696,0.8888888888888888,0.1111111111111111,0.0,0.7979497354497355,1.0,66111.77366707366,63089.119047619046,2202.9293981481483,7.758101851851852,47.01951058201058,0.8407738095238095,6,6
development,ALL,ALL,dependency_guided,76363,784.0,672.0,112.0,0.0,672.0,0.0,112.0,0.0,0.0,0.0,672.0,672.0,0.0,0.0,784.0,784.0,672.0,672.0,784.0,54574018.66666667,49444120.0,1810506.3333333333,6325.333333333333,38379.0,683.6666666666666,1.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,1.0,1.0,69609.71768707484,63066.47959183674,2309.319302721088,8.068027210884352,48.952806122448976,0.8720238095238094,1.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,1.0,1.0,69353.66931216931,63089.119047619046,2301.7559523809523,8.033068783068783,49.195767195767196,0.8802910052910053,6,6
development,ALL,ALL,global_fixed,0,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,49444120.0,1631018.6666666667,5856.0,34466.333333333336,628.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.14285714285714285,0.0,0.0,,,63066.47959183674,2080.3809523809523,7.469387755102041,43.96215986394558,0.8010204081632653,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0,0.0,,,63089.119047619046,2081.8799603174602,7.470238095238095,44.37698412698413,0.8115079365079365,6,6
development,ALL,ALL,global_fixed,39499,784.0,672.0,112.0,0.0,2.333333333333333,0.0,42.33333333333333,0.0,0.0,739.3333333333333,2.333333333333333,2.333333333333333,0.0,0.0,784.0,9.0,2.333333333333333,2.333333333333333,44.666666666666664,1681274.6666666667,49444120.0,1637762.6666666667,5905.333333333333,34613.0,633.3333333333334,0.0034722222222222216,0.0,0.0,0.0,0.002976190476190476,0.05399659863945577,0.0,0.0,0.0,0.9430272108843536,0.8571428571428571,0.14285714285714285,0.0,0.011479591836734694,1.0,37640.4776119403,63066.47959183674,2088.982993197279,7.532312925170068,44.14923469387755,0.8078231292517007,0.003472222222222222,0.0,0.0,0.0,0.0033068783068783067,0.053240740740740734,0.0,0.0,0.0,0.9434523809523809,0.8888888888888888,0.1111111111111111,0.0,0.00992063492063492,1.0,37690.7463980464,63089.119047619046,2090.0257936507937,7.53207671957672,44.55257936507937,0.8174603174603174,6,6
