split,family_id,mechanism,metric,policy,budget,observations,oracle_point,oracle_unknown,oracle_not_applicable,point,bounded,unknown,not_applicable,error,infeasible,answered_oracle_point,correct_point,wrong_point,wrong_safe,full_comparable,full_agree,full_point_comparable,full_point_agree,feasible,charged_total_bytes,initial_bytes,visible_json_bytes,acquired_channels,evidence_fields,evidence_events,correct_point_coverage,wrong_point_rate,selective_error_rate,wrong_safe_rate,point_coverage,unknown_rate,bounded_rate,not_applicable_rate,error_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate,full_state_agreement,full_point_agreement,mean_charged_bytes_feasible,mean_initial_bytes,mean_visible_json_bytes,mean_acquired_channels,mean_evidence_fields,mean_evidence_events,query_count,unit_count,averaged_query_conditions
development,D01_append_journal,ALL,ALL,dependency_guided,0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,6998794.666666667,228073.33333333334,836.0,4538.666666666667,91.33333333333333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,62489.2380952381,2036.3690476190477,7.464285714285714,40.523809523809526,0.8154761904761905,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,39499,112.0,112.0,0.0,0.0,1.0,0.0,7.666666666666666,0.0,0.0,103.33333333333333,1.0,1.0,0.0,0.0,112.0,1.0,1.0,1.0,8.666666666666666,325249.3333333333,6998794.666666667,229425.66666666666,844.6666666666666,4568.666666666667,91.66666666666667,0.008928571428571428,0.0,0.0,0.0,0.008928571428571428,0.06845238095238095,0.0,0.0,0.0,0.9226190476190476,1.0,0.0,0.0,0.008928571428571428,1.0,37528.769230769234,62489.2380952381,2048.4434523809523,7.541666666666666,40.79166666666667,0.818452380952381,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,50761,112.0,112.0,0.0,0.0,4.666666666666666,0.0,10.0,0.0,0.0,97.33333333333333,4.666666666666666,4.666666666666666,0.0,0.0,112.0,4.666666666666666,4.666666666666666,4.666666666666666,14.666666666666666,660541.3333333334,6998794.666666667,232079.66666666666,849.0,4632.0,93.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.08928571428571429,0.0,0.0,0.0,0.869047619047619,1.0,0.0,0.0,0.041666666666666664,1.0,45036.909090909096,62489.2380952381,2072.1398809523807,7.580357142857143,41.357142857142854,0.8303571428571429,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,58954,112.0,112.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,86.0,13.0,13.0,0.0,0.0,112.0,13.0,13.0,13.0,26.0,1350532.0,6998794.666666667,235371.0,855.6666666666666,4701.666666666667,94.0,0.11607142857142858,0.0,0.0,0.0,0.11607142857142858,0.11607142857142858,0.0,0.0,0.0,0.7678571428571429,1.0,0.0,0.0,0.11607142857142858,1.0,51943.53846153846,62489.2380952381,2101.526785714286,7.639880952380952,41.97916666666667,0.8392857142857143,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,62026,112.0,112.0,0.0,0.0,21.333333333333332,0.0,22.666666666666668,0.0,0.0,68.0,21.333333333333332,21.333333333333332,0.0,0.0,112.0,21.333333333333332,21.333333333333332,21.333333333333332,44.0,2554381.3333333335,6998794.666666667,239609.66666666666,865.0,4804.333333333333,94.66666666666667,0.19047619047619047,0.0,0.0,0.0,0.19047619047619047,0.20238095238095238,0.0,0.0,0.0,0.6071428571428571,1.0,0.0,0.0,0.19047619047619047,1.0,58054.121212121216,62489.2380952381,2139.372023809524,7.723214285714286,42.89583333333333,0.8452380952380952,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,66121,112.0,112.0,0.0,0.0,29.333333333333332,0.0,24.666666666666668,0.0,0.0,58.0,29.333333333333332,29.333333333333332,0.0,0.0,112.0,29.333333333333332,29.333333333333332,29.333333333333332,54.0,3216284.0,6998794.666666667,239867.66666666666,865.3333333333334,4809.666666666667,95.0,0.2619047619047619,0.0,0.0,0.0,0.2619047619047619,0.22023809523809526,0.0,0.0,0.0,0.5178571428571429,1.0,0.0,0.0,0.2619047619047619,1.0,59560.81481481482,62489.2380952381,2141.675595238095,7.726190476190476,42.94345238095239,0.8482142857142857,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,72264,112.0,112.0,0.0,0.0,50.666666666666664,0.0,20.0,0.0,0.0,41.333333333333336,50.666666666666664,50.666666666666664,0.0,0.0,112.0,50.666666666666664,50.666666666666664,50.666666666666664,70.66666666666667,4359277.333333333,6998794.666666667,241580.0,866.0,4825.666666666667,95.33333333333333,0.4523809523809524,0.0,0.0,0.0,0.4523809523809524,0.17857142857142858,0.0,0.0,0.0,0.36904761904761907,1.0,0.0,0.0,0.4523809523809524,1.0,61687.886792452824,62489.2380952381,2156.964285714286,7.732142857142857,43.086309523809526,0.8511904761904762,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,72267,112.0,112.0,0.0,0.0,66.0,0.0,22.0,0.0,0.0,24.0,66.0,66.0,0.0,0.0,112.0,66.0,66.0,66.0,88.0,5611888.0,6998794.666666667,241580.0,866.0,4825.666666666667,95.33333333333333,0.5892857142857143,0.0,0.0,0.0,0.5892857142857143,0.19642857142857142,0.0,0.0,0.0,0.21428571428571427,1.0,0.0,0.0,0.5892857142857143,1.0,63771.454545454544,62489.2380952381,2156.964285714286,7.732142857142857,43.086309523809526,0.8511904761904762,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,73290,112.0,112.0,0.0,0.0,90.66666666666667,0.0,21.333333333333332,0.0,0.0,0.0,90.66666666666667,90.66666666666667,0.0,0.0,112.0,90.66666666666667,90.66666666666667,90.66666666666667,112.0,7378357.333333333,6998794.666666667,242033.33333333334,866.0,4834.333333333333,95.33333333333333,0.8095238095238095,0.0,0.0,0.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8095238095238095,1.0,65878.19047619047,62489.2380952381,2161.011904761905,7.732142857142857,43.163690476190474,0.8511904761904762,8,4,112
development,D01_append_journal,ALL,ALL,dependency_guided,76363,112.0,112.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0,112.0,112.0,112.0,112.0,112.0,7640842.666666667,6998794.666666667,251221.0,887.3333333333334,5024.333333333333,99.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,68221.80952380953,62489.2380952381,2243.0446428571427,7.922619047619048,44.860119047619044,0.8839285714285714,8,4,112
