family_id,fault_event,metric,query_id,source_id,split,unit
D01_append_journal,False,UEA,D01_append_journal_01:UEA,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_01
D01_append_journal,False,TaskSuccess,D01_append_journal_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_01
D01_append_journal,False,UEA,D01_append_journal_02:UEA,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_02
D01_append_journal,False,TaskSuccess,D01_append_journal_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_02
D01_append_journal,False,UEA,D01_append_journal_03:UEA,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_03
D01_append_journal,False,TaskSuccess,D01_append_journal_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_03
D01_append_journal,True,UEA,D01_append_journal_04:UEA,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_04
D01_append_journal,True,TaskSuccess,D01_append_journal_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D01_append_journal_04
D02_sqlite_transfer,False,UEA,D02_sqlite_transfer_01:UEA,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_01
D02_sqlite_transfer,False,TaskSuccess,D02_sqlite_transfer_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_01
D02_sqlite_transfer,False,UEA,D02_sqlite_transfer_02:UEA,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_02
D02_sqlite_transfer,False,TaskSuccess,D02_sqlite_transfer_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_02
D02_sqlite_transfer,False,UEA,D02_sqlite_transfer_03:UEA,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_03
D02_sqlite_transfer,False,TaskSuccess,D02_sqlite_transfer_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_03
D02_sqlite_transfer,True,UEA,D02_sqlite_transfer_04:UEA,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_04
D02_sqlite_transfer,True,TaskSuccess,D02_sqlite_transfer_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D02_sqlite_transfer_04
D03_render_report,False,UEA,D03_render_report_01:UEA,stdlib-supervised-local-sandbox-v1,development,D03_render_report_01
D03_render_report,False,TaskSuccess,D03_render_report_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D03_render_report_01
D03_render_report,False,UEA,D03_render_report_02:UEA,stdlib-supervised-local-sandbox-v1,development,D03_render_report_02
D03_render_report,False,TaskSuccess,D03_render_report_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D03_render_report_02
