split,metric,status,reason,repeated_rows
development,ALR,infeasible,budget_below_common_initial_payload,2298
development,ALR,unknown,independent_reason_or_prefix_intervention_not_established,2502
development,RIR,infeasible,budget_below_common_initial_payload,2190
development,RIR,unknown,independent_reason_or_prefix_intervention_not_established,2610
development,TaskSuccess,infeasible,budget_below_common_initial_payload,13518
development,TaskSuccess,unknown,artifact_binding_missing,2458
development,TaskSuccess,unknown,committed_effect_missing,401
development,TaskSuccess,unknown,negative_artifact_observation_not_closed,284
development,TaskSuccess,unknown,task_requirement_or_artifact_evidence_missing,1939
development,UEA,infeasible,budget_below_common_initial_payload,13518
development,UEA,unknown,authorization_evidence_incomplete,4297
development,UEA,unknown,execution_not_established,895
heldout,ALR,infeasible,budget_below_common_initial_payload,2322
heldout,ALR,unknown,independent_reason_or_prefix_intervention_not_established,2478
heldout,RIR,infeasible,budget_below_common_initial_payload,2400
heldout,RIR,unknown,independent_reason_or_prefix_intervention_not_established,2400
heldout,TaskSuccess,infeasible,budget_below_common_initial_payload,14532
heldout,TaskSuccess,unknown,artifact_binding_missing,2993
heldout,TaskSuccess,unknown,committed_effect_missing,506
heldout,TaskSuccess,unknown,negative_artifact_observation_not_closed,348
heldout,TaskSuccess,unknown,task_requirement_or_artifact_evidence_missing,2048
heldout,UEA,infeasible,budget_below_common_initial_payload,14532
heldout,UEA,unknown,authorization_evidence_incomplete,4622
heldout,UEA,unknown,execution_not_established,1187
