query_id,unit,family_id,metric,source_id,split,fault_event
D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,stdlib-supervised-local-sandbox-v1,development,False
D01_append_journal_01:TaskSuccess,D01_append_journal_01,D01_append_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D01_append_journal_02:UEA,D01_append_journal_02,D01_append_journal,UEA,stdlib-supervised-local-sandbox-v1,development,False
D01_append_journal_02:TaskSuccess,D01_append_journal_02,D01_append_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D01_append_journal_03:UEA,D01_append_journal_03,D01_append_journal,UEA,stdlib-supervised-local-sandbox-v1,development,False
D01_append_journal_03:TaskSuccess,D01_append_journal_03,D01_append_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D01_append_journal_04:UEA,D01_append_journal_04,D01_append_journal,UEA,stdlib-supervised-local-sandbox-v1,development,True
D01_append_journal_04:TaskSuccess,D01_append_journal_04,D01_append_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,True
D02_sqlite_transfer_01:UEA,D02_sqlite_transfer_01,D02_sqlite_transfer,UEA,stdlib-supervised-local-sandbox-v1,development,False
D02_sqlite_transfer_01:TaskSuccess,D02_sqlite_transfer_01,D02_sqlite_transfer,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D02_sqlite_transfer_02:UEA,D02_sqlite_transfer_02,D02_sqlite_transfer,UEA,stdlib-supervised-local-sandbox-v1,development,False
D02_sqlite_transfer_02:TaskSuccess,D02_sqlite_transfer_02,D02_sqlite_transfer,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D02_sqlite_transfer_03:UEA,D02_sqlite_transfer_03,D02_sqlite_transfer,UEA,stdlib-supervised-local-sandbox-v1,development,False
D02_sqlite_transfer_03:TaskSuccess,D02_sqlite_transfer_03,D02_sqlite_transfer,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D02_sqlite_transfer_04:UEA,D02_sqlite_transfer_04,D02_sqlite_transfer,UEA,stdlib-supervised-local-sandbox-v1,development,True
