query_id,unit,family_id,metric,source_id,split,fault_event
H01_publish_directory_01:UEA,H01_publish_directory_01,H01_publish_directory,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H01_publish_directory_01:TaskSuccess,H01_publish_directory_01,H01_publish_directory,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H01_publish_directory_02:UEA,H01_publish_directory_02,H01_publish_directory,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H01_publish_directory_02:TaskSuccess,H01_publish_directory_02,H01_publish_directory,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H01_publish_directory_03:UEA,H01_publish_directory_03,H01_publish_directory,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H01_publish_directory_03:TaskSuccess,H01_publish_directory_03,H01_publish_directory,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H01_publish_directory_04:UEA,H01_publish_directory_04,H01_publish_directory,UEA,stdlib-supervised-local-sandbox-v1,heldout,True
H01_publish_directory_04:TaskSuccess,H01_publish_directory_04,H01_publish_directory,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,True
H02_inventory_reservation_01:UEA,H02_inventory_reservation_01,H02_inventory_reservation,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H02_inventory_reservation_01:TaskSuccess,H02_inventory_reservation_01,H02_inventory_reservation,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H02_inventory_reservation_02:UEA,H02_inventory_reservation_02,H02_inventory_reservation,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H02_inventory_reservation_02:TaskSuccess,H02_inventory_reservation_02,H02_inventory_reservation,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H02_inventory_reservation_03:UEA,H02_inventory_reservation_03,H02_inventory_reservation,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H02_inventory_reservation_03:TaskSuccess,H02_inventory_reservation_03,H02_inventory_reservation,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H02_inventory_reservation_04:UEA,H02_inventory_reservation_04,H02_inventory_reservation,UEA,stdlib-supervised-local-sandbox-v1,heldout,True
H02_inventory_reservation_04:TaskSuccess,H02_inventory_reservation_04,H02_inventory_reservation,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,True
H03_manifest_package_01:UEA,H03_manifest_package_01,H03_manifest_package,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H03_manifest_package_01:TaskSuccess,H03_manifest_package_01,H03_manifest_package,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H03_manifest_package_02:UEA,H03_manifest_package_02,H03_manifest_package,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H03_manifest_package_02:TaskSuccess,H03_manifest_package_02,H03_manifest_package,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H03_manifest_package_03:UEA,H03_manifest_package_03,H03_manifest_package,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H03_manifest_package_03:TaskSuccess,H03_manifest_package_03,H03_manifest_package,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H03_manifest_package_04:UEA,H03_manifest_package_04,H03_manifest_package,UEA,stdlib-supervised-local-sandbox-v1,heldout,True
H03_manifest_package_04:TaskSuccess,H03_manifest_package_04,H03_manifest_package,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,True
H04_sql_join_export_01:UEA,H04_sql_join_export_01,H04_sql_join_export,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H04_sql_join_export_01:TaskSuccess,H04_sql_join_export_01,H04_sql_join_export,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H04_sql_join_export_02:UEA,H04_sql_join_export_02,H04_sql_join_export,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H04_sql_join_export_02:TaskSuccess,H04_sql_join_export_02,H04_sql_join_export,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H04_sql_join_export_03:UEA,H04_sql_join_export_03,H04_sql_join_export,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H04_sql_join_export_03:TaskSuccess,H04_sql_join_export_03,H04_sql_join_export,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H04_sql_join_export_04:UEA,H04_sql_join_export_04,H04_sql_join_export,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H04_sql_join_export_04:TaskSuccess,H04_sql_join_export_04,H04_sql_join_export,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_01:UEA,H05_queued_approval_01,H05_queued_approval,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_01:TaskSuccess,H05_queued_approval_01,H05_queued_approval,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_01:ALR,H05_queued_approval_01,H05_queued_approval,ALR,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_02:UEA,H05_queued_approval_02,H05_queued_approval,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_02:TaskSuccess,H05_queued_approval_02,H05_queued_approval,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_02:ALR,H05_queued_approval_02,H05_queued_approval,ALR,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_03:UEA,H05_queued_approval_03,H05_queued_approval,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_03:TaskSuccess,H05_queued_approval_03,H05_queued_approval,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_03:ALR,H05_queued_approval_03,H05_queued_approval,ALR,stdlib-supervised-local-sandbox-v1,heldout,False
H05_queued_approval_04:UEA,H05_queued_approval_04,H05_queued_approval,UEA,stdlib-supervised-local-sandbox-v1,heldout,True
H05_queued_approval_04:TaskSuccess,H05_queued_approval_04,H05_queued_approval,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,True
H05_queued_approval_04:ALR,H05_queued_approval_04,H05_queued_approval,ALR,stdlib-supervised-local-sandbox-v1,heldout,True
H06_revoked_lease_journal_01:UEA,H06_revoked_lease_journal_01,H06_revoked_lease_journal,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_01:TaskSuccess,H06_revoked_lease_journal_01,H06_revoked_lease_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
